%% MetaTwinsTri_behave_Conf for '_notguess': starting at zhangxingchen (       48.0000000000).6-Jun-2019 17:34:147.375827e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   1   1    7    2.498873 1.449937   4.081485 0.208247   4.414683 3.584426   6  
   2  1   14   4   0    7    8.496181 1.317986   9.962193 0.058105  10.128771 3.867633   6  
   3  1   14   3   0    6   14.493462 1.116813  15.726238 0.124441  15.976124 4.017570   6  
   4  4   14   4   1    6   20.507418 1.167711  21.790173 0.039580  21.956763 4.050870   6  
   5  1   14   2   0    3   26.504708 1.250079  27.887421 0.665526  28.670397 3.334538   6  
   6  2   14   1   0    3   32.502005 1.634331  34.267879 0.642162  35.034200 2.968031   6  
   7  2   14   4   0    6   38.499284 1.533314  40.181877 0.055746  40.365114 3.634398   6  
   8  4   14   4   1    7   44.496589 1.217896  45.845983 0.156629  46.129198 3.867634   6  
   9  1   14   4   0    7   50.493875 1.083455  51.693340 0.064058  51.876572 4.117530   6  
  10  1   14   3   0    7   56.507831 1.051006  57.673933 0.029152  57.823917 4.184130   6  
  11  3   14   4   0    8   62.505123 1.683255  64.304174 0.397587  64.820742 3.184609   6  
  12  1   14   2   0    7   68.502417 1.483994  70.101701 0.086097  70.301605 3.701028   6  
  13  4   14   2   0    3   74.499705 1.566580  76.215575 0.592683  76.931936 3.067996   6  
  14  1   14   4   0    8   80.497005 1.234563  81.879619 0.063117  82.062959 3.934263   6  
  15  2   14   3   0    7   86.510953 1.516580  88.143537 0.333166  88.593343 3.417824   6  
  16  3   14   2   0    7   92.508248 1.500827  94.174143 0.074781  94.374069 3.634359   6  
  17  3   14   4   0    7   98.505528 1.199942  99.854936 0.064095 100.038175 3.967589   6  
  18  3   14   3   1    8  104.502829 1.267655 105.935540 0.039935 106.102113 3.900945   6  
  19  2   14   2   1    7  110.500114 1.800138 112.565870 0.000235 112.682466 3.317866   6  
  20  2   14   1   0    7  116.497439 1.750654 118.429882 0.130509 118.679768 3.317895   6  
  21  1   14   3   0    7  122.511352 1.616627 124.310554 0.066601 124.493798 3.517783   6  
  22  3   14   4   0    7  128.508659 1.267619 129.908022 0.021907 130.057949 3.950928   6  
  23  1   14   1   1    6  134.505936 1.982966 136.638325 0.525958 137.288025 2.718147   6  
  24  4   14   4   1    7  140.503256 1.668016 142.285770 0.086739 142.502340 3.501121   6  
  25  4   14   4   1    8  146.500529 2.083014 148.732866 0.260306 149.116013 2.884749   6  
  26  4   14   2   0    6  152.497830 1.399876 154.080448 0.433268 154.630186 3.367871   6  
  27  3   14   2   0    7  158.511777 1.749635 160.444116 0.034795 160.594168 3.417843   6  
  28  4   14   4   1    8  164.509069 1.334502 165.975077 0.104888 166.191645 3.817653   6  
  29  3   14   3   1    8  170.506358 1.249989 171.889077 0.124185 172.138959 3.867625   6  
  30  2   14  -1   0    2  176.503660 0.000000 179.019198 0.219487 179.352373 2.651502   6  
  31  2   14   4   0    7  182.500947 1.383237 184.116902 0.000185 184.233486 3.767690   6  
  32  4   14   2   0    7  188.514910 1.699925 190.380675 0.073444 190.580643 3.434493   6  
  33  4   14   4   1    7  194.512190 1.300013 195.944842 0.087200 196.144784 3.867636   6  
  34  3   14   3   1    7  200.509490 1.834006 202.525238 0.019790 202.658521 3.351189   6  
  35  3   14   3   1    7  206.506779 1.383335 208.056075 0.051420 208.222664 3.784337   6  
  36  3   14   4   0    8  212.504071 1.217973 213.870134 0.053680 214.036720 3.967577   6  
  37  4   14   4   1    8  218.501350 1.350076 219.967362 0.028617 220.117307 3.884271   6  
  38  4   14   4   1    8  224.515325 1.267511 225.898038 0.133359 226.147908 3.867631   6  
  39  4   14   4   1    2  230.512598 1.216637 231.845332 0.524031 232.495043 3.517795   6  
  40  4   14   4   1    8  236.509895 1.067539 237.725953 0.076732 237.925924 4.084207   6  
  41  2   14   4   0    8  242.507188 0.950203 243.589995 0.025535 243.739960 4.267446   6  
  42  1   14   4   0    8  248.504478 0.966920 249.620620 0.000251 249.737252 4.267460   6  
  43  2   14   2   1    6  254.501788 1.050898 255.717892 0.145061 255.984448 4.017555   6  
  44  2   14   3   0    7  260.515710 1.016736 261.665202 0.041471 261.831796 4.184151   6  
  45  3   14   4   0    7  266.513006 1.150280 267.779121 0.037081 267.929043 4.084206   6  
  46  3   14   2   0    7  272.510291 1.384380 274.042951 0.027821 274.192893 3.817666   6  
  47  2   14   3   0    2  278.490945 1.916417 280.540022 0.256309 280.923172 3.067830   6  
  48  2   14   4   0    3  284.488197 1.401148 286.004233 0.112720 286.237446 3.750979   6  
  49  2   14   3   0    2  290.485529 1.999485 292.617907 0.197144 292.934412 3.051180   6  
  50  2   14   2   1    3  296.499495 2.183953 298.831753 0.636989 299.581427 2.418258   6  
  51  1   14   3   0    7  302.496758 1.583123 304.212669 0.483533 304.812393 3.184460   6  
  52  2   14   1   0    7  308.494075 1.867292 310.643103 0.097251 310.859675 3.134617   6  
  53  3   14   4   0    7  314.491353 1.533136 316.140611 0.072030 316.340515 3.650938   6  
  54  1   14   3   0    6  320.488651 0.367991 321.071581 0.000160 321.188339 4.800428   6  
