%% MetaTwins_RDMsc_training for 'zhangxingchen': starting at _nofeedback (       48.0000000000).6-Jun-2019 16:41:46 for '7.375827e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  16  3    2   0    0    7    2.498863   0    0  1.033552   3.648337 0.273870   4.048156  0   0    4.048156 0.950917   3  
   2  16  1    3   0    0    7    5.497508   0    0  1.183313   6.796930 0.123724   7.046818  0   0    7.046818 0.950917   3  
   3  18  3    3   1    0    8    8.496174   0    0  1.134475   9.745597 0.223585  10.095446  0   0   10.095446 0.900939   3  
   4  18  1    1   1    0    7   11.494808   0    0  0.967379  12.577660 0.305813  13.010794  0   0   13.010794 0.984234   3  
   5  16  2    2   1    0    4   14.493459   0    0  1.134372  15.759453 1.279088  17.158919  0   0   17.158919 0.834762   4  
   6  16  2    2   1    0    6   18.491633   0    0  1.016664  19.691108 0.410628  20.224192  0   0   20.224192 0.767653   3  
   7  14  4    3   0    0    6   21.506943   0    0  1.133341  22.756300 0.312480  23.189531  0   0   23.189531 0.817647   3  
   8  14  3    3   1    0    2   24.505606   0    0  1.067853  25.688346 0.224832  26.038250  0   0   26.038250 0.967577   3  
   9  14  4    3   0    0    3   27.504246   0    0  1.367492  29.003570 0.702823  29.819872  0   0   29.819872 1.184591   4  
  10  14  1    1   1    0    6   31.502426   0    0  1.433274  33.085069 0.719331  33.918015  0   0   33.918015 1.084647   4  
  11  14  3    3   1    0    7   35.500620   0    0  1.499863  37.133222 0.210970  37.466412  0   0   37.466412 0.534450   3  
  12  13  3    3   1    0    7   38.499262   0    0  1.183398  39.798700 0.155449  40.065237  0   0   40.065237 0.934277   3  
  13  13  1    2   0    0    7   41.497914   0    0  1.399763  43.013920 0.159213  43.297126  0   0   43.297126 0.701025   3  
  14  13  3    3   1    0    7   44.496570   0    0  1.084436  45.696036 0.213909  46.029211  0   0   46.029211 0.967583   3  
  15  13  4    3   0    0    2   47.495218   0    0  1.117893  48.727997 0.242710  49.094501  0   0   49.094501 0.900956   3  
  16  13  2    2   1    0    3   50.493877   0    0  1.650922  52.259689 0.302730  52.676216  0   0   52.676216 1.317874   4  
  17  13  2    2   1    0    8   54.492067   0    0  1.001817  55.608222 0.254612  55.974732  0   0   55.974732 1.017554   3  
  18  12  4    3   0    0    8   57.490713   0    0  0.984095  58.623527 0.081126  58.823440  0   0   58.823440 1.167500   3  
  19  12  3    2   0    0    7   60.489330   0    0  0.984674  61.588866 0.173633  61.888702  0   0   61.888702 1.100854   3  
  20  13  2    2   1    0    8   63.488044   0    0  0.901412  64.554187 0.161770  64.820737  0   0   64.820737 1.167449   3  
  21  13  2    2   1    0    3   66.486649   0    0  1.284211  67.886021 0.847765  68.852246  0   0   68.852246 1.134610   4  
  22  12  1    2   0    0    7   70.501488   0    0  1.183344  71.817574 0.233986  72.167411  0   0   72.167411 0.834310   3  
  23  12  4    4   1    0    7   73.500130   0    0  1.349852  74.966147 0.089532  75.182724  0   0   75.182724 0.817655   3  
  24  12  2    2   1    0    7   76.515446   0    0  1.617419  78.281319 0.076334  78.481237  0   0   78.481237 0.534439   3  
  25  11  4    3   0    0    7   79.514102   0    0  1.267620  80.896817 0.202000  81.213329  0   0   81.213329 0.800995   3  
  26  11  1    4   0    0    7   82.512770   0    0  1.267563  83.928781 0.091390  84.145348  0   0   84.145348 0.867627   3  
  27  12  4    3   0    0    7   85.511392   0    0  1.351048  86.977402 0.100122  87.193928  0   0   87.193928 0.817681   3  
  28  12  2    2   1    0    7   88.510032   0    0  1.284566  89.909405 0.144599  90.175956  0   0   90.175956 0.834305   3  
  29  12  1    3   0    0    2   91.508681   0    0  1.134085  92.758120 0.119136  92.991359  0   0   92.991359 1.017538   3  
  30  12  1    3   0    0    4   94.507333   0    0  1.050772  95.673471 0.899814  96.689679  0   0   96.689679 1.317862   4  
  31  13  1    1   1    0    7   98.505511   0    0  1.333338  99.954871 0.206101 100.288044  0   0  100.288044 0.717713   3  
  32  13  2    2   1    0    7  101.504168   0    0  1.033484 102.653657 0.086475 102.853570  0   0  102.853570 1.150821   3  
  33  12  3    3   1    0    8  104.502822   0    0  1.067777 105.718935 0.109238 105.952171  0   0  105.952171 1.050881   3  
  34  12  3    3   1    0    7  107.501459   0    0  1.316615 109.000790 0.293000 109.417258  0   0  109.417258 0.584426   3  
  35  11  4    2   0    0    7  110.500106   0    0  0.935017 111.566289 0.108736 111.799529  0   0  111.799529 1.200818   3  
  36  11  1    4   0    0    7  113.498717   0    0  1.884031 115.531172 0.048730 115.697764  0   0  115.697764 1.301214   4  
  37  12  4    2   0    0    7  117.496954   0    0  1.467649 119.079566 0.077919 119.279489  0   0  119.279489 0.717650   3  
  38  12  3    3   1    0    7  120.512269   0    0  1.067948 121.728372 0.037767 121.878304  0   0  121.878304 1.134171   3  
  39  12  2    2   1    0    7  123.510909   0    0  0.901143 124.527113 0.038186 124.693706  0   0  124.693706 1.317421   3  
  40  11  3    2   0    0    7  126.509552   0    0  0.934381 127.575743 0.043760 127.742325  0   0  127.742325 1.267448   3  
  41  11  2    2   1    0    7  129.508191   0    0  1.034507 130.657656 0.029615 130.807610  0   0  130.807610 1.200805   3  
  42  11  4    3   0    0    6  132.506851   0    0  1.434256 134.106113 0.062450 134.289374  0   0  134.289374 0.717690   3  
  43  11  3    3   1    0    8  135.505487   0    0  1.749886 137.404630 0.119216 137.637851  0   0  137.637851 1.367853   4  
  44  11  1    4   0    0    7  139.503681   0    0  1.250806 140.869753 0.093107 141.086305  0   0  141.086305 0.917599   3  
  45  11  3    2   0    0    3  142.502328   0    0  0.968477 143.585182 0.639754 144.351502  0   0  144.351502 0.651038   3  
  46  12  1    1   1    0    6  145.500983   0    0  1.500937 147.116917 0.366516 147.600026  0   0  147.600026 1.401165   4  
  47  12  3    3   1    0    8  149.499170   0    0  1.250769 150.881881 0.233775 151.231678  0   0  151.231678 0.767711   3  
  48  11  2    2   1    0    6  152.497824   0    0  1.467736 154.080444 0.208456 154.413623  0   0  154.413623 0.584415   3  
  49  11  1    2   0    0    4  155.496432   0    0  1.584029 157.229005 0.712885 158.061980  0   0  158.061980 0.934707   4  
  50  11  4    3   0    0    7  159.494670   0    0  1.384485 160.993984 0.161703 161.277192  0   0  161.277192 0.717694   3  
  51  12  2    2   1    0    3  162.493343   0    0  0.984251 163.592796 0.457020 164.175881  0   0  164.175881 0.817598   3  
  52  12  4    3   0    0    2  165.491946   0    0  1.284103 166.891326 0.465356 167.474397  0   0  167.474397 0.517761   3  
  53  12  4    1   0    0    2  168.490603   0    0  1.967460 170.572995 0.356705 171.056110  0   0  171.056110 0.934662   4  
  54  13  2   -1   0    0    3  172.505452   0    0  0.000000 175.020973 0.159591 175.304193  0   0  175.304193 0.701473   4  
  55  13  3    3   1    0    8  176.503653   0    0  1.234488 177.869689 0.119368 178.102933  0   0  178.102933 0.900935   3  
  56  13  1    2   0    0    8  179.502298   0    0  1.167740 180.785054 0.128057 181.034929  0   0  181.034929 0.967582   3  
  57  13  4    3   0    0    8  182.500934   0    0  1.334552 183.950279 0.131371 184.200164  0   0  184.200164 0.800990   3  
  58  14  4    1   0    0    7  185.499579   0    0  1.483281 187.115523 0.173621 187.415389  0   0  187.415389 0.584438   3  
  59  14  2    4   0    0    7  188.498215   0    0  2.300412 190.913757 0.072903 191.113713  0   0  191.113713 0.884761   4  
  60  15  1    1   1    0    7  192.496423   0    0  1.617515 194.228969 0.465774 194.812047  0   0  194.812047 1.184584   4  
]; % This session completes at 06-Jun-2019 16:45:11, 198.004s after session start, 194s on 60 trials, totally 204.979s, correctness is 50.000%.

