%% MetaTwinsTri_behave_Conf for '_guess': starting at zhangxingyu (       48.0000000000).6-Jun-2019 17:33:457.375827e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   1   1    2      7      2.498871 1.449688   4.464650 1.220710   5.814043 2.185055   6  
   2  1   14   4   0    4      7      8.496155 1.316242  10.328659 0.739406  11.194920 2.801449   6  
   3  1   14   3   0    5      6     14.493427 1.116465  16.126033 0.507999  16.759075 3.234536   6  
   4  4   14   4   1    7      6     20.490716 1.183062  22.189939 0.426651  22.739698 3.251176   6  
   5  1   14   2   0    4      3     26.487995 1.266385  28.270524 0.067100  28.453768 3.534351   6  
   6  2   14   1   0    6      3     32.501939 1.632988  34.650963 0.573001  35.350637 2.651406   6  
   7  2   14   4   0   -1      6     38.499219 1.532843  40.548284 0.000000  41.214475 2.784824   6  
   8  4   14   4   1    3      7     44.496497 1.216454  46.229054 0.482140  46.828776 3.167778   6  
   9  1   14   4   0    8      7     50.510432 1.066417  52.093056 0.532359  52.742760 3.267907   6  
  10  1   14   3   0    4      7     56.507715 1.049765  58.073673 0.000777  58.190290 3.817658   6  
  11  3   14   4   0    4      8     62.504990 1.682957  64.704000 0.083839  64.903919 3.101311   6  
  12  1   14   2   0    5      7     68.502283 1.482926  70.501363 0.001029  70.617991 3.384516   6  
  13  4   14   2   0    6      3     74.499565 1.566290  76.581965 0.502976  77.198339 2.801451   6  
  14  1   14   4   0    3      8     80.496848 1.233098  82.246043 0.635787  82.995711 3.001360   6  
  15  2   14   3   0    4      7     86.510776 1.516283  88.543189 0.777511  89.442794 2.568217   6  
  16  3   14   2   0    6      7     92.508055 1.499473  94.523813 0.596912  95.240165 2.768127   6  
  17  3   14   4   0    5      7     98.505342 1.199961 100.221228 0.991055 101.337393 2.668182   6  
  18  3   14   3   1    2      8    104.502632 1.266246 106.285147 0.587175 107.001498 3.001353   6  
  19  2   14   2   1    6      7    110.499902 1.799367 112.815517 0.624215 113.565188 2.434953   6  
  20  2   14   1   0    6      7    116.497196 1.749418 118.762822 0.715556 119.612441 2.384964   6  
  21  1   14   3   0    4      7    122.494463 1.632934 124.643492 0.368907 125.126606 2.868076   6  
  22  3   14   4   0    5      7    128.491751 1.283031 130.290932 0.437128 130.840694 3.151238   6  
  23  1   14   1   1    6      6    134.489034 1.999400 137.004555 0.397113 137.520986 2.468189   6  
  24  4   14   4   1    6      7    140.502968 1.666185 142.685320 0.560920 143.368340 2.634775   6  
  25  4   14   4   1    2      8    146.500258 2.083187 150.531665 0.140686 150.814963 1.185410   6  
  26  4   14   2   0    6      6    152.497527 1.399504 154.413322 1.074705 155.612779 2.384852   6  
  27  3   14   2   0    5      7    158.494817 1.766007 160.777115 1.093734 161.993228 2.001650   6  
  28  4   14   4   1   -1      8    164.508755 1.332894 166.357909 0.000000 168.356956 1.652018   6  
  29  3   14   3   1    4      8    170.506039 1.249776 172.271899 0.395778 172.788339 3.217921   6  
  30  2   14  -1   0    6      2    176.503318 2.499155 179.018872 0.295737 179.435313 2.568239   6  
  31  2   14   4   0    1      7    182.500586 1.382841 184.399737 0.507294 185.032782 2.968042   6  
  32  4   14   2   0    3      7    188.497886 1.716245 190.730196 0.290206 191.146677 2.851428   6  
  33  4   14   4   1    4      7    194.511819 1.299569 196.327664 0.350956 196.810773 3.201297   6  
  34  3   14   3   1    5      7    200.509094 1.832724 202.858029 0.225077 203.207882 2.801445   6  
  35  3   14   3   1    7      7    206.506384 1.382975 208.405514 0.634363 209.155181 2.851424   6  
  36  3   14   4   0    2      8    212.503653 1.216402 214.236204 0.000926 214.352815 3.651079   6  
  37  4   14   4   1    6      8    218.500944 1.349658 220.366765 0.002992 220.483367 3.517804   6  
  38  4   14   4   1    3      8    224.498224 1.283017 226.297400 0.393927 226.813837 3.184629   6  
  39  4   14   4   1    4      2    230.495497 1.233127 232.244710 0.967700 233.327551 2.668187   6  
  40  4   14   4   1    6      8    236.492790 1.083129 238.092051 1.151105 239.358154 2.634844   6  
  41  2   14   4   0    4      8    242.490056 0.966465 243.972745 0.796850 244.888975 3.101276   6  
  42  1   14   4   0    6      8    248.504007 0.966404 249.986676 0.921068 251.036187 2.967968   6  
  43  2   14   2   1    4      6    254.501289 1.049881 256.067240 0.469551 256.650315 3.351121   6  
  44  2   14   3   0    3      7    260.498572 1.033072 262.047856 1.149924 263.313964 2.684722   6  
  45  3   14   4   0    8      7    266.495846 1.166449 268.178413 0.439308 268.744824 3.251117   6  
  46  3   14   2   0    7      7    272.493127 1.399707 274.408923 0.348727 274.875377 3.117829   6  
  47  2   14   3   0    3      2    278.507061 1.899362 280.922647 0.490756 281.539022 2.468277   6  
  48  2   14   4   0    4      3    284.504346 1.382865 286.403492 0.704112 287.219787 2.784782   6  
  49  2   14   3   0    3      2    290.501622 1.982604 293.000512 0.067421 293.200414 2.801438   6  
  50  2   14   2   1    6      3    296.498901 2.182613 299.197685 0.098863 299.414252 2.584888   6  
  51  1   14   3   0    3      7    302.512854 1.566187 304.595239 0.118966 304.845132 3.167937   6  
  52  2   14   1   0    3      7    308.510128 1.849449 310.875725 0.337172 311.342180 2.668183   6  
  53  3   14   4   0    6      7    314.507410 1.516330 316.539816 0.605996 317.272830 2.734811   6  
  54  1   14   3   0    3      6    320.504686 0.350150 321.370972 1.109555 322.603746 3.401174   6  
  55  3   14   3   1    8      7    326.501974 1.716164 328.734305 0.470201 329.317363 2.684844   6  
  56  1   14   1   1    5      8    332.499261 1.816071 334.831530 0.538634 335.497897 2.501599   6  
  57  4   14   2   0    2      2    338.496538 1.466178 340.478974 0.000894 340.595583 3.401181   6  
  58  1   14   3   0    6      7    344.493822 2.399206 347.409164 0.563907 348.092190 1.901854   6  
  59  3   14   4   0    3      6    350.491104 1.799307 352.806719 0.562619 353.489729 2.501583   6  
  60  4   14   2   0   -1      6    356.505027 1.466269 358.487470 0.000000 358.903951 3.101272   6  
]; % This session completes at 06-Jun-2019 17:40:03, 364.003s after session start, 360s on 60 trials, totally 377.574s.

