%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at zhangchao (       49.0000000000).5-Jun-2019 17:56:417.375917e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   11   3   1    1      6      2.498854 2.282738   5.297596 0.106139   5.530833 2.468242   6  
   2  1   11   1   1    5      8      8.496149 1.633360  10.645180 0.830623  11.594748 2.401653   6  
   3  1   11   3   0    7      7     14.493428 1.732899  16.742403 1.824991  18.691535 1.302020   6  
   4  3   11   4   0    2      7     20.490726 2.149535  23.156183 0.247446  23.522692 2.468251   6  
   5  1   11   2   0    1      2     26.504660 0.000000  29.653225 0.000925  29.769846 2.235035   6  
   6  2   11   4   0    2      7     32.501960 2.216660  35.234053 0.646828  36.000361 2.001815   6  
   7  3   11   3   1    4      6     38.499221 1.899434  40.914796 0.871591  41.914378 2.085071   6  
   8  3   11   1   0    6      1     44.496513 1.983088  46.995391 0.846301  47.961617 2.035116   6  
   9  1   11   4   0    1      1     50.510439 2.499244  53.525758 0.000979  53.642373 2.368312   6  
  10  2   11   1   0    1      2     56.507746 2.433036  59.456413 0.897072  60.472612 1.535341   6  
  11  1   11   1   1    6      6     62.505017 1.599625  64.620725 0.961079  65.703572 2.301678   6  
  12  4   11   1   0    1      2     68.502317 2.449564  71.467641 0.635444  72.217303 1.785244   6  
  13  2   11   3   0    1      2     74.499581 2.465991  77.481563 0.296228  77.898051 2.101681   6  
  14  1   11  -1   0    1      1     80.496886 2.499616  83.012405 0.492959  83.628795 2.368178   6  
  15  1   11   1   1    1      6     86.494148 2.432623  89.442814 0.497946  90.059203 1.935011   6  
  16  1   11   1   1    2      6     92.508115 2.250083  95.273530 0.675280  96.073155 1.935171   6  
  17  4   11  -1   0    1      2     98.505387 2.499130 101.020929 0.538553 101.687310 2.318297   6  
  18  4   11   2   0    1      2    104.502680 2.416392 107.434689 0.260913 107.817856 2.185039   6  
  19  2   11  -1   0    1      3    110.499948 2.499219 113.015517 0.472411 113.615226 2.384947   6  
  20  3   11  -1   0    1      2    116.497243 0.000000 119.012773 0.403325 119.529209 2.468243   6  
  21  4   11   3   0    2      2    122.494507 2.415877 125.426526 0.748885 126.292797 1.701964   6  
  22  2   11  -1   0    1      3    128.491813 0.000000 131.007348 0.422312 131.557094 2.434944   6  
  23  2   11   2   1    1      3    134.505738 1.782763 136.804731 0.654572 137.587693 2.418221   6  
  24  4   11  -1   0    1      2    140.503038 0.000000 143.018570 0.385327 143.518339 2.484865   6  
  25  4   11  -1   0    1     -1    146.500312 0.000000 149.015871 0.469652 149.598912 2.401485   6  
  26  1   11   1   1    7      6    152.514267 1.433586 154.463378 0.991369 155.579538 2.434979   6  
  27  1   11   3   0    1      2    158.511546 2.449240 161.476866 0.322152 161.926679 2.085094   6  
  28  4   11   2   0    3      4    164.508883 1.883181 166.907752 0.573294 167.607438 2.401637   6  
