%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at zhangchao (       49.0000000000).5-Jun-2019 17:46:547.375917e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   12   3   1    2    2.498869 1.417208   4.031513 0.429540   4.581280 3.417799   6  
   2  1   12   3   0    5    8.496166 1.101982   9.745596 1.126997  10.995025 3.001364   6  
   3  1   12   2   0    2   14.493434 1.400106  16.009424 0.549489  16.675780 3.317813   6  
   4  4   12   4   1    7   20.490737 1.066873  21.673529 0.227132  22.023368 3.967511   6  
   5  1   12   3   0    3   26.488013 1.333667  27.937357 1.107683  29.170139 2.817941   6  
   6  4   12   4   1    7   32.501963 1.001172  33.634771 0.102981  33.851342 4.150838   6  
   7  1   12   3   0    6   38.515888 1.383590  40.015215 1.617037  41.747759 2.268363   6  
   8  4   12   4   1    7   44.513187 0.935522  45.579366 0.190058  45.895893 4.117511   6  
   9  1   12   1   1    1   50.510457 1.683135  52.309648 1.544424  53.975558 2.035125   6  
  10  2   12   3   0    2   56.507749 1.084226  57.707218 0.667341  58.490190 3.517786   6  
  11  2   12   3   0    3   62.505023 2.066215  64.687378 0.783395  65.586991 2.418267   6  
  12  2   12   3   0    2   68.502333 1.850489  70.468094 1.035369  71.617572 2.384978   6  
  13  4   12   4   1    6   74.499582 1.333373  75.948956 0.491275  76.565331 3.434487   6  
  14  2   12   3   0    3   80.496890 1.833906  82.446009 1.085478  83.645462 2.351660   6  
  15  1   12   3   0    2   86.494161 2.232919  88.843122 1.667326  90.625657 1.368658   6  
  16  4   12   4   1    6   92.491468 1.250973  93.874164 0.781007  94.773758 3.217930   6  
  17  1   12   4   0    6   98.488727 0.933496  99.538258 1.006854 100.671104 3.317710   6  
  18  2   12   2   1    6  104.502669 1.716327 106.335173 1.325366 107.784529 2.218409   6  
  19  3   12   3   1    6  110.516638 1.800662 112.432430 1.668824 114.214954 1.801925   6  
  20  1   12   2   0    2  116.513898 1.233187 117.879950 1.850277 119.845737 2.168392   6  
  21  1   12   4   0    7  122.511239 1.017709 123.660682 0.485372 124.260406 3.751015   6  
  22  4   12   4   1    7  128.508461 0.883548 129.524690 0.768737 130.407621 3.601088   6  
  23  1   12   2   0   -1  134.505758 1.449952 136.088405 0.000000 138.087481 1.918506   6  
  24  2   12   2   1    3  140.503044 1.050943 141.669174 0.629629 142.418898 3.584390   6  
  25  2   12   2   1    3  146.500322 1.732954 148.366151 1.625621 150.115351 1.885201   6  
  26  1   12   4   0    6  152.497617 1.534383 154.163550 0.833680 155.113095 2.884759   6  
  27  4   12   4   1    7  158.494893 0.900256 159.511103 0.343547 159.977549 4.017513   6  
  28  2   12   1   0    4  164.492186 1.717376 166.341368 1.326349 167.790691 2.201718   6  
  29  2   12   2   1    4  170.489459 1.233335 171.855535 1.666162 173.638040 2.351514   6  
  30  2   12   3   0    5  176.486758 1.167533 177.786161 1.601795 179.502047 2.484902   6  
  31  3   12   2   0    3  182.500675 1.549703 184.199942 1.392819 185.715901 2.285005   6  
  32  2   12   2   1    2  188.514642 1.151261 189.780676 0.759656 190.663676 3.351207   6  
  33  3   12   3   1    7  194.511920 1.916422 196.544327 0.693161 197.360622 2.651514   6  
  34  3   12   3   1    7  200.509207 1.134354 201.758647 0.370661 202.258405 3.751043   6  
  35  2   12   2   1    1  206.506472 2.133051 208.755385 1.232239 210.104849 1.901856   6  
  36  2   12   2   1    1  212.503789 2.067369 214.719459 0.426302 215.269188 2.734793   6  
  37  3   12   3   1   -1  218.501048 1.916468 220.550128 0.000000 222.549230 1.452055   6  
  38  2   12   1   0    3  224.498338 1.617154 226.264226 1.153906 227.546947 2.451629   6  
  39  3   12   3   1    7  230.495617 0.966798 231.578461 0.544899 232.244820 3.750985   6  
  40  1   12   1   1    1  236.492920 1.034514 237.659043 0.981139 238.758560 3.234567   6  
  41  3   12   3   1    7  242.490188 1.100036 243.706328 1.301970 245.122333 2.867961   6  
  42  3   12   3   1    7  248.487481 1.451120 250.053436 0.549585 250.719773 3.267911   6  
  43  2   12   3   0    7  254.501406 1.383343 256.017389 0.210131 256.350579 3.651057   6  
  44  1   12   3   0    1  260.515373 2.333712 262.980906 0.859131 263.963814 2.051764   6  
  45  2   12   2   1    1  266.512637 1.516596 268.195231 0.150002 268.461763 3.551102   6  
  46  1   12   3   0    1  272.509941 1.334468 273.959271 1.659823 275.741797 2.268380   6  
  47  4   12   3   0    2  278.507194 1.766514 280.389684 1.503120 282.005624 2.001813   6  
  48  4   12   4   1    7  284.504499 0.934383 285.604001 0.216145 285.937185 4.067546   6  
  49  4   12   3   0    1  290.501775 1.683182 292.317580 0.730460 293.167233 2.834781   6  
  50  3   12   3   1    7  296.499069 0.934516 297.565219 0.375927 298.065022 3.934267   6  
