%% MetaTwins_RDMsc_training for 'zhangchao': starting at _feedback (       49.0000000000).5-Jun-2019 16:53:48 for '7.375917e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  36  4    4   1    0    7    2.498895   0    0  1.717101   4.331405 0.541849   4.997773 0.999568   5.997341   6.996862 1.002259   6  
   2  36  4    4   1    0    7    8.496192   0    0  1.084443   9.695646 0.515455  10.328696 0.999562  11.328258  12.327780 0.668630   5  
   3  32  4    4   1    0    8   13.510582   0    0  1.200069  14.826646 0.164270  15.109846 0.999552  16.109398  17.108964 0.901839   5  
   4  32  2    4   0    0    8   18.508322   0    0  2.150693  20.773972 0.215700  21.107152 0.999550  22.106703  23.106259 0.902285   6  
   5  32  2    3   0    0    7   24.505592   0    0  1.983116  26.604646 0.336335  27.054449 0.999560  28.054009  29.053534 0.952293   6  
   6  36  1    3   0    0    7   30.502895   0    0  2.000749  32.618603 0.311081  33.051743 0.999549  34.051292  35.050840 0.952273   6  
   7  36  3    3   1    0    8   36.516833   0    0  0.949995  37.583022 0.396217  38.099445 0.999562  39.099007  40.098544 0.918505   5  
   8  36  3    3   1    0    8   41.514578   0    0  1.034644  42.664049 0.380010  43.163824 0.999487  44.163311  45.162928 0.851879   5  
   9  32  4    4   1    0    8   46.495647   0    0  1.266720  47.878353 0.271726  48.278181 0.999551  49.277732  50.277270 0.718467   5  
  10  32  2    3   0    0    6   51.493387   0    0  1.484450  53.092659 0.904279  54.108874 0.999536  55.108410  56.107949 0.885665   6  
  11  32  3    3   1    0    8   57.490657   0    0  1.649686  59.256527 0.301665  59.673004 0.999559  60.672563  61.672097 1.318723   6  
  12  32  4    4   1    0    8   63.504606   0    0  1.450709  65.070570 0.122155  65.320511 0.999490  66.320001  67.319540 0.685299   5  
  13  28  3    3   1    0    8   68.502341   0    0  1.216733  69.835065 0.492346  70.451463 0.999542  71.451005  72.450562 0.552003   5  
  14  28  4    4   1    0    8   73.500091   0    0  1.167792  74.782837 0.191321  75.099360 0.999556  76.098915  77.098455 0.901840   5  
  15  25  2    3   0    0    7   78.497818   0    0  1.999698  80.613518 0.220115  80.963382 0.999524  81.962906  82.962480 1.035572   6  
  16  25  2    3   0    0    7   84.511701   0    0  2.183858  86.810723 0.286557  87.210546 0.999544  88.210090  89.209642 0.802372   6  
  17  28  2    3   0    0    7   90.509050   0    0  2.499510  93.124520 0.184646  93.424400 0.999545  94.423945  95.423482 0.585782   6  
  18  28  4    4   1    0    8   96.506334   0    0  1.167962  97.789095 0.694947  98.605428 0.999508  99.604936 100.604466 1.402118   6  
  19  28  3    3   1    0    8  102.503614   0    0  1.299937 103.919661 0.132333 104.169533 0.999563 105.169096 106.168613 0.835236   5  
  20  25  4    4   1    0    8  107.518026   0    0  1.134408 108.767456 0.021722 108.917391 0.999533 109.916925 110.916471 1.101789   5  
  21  25  1    1   1    0    8  112.499092   0    0  0.933622 113.548604 0.484805 114.148336 0.999569 115.147905 116.147445 0.851725   5  
  22  22  4    4   1    0    8  117.496832   0    0  0.967609 118.579675 0.093724 118.796241 0.999548 119.795789 120.795335 1.201732   5  
  23  22  1    2   0    0    6  122.494549   0    0  1.883102 124.493649 1.266978 125.876363 0.999551 126.875914 127.875460 1.119255   7  
  24  22  3    3   1    0    8  129.491382   0    0  1.200128 130.807474 0.212077 131.140646 0.999551 132.140197 133.139760 0.851859   5  
  25  22  2    4   0    0    8  134.505799   0    0  2.433657 137.054647 0.229818 137.404475 0.999554 138.404028 139.403584 0.602438   6  
  26  22  4    4   1    0    8  140.503072   0    0  1.216773 141.835797 0.114677 142.069017 0.999580 143.068598 144.068150 0.935152   5  
  27  22  1    4   0    0    8  145.500819   0    0  1.417895 147.033460 0.236088 147.383290 0.999560 148.382849 149.382385 0.618661   5  
  28  22  1    2   0    0    7  150.498543   0    0  2.099696 152.714201 0.282457 153.114030 0.999553 154.113583 155.113124 0.885644   6  
  29  25  1    1   1    0    6  156.512494   0    0  1.600668 158.261697 1.189884 159.577779 0.999592 160.577371 161.576854 1.435884   7  
  30  25  3    3   1    0    8  163.509319   0    0  2.149664 165.774951 0.522406 166.424690 0.999543 167.424234 168.423765 0.585781   6  
  31  22  1    2   0    0    8  169.506603   0    0  2.400690 172.022134 0.358774 172.505246 0.999550 173.504797 174.504327 0.502509   6  
  32  22  3    3   1    0    8  175.487217   0    0  1.633063 177.236433 0.130761 177.486335 0.999538 178.485873 179.485409 0.501886   5  
  33  22  2    3   0    0    6  180.501629   0    0  2.150426 182.767274 0.472921 183.367000 0.999596 184.366596 185.366097 0.635593   6  
  34  22  4    4   1    0    8  186.498899   0    0  1.266769 187.881618 0.112317 188.114839 0.999546 189.114385 190.113935 0.885112   5  
  35  22  1    3   0    0    8  191.496642   0    0  1.717507 193.329156 0.432900 193.878908 0.999544 194.878452 195.877995 1.118879   6  
  36  22  3    3   1    0    8  197.493927   0    0  1.316681 198.926611 0.223195 199.276448 0.999542 200.275990 201.275547 0.718604   5  
  37  22  3    3   1    0    8  202.508332   0    0  1.184153 203.807749 0.125882 204.057629 0.999551 205.057180 206.056716 0.951830   5  
  38  19  4    4   1    0    8  207.506045   0    0  1.183361 208.805473 0.172523 209.105366 0.999538 210.104904 211.104450 0.901830   5  
  39  19  4    4   1    0    8  212.503800   0    0  1.601136 214.219699 0.144700 214.486243 0.999546 215.485789 216.485333 0.518696   5  
  40  17  1    4   0    0    8  217.501530   0    0  1.449992 219.067512 0.290597 219.483971 0.999537 220.483508 221.483087 0.518661   5  
  41  17  2    4   0    0    8  222.499151   0    0  1.567372 224.181853 0.177915 224.481718 0.999546 225.481265 226.480807 0.518709   5  
  42  19  3    3   1    0    6  227.513665   0    0  1.066687 228.696461 1.558655 230.379052 0.999582 231.378634 232.378141 0.635755   6  
  43  19  4    4   1    0    8  233.510954   0    0  1.051369 234.677093 0.085091 234.876999 0.999546 235.876545 236.876091 1.135084   5  
  44  17  1    4   0    0    6  238.508683   0    0  1.866429 240.491127 0.256837 240.874282 0.999548 241.873830 242.873383 1.135536   6  
  45  17  2    4   0    0    2  244.489323   0    0  2.267252 246.871566 1.686487 248.670764 0.999527 249.670291 250.669839 1.319701   8  
  46  19  3    3   1    0    8  252.502345   0    0  1.200566 253.818441 0.312513 254.251577 0.999521 255.251098 256.250631 0.751858   5  
  47  19  2    3   0    0    4  257.500112   0    0  1.983335 259.599147 1.279749 260.998502 0.999550 261.998052 262.997601 1.002724   7  
  48  19  1    4   0    0    4  264.496917   0    0  1.616555 266.229487 1.976954 268.328510 0.999557 269.328067 270.327623 0.669499   7  
  49  21  1    3   0    0    4  271.493739   0    0  1.866658 273.476202 1.678258 275.275369 0.999563 276.274932 277.274469 0.719500   7  
  50  21  4    4   1    0    8  278.507242   0    0  1.116695 279.740024 0.285222 280.139838 0.999538 281.139375 282.138922 0.868554   5  
  51  21  2    4   0    0    8  283.504982   0    0  1.967457 285.587382 0.553100 286.270389 0.999550 287.269939 288.269477 0.735731   6  
  52  21  2    3   0    0    2  289.502256   0    0  2.182934 291.801219 1.653701 293.583743 0.999550 294.583293 295.582840 1.419648   8  
  53  24  3    3   1    0    8  297.515293   0    0  1.066827 298.698094 0.310144 299.131232 0.999547 300.130779 301.130337 0.885178   5  
  54  24  1    4   0    0    8  302.513034   0    0  1.117681 303.745810 0.214939 304.078996 0.999545 305.078541 306.078101 0.935167   5  
  55  24  3    3   1    0    8  307.494099   0    0  1.166756 308.776870 0.052875 308.943473 0.999549 309.943022 310.942576 1.051598   5  
  56  24  2    2   1    0    3  312.491861   0    0  1.784133 314.390995 1.295667 315.807015 0.999556 316.806571 317.806110 1.185974   7  
  57  21  1    4   0    0    2  319.488669   0    0  1.833061 321.437793 0.343492 321.904256 0.999544 322.903800 323.903338 1.085481   6  
  58  21  3    3   1    0    8  325.502625   0    0  1.233680 326.852010 1.141100 328.118118 0.999538 329.117656 330.117205 0.885656   6  
  59  21  2    2   1    0    2  331.499909   0    0  1.516382 333.132493 0.548876 333.798866 0.999543 334.798409 335.797977 1.202151   6  
  60  18  1    4   0    0    2  337.497191   0    0  1.117446 338.729966 0.397658 339.246399 0.999550 340.245949 341.245493 0.751929   5  
]; % This session completes at 15-Jun-2019 16:59:39, 344.004s after session start, 340s on 60 trials, totally 351.354s, correctness is 56.667%.

