%% MetaTwins_RDMsc_training for 'zhangchao': starting at _nofeedback (       49.0000000000).5-Jun-2019 17:10:13 for '7.375917e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  4    4   1    0    7    2.498982   0    0  1.700651   4.314813 0.471376   4.914545  0   0    4.914545 1.084650   4  
   2  15  1    2   0    0    3    6.497167   0    0  1.450965   8.079764 0.996856   9.195951  0   0    9.195951 0.801433   4  
   3  15  2    2   1    0    3   10.495341   0    0  1.849767  12.477763 0.635706  13.227432  0   0   13.227432 0.768145   4  
   4  15  2    4   0    0    4   14.493526   0    0  1.949832  16.559276 1.799154  18.475055  0   0   18.475055 0.518718   5  
   5  15  2    2   1    0    3   19.507924   0    0  1.299974  20.940640 1.049748  22.106765  0   0   22.106765 0.901402   4  
   6  15  3    4   0    0    7   23.506132   0    0  0.934660  24.555650 0.180133  24.855519  0   0   24.855519 1.150807   3  
   7  15  1    3   0    0    6   26.504776   0    0  1.833966  28.453891 1.779835  30.353027  0   0   30.353027 0.651966   5  
   8  16  4    4   1    0    7   31.502500   0    0  0.816967  32.435408 0.122545  32.685300  0   0   32.685300 1.317451   3  
   9  16  2    4   0    0    7   34.501138   0    0  1.816358  36.433604 0.745206  37.299879  0   0   37.299879 0.701516   4  
  10  16  2    4   0    0    7   38.499330   0    0  2.216124  40.831507 0.130370  41.081497  0   0   41.081497 0.918068   4  
  11  18  1    3   0    0    6   42.497545   0    0  1.100100  43.713640 1.199088  45.029706  0   0   45.029706 0.968047   4  
  12  18  1    4   0    0    7   46.495702   0    0  0.916860  47.528576 0.210256  47.861757  0   0   47.861757 1.134172   3  
  13  20  4    4   1    0    8   49.494343   0    0  1.449892  51.060312 1.014062  52.193137  0   0   52.193137 0.801455   4  
  14  20  1    2   0    0    5   53.509198   0    0  1.050055  54.692013 1.765079  56.574471  0   0   56.574471 1.434952   5  
  15  20  4    4   1    0    8   58.506941   0    0  1.384327  60.006265 1.170463  61.289015  0   0   61.289015 0.718155   4  
  16  20  2    2   1    0    3   62.505119   0    0  1.349998  63.987790 0.498962  64.604182  0   0   64.604182 1.401183   4  
  17  18  2    4   0    0   -1   66.503333   0    0  2.183892  68.835600 0.000000  70.834695  0   0   70.834695 1.168874   6  
  18  18  1    2   0    0    1   72.500591   0    0  1.616463  74.266479 0.224274  74.616323  0   0   74.616323 1.384499   4  
  19  18  3    3   1    0    7   76.498800   0    0  1.299946  77.914812 0.763707  78.797752  0   0   78.797752 1.201292   4  
  20  18  2    3   0    0   -1   80.496975   0    0  1.699833  82.362809 0.000000  84.361925  0   0   84.361925 0.635278   5  
  21  18  1    3   0    0    7   85.511376   0    0  1.334868  86.977404 0.589024  87.693730  0   0   87.693730 1.317877   4  
  22  18  4    4   1    0    7   89.509557   0    0  0.866892  90.492456 0.230352  90.842317  0   0   90.842317 1.167473   3  
  23  18  2    2   1    0    5   92.508200   0    0  1.566550  94.207442 1.315337  95.640115  0   0   95.640115 1.368353   5  
  24  16  3    3   1    0    7   97.505942   0    0  1.383266  99.005259 0.236096  99.355096  0   0   99.355096 0.651082   3  
  25  16  2    2   1    0    5  100.504589   0    0  1.583225 102.203830 0.641555 102.970140  0   0  102.970140 1.034697   4  
  26  14  4    4   1    0    7  104.502768   0    0  1.283376 105.902145 1.359389 107.384796  0   0  107.384796 0.618202   4  
  27  14  1    1   1    0    4  108.500977   0    0  1.967204 110.600004 1.317844 112.032702  0   0  112.032702 0.968509   5  
  28  13  4    4   1    0    7  113.498691   0    0  0.950210 114.598224 0.491807 115.214583  0   0  115.214583 0.784355   3  
  29  13  3    3   1    0    7  116.497361   0    0  1.016839 117.630179 0.567396 118.313197  0   0  118.313197 0.684380   3  
  30  12  3    2   0    0    7  119.512653   0    0  2.283781 121.911568 0.353216 122.378025  0   0  122.378025 0.634873   4  
  31  12  4    4   1    0    7  123.510849   0    0  0.884567 124.510390 0.185311 124.810249  0   0  124.810249 1.200809   3  
  32  12  3    3   1    0    6  126.509469   0    0  1.067848 127.708930 0.912229 128.741811  0   0  128.741811 1.267901   4  
  33  11  4    4   1    0    7  130.507661   0    0  0.866841 131.490573 0.979824 132.590051  0   0  132.590051 1.417838   4  
  34  11  1    3   0    0    1  134.505853   0    0  1.784828 136.421652 0.945451 137.487831  0   0  137.487831 0.518243   4  
  35  11  4    4   1    0    7  138.504045   0    0  1.284208 139.903410 0.195777 140.219894  0   0  140.219894 0.784372   3  
  36  11  4    4   1    0    7  141.502683   0    0  1.500651 143.118632 1.170316 144.418039  0   0  144.418039 0.584896   4  
  37  10  4    4   1    0    7  145.500880   0    0  1.334525 146.966897 0.850437 147.933113  0   0  147.933113 1.068007   4  
  38  10  2    2   1    0   -1  149.499063   0    0  1.466625 151.081674 0.000000 153.080685  0   0  153.080685 0.918598   5  
  39  10  3    3   1    0    4  154.513471   0    0  1.901617 156.529219 1.312593 157.961898  0   0  157.961898 1.051810   5  
  40   9  3    1   0    0    4  159.511191   0    0  1.966278 161.593590 1.261120 162.976284  0   0  162.976284 1.035163   5  
  41   9  2    2   1    0    5  164.508936   0    0  1.683886 166.308127 1.279921 167.707492  0   0  167.707492 1.301665   5  
  42   9  2    3   0    0    6  169.506665   0    0  1.066866 170.706136 1.548828 172.372029  0   0  172.372029 0.634853   4  
  43   9  1    3   0    0    6  173.504863   0    0  2.050668 175.670553 0.146438 175.937077  0   0  175.937077 1.068009   4  
  44  10  3    4   0    0    6  177.503061   0    0  1.417622 179.035702 1.038215 180.201847  0   0  180.201847 0.801462   4  
  45  10  4    4   1    0    7  181.501249   0    0  1.101240 182.717359 0.175110 183.017229  0   0  183.017229 0.984270   3  
  46  10  3    3   1    0    6  184.516538   0    0  1.783984 186.465671 1.639533 188.231534  0   0  188.231534 0.785233   5  
  47   9  3    3   1    0    6  189.514265   0    0  1.349991 190.996934 0.816735 191.929868  0   0  191.929868 1.084626   4  
  48   9  1    1   1    0    6  193.512474   0    0  1.250935 194.878519 0.639343 195.644843  0   0  195.644843 1.367874   4  
  49   8  2    2   1    0    6  197.493991   0    0  1.533241 199.176523 0.405843 199.709652  0   0  199.709652 1.284524   4  
  50   8  1    3   0    0    6  201.508833   0    0  2.349530 203.974408 0.235207 204.324242  0   0  204.324242 0.684837   4  
  51   8  3    3   1    0    6  205.490378   0    0  1.366655 206.989716 0.665683 207.772666  0   0  207.772666 1.217814   4  
  52   8  1    4   0    0    4  209.488565   0    0  1.850597 211.454349 1.370824 212.953663  0   0  212.953663 1.035097   5  
  53   8  4    2   0    0    5  214.486286   0    0  1.633273 216.235512 0.915252 217.268395  0   0  217.268395 0.717967   4  
  54   9  3    3   1    0    7  218.501146   0    0  1.266684 219.883863 0.370844 220.366974  0   0  220.366974 0.634388   3  
  55   9  1    1   1    0    3  221.499790   0    0  1.966366 223.582125 0.530472 224.231905  0   0  224.231905 0.768111   4  
  56   8  1    3   0    0    4  225.497982   0    0  1.733213 227.347158 1.632987 229.096338  0   0  229.096338 0.901870   5  
  57   8  3    3   1    0    7  230.495704   0    0  1.050202 231.661846 0.689595 232.478153  0   0  232.478153 0.517654   3  
  58   8  4    3   0    0    3  233.494359   0    0  1.116990 234.760454 0.659345 235.543436  0   0  235.543436 1.451163   4  
  59   8  3    3   1    0    8  237.492552   0    0  0.966771 238.575409 0.874061 239.574961  0   0  239.574961 1.417691   4  
  60   8  2    3   0    0    1  241.490730   0    0  1.101345 242.706856 0.532612 243.356574  0   0  243.356574 0.634279   3  
]; % This session completes at 15-Jun-2019 17:14:28, 246.003s after session start, 242s on 60 trials, totally 255.201s, correctness is 58.333%.

