%% MetaTwins_RDMsc_training for 'zhangyue': starting at _feedback (       49.0000000000).5-Jun-2019 17:01:05 for '7.375917e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  17  2    2   1    0    6    2.499153   0    0  2.016434   4.631525 1.149823   5.897606 0.999558   6.897164   7.896699 1.102689   7  
   2  17  3   -1   0    0    1    9.495983   0    0  0.000000  12.011499 0.027853  12.161424 0.999547  13.160971  14.160524 0.835675   6  
   3  17  4    1   0    0    6   15.493250   0    0  1.366623  16.975899 1.185951  18.275307 0.999562  19.274869  20.274405 0.719044   6  
   4  17  3   -1   0    0    1   21.490513   0    0  0.000000  24.006050 0.199950  24.322566 0.999542  25.322108  26.321652 0.669063   6  
   5  17  2    2   1    0    7   27.504455   0    0  2.116206  29.753431 0.697420  30.569722 0.999555  31.569276  32.568824 1.435796   7  
   6  17  4    4   1    0    2   34.501266   0    0  1.849780  36.467042 1.759351  38.349511 0.999549  39.349060  40.348613 0.652826   7  
   7  15  2   -1   0    0   -1   41.498083   0    0  0.000000  44.013614 0.000000  46.012649 0.999594  47.012243  48.011783 0.986458   8  
   8  15  4    2   0    0    3   49.494440   0    0  2.199536  51.810072 1.351988  53.276067 0.999532  54.275600  55.275154 0.719441   7  
   9  15  3    1   0    0    2   56.491267   0    0  2.416262  59.023444 0.611075  59.756443 0.999553  60.755996  61.755532 1.235857   7  
  10  16  1    1   1    0    8   63.488084   0    0  1.966311  65.587119 0.717283  66.420087 0.999539  67.419626  68.419167 0.569019   6  
  11  16  2    1   0    0    2   69.502016   0    0  2.049856  71.717674 0.876728  72.717215 0.999549  73.716764  74.716312 1.285800   7  
  12  16  1    1   1    0    8   76.498845   0    0  1.366658  77.981391 0.467652  78.564558 0.999569  79.564126  80.563651 1.435256   6  
  13  16  1    1   1    0    8   82.496103   0    0  1.316658  83.928793 0.544480  84.595157 0.999543  85.594700  86.594239 1.401927   6  
  14  14  2   -1   0    0    3   88.510035   0    0  0.000000  91.042230 1.610950  92.774757 0.999554  93.774311  94.773860 1.236426   8  
  15  14  4    2   0    0    2   96.506405   0    0  1.733191  98.355549 0.753939  99.238492 0.999540 100.238032 101.237580 0.769049   6  
  16  14  2    1   0    0    7  102.503677   0    0  1.616591 104.286201 1.505016 105.918779 0.999544 106.918323 107.917883 1.086007   7  
  17  15  2    1   0    0    6  109.500488   0    0  2.466293 112.082648 0.656421 112.865623 0.999552 113.865176 114.864714 1.136006   7  
  18  15  3    1   0    0    8  116.513968   0    0  1.416664 118.046493 0.435148 118.596357 0.999538 119.595896 120.595444 1.418747   6  
  19  16  1    1   1    0    8  122.511236   0    0  1.733093 124.360400 0.703280 125.176697 0.999538 126.176234 127.175787 0.835674   6  
  20  16  1    1   1    0    8  128.508506   0    0  1.699768 130.374216 0.579941 131.074006 0.999543 132.073549 133.073096 0.935646   6  
  21  14  1    1   1    0    8  134.505781   0    0  1.899790 136.571425 0.482787 137.171238 0.999544 138.170782 139.170323 0.835692   6  
  22  14  3    1   0    0    6  140.503045   0    0  1.567816 142.235525 1.639246 144.001460 0.999551 145.001012 146.000553 1.002724   7  
  23  14  1    1   1    0    8  147.499874   0    0  1.649822 149.282395 0.534061 149.932105 0.999533 150.931638 151.931187 1.068919   6  
  24  14  4   -1   0    0   -1  153.497151   0    0  0.000000 156.012680 0.000000 158.011722 0.999581 159.011303 160.010849 0.986523   8  
  25  14  3    2   0    0    6  161.510166   0    0  1.466625 163.092787 0.693896 163.909082 0.999542 164.908624 165.908173 1.102217   6  
  26  14  4    4   1    0    3  167.507434   0    0  1.599804 169.223331 1.370854 170.722657 0.999541 171.722198 172.721742 1.285934   7  
  27  14  1    1   1    0    8  174.504263   0    0  1.200097 175.820323 0.356281 176.303443 0.999540 177.302983 178.302524 0.701956   5  
  28  13  1    1   1    0    8  179.501987   0    0  1.350015 180.967994 0.798702 181.884241 0.999537 182.883778 183.883332 1.118891   6  
