%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at songwen (       49.0000000000).5-Jun-2019 17:35:577.375917e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   10   1   1   -1      6      2.498403 2.332034   5.346600 0.000000   7.345211 0.653510   6  
   2  4   10   3   0    2      2      8.494583 2.481882  11.492759 1.514754  13.124968 0.869947   6  
   3  2   10   2   1    6      4     14.507431 1.715757  16.739334 1.512886  18.371636 1.636117   6  
   4  2   10   2   1    5      7     20.503682 1.682340  22.702211 1.646134  24.467747 1.536187   6  
   5  3   10   3   1    6      7     26.499786 1.649160  28.665085 1.789494  30.580526 1.419584   6  
   6  1   10   1   1    2      6     32.495964 2.082269  35.094312 0.941961  36.160306 1.835988   6  
   7  4   10   3   0    3      6     38.508817 2.048833  41.073848 1.828035  43.022609 0.986535   6  
   8  4   10   1   0    5      3     44.504992 1.849016  46.870151 1.416520  48.402515 1.602802   6  
   9  4   10   1   0    5      2     50.501165 1.599271  52.616504 0.949289  53.682477 2.319022   6  
  10  3   10   3   1    4      3     56.497429 1.965565  58.979112 1.216464  60.311606 1.686079   6  
  11  4   10   2   0    2      1     62.510189 2.481864  65.508282 1.633689  67.257188 0.753332   6  
  12  2   10   2   1    3      3     68.506370 1.882184  70.904846 0.884327  71.904197 2.102506   6  
  13  2   10   2   1   -1      2     74.502562 0.000000  77.533968 0.000000  79.532568 0.470312   6  
  14  3   10   1   0    5      2     80.498731 2.132136  83.147039 1.194807  84.462880 1.536189   6  
  15  2   10   2   1    4      2     86.511579 1.732417  88.760151 0.933309  89.809491 2.202409   6  
  16  4   10   2   0    2      1     92.507757 0.000000  95.589135 1.228013  96.938273 1.069806   6  
  17  3   10   3   1    2      2     98.503936 0.000000 101.785186 1.777381 103.683961 0.320300   6  
  18  3   10   3   1    4      2    104.500098 2.248774 107.265031 1.046576 108.430966 1.569478   6  
  19  2   10   2   1    5      2    110.512943 1.749025 112.778181 0.996616 113.894129 2.119152   6  
  20  1   10   1   1    4      5    116.509147 1.682321 118.707753 1.476161 120.306728 1.702736   6  
  21  4   10   2   0    4      5    122.505322 2.082128 125.103669 1.659984 126.885874 1.119781   6  
  22  1   10  -1   0    6      3    128.501498 0.000000 131.432979 0.983131 132.532274 1.469564   6  
  23  4   10   2   0    5      6    134.514338 1.915634 136.946129 1.029909 138.095407 1.919260   6  
  24  1   10   1   1    2      6    140.510528 1.482513 142.509260 0.804749 143.425341 2.585506   6  
  25  2   10   2   1    5      6    146.506709 2.165508 149.188333 0.907680 150.221011 1.786126   6  
  26  2   10   2   1    4      4    152.502896 2.098773 155.117894 1.134419 156.367095 1.636121   6  
  27  1   10   2   0    2      3    158.515728 0.000000 161.630415 1.407405 163.162771 0.853284   6  
  28  2   10   2   1    7      6    164.511909 1.599055 166.627236 1.726897 168.476059 1.536173   6  
  29  3   10   3   1   -1      5    170.491437 2.048783 173.056481 0.000000 175.055083 0.936461   6  
  30  1   10   1   1    6      6    176.487628 1.799009 178.802807 0.935200 179.852225 2.135515   6  
  31  4   10   4   1    6      7    182.500447 2.115488 185.132117 0.878753 186.131474 1.869097   6  
  32  1   10   1   1    7      7    188.496639 1.482672 190.495359 1.232062 191.844510 2.152272   6  
  33  3   10   2   0    3      4    194.492834 0.000000 197.740752 0.882493 198.740112 1.252870   6  
  34  2   10   2   1    7      6    200.489003 1.632423 202.637628 1.294758 204.053398 1.935775   6  
  35  3   10   3   1    6      6    206.501839 1.649101 208.667127 1.148210 209.932989 2.069040   6  
