%% MetaTwins_RDMsc_training for 'songwu': starting at _nofeedback (       49.0000000000).5-Jun-2019 17:12:56 for '7.375917e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1   4  3    3   1    0    2    2.498861   0    0  2.466037   5.081029 1.219733   6.430407  0   0    6.430407 0.568689   5  
   2   4  2    2   1    0    4    7.496594   0    0  1.433352   9.095880 1.941362  11.161582  0   0   11.161582 0.835248   5  
   3   3  1    2   0    0    3   12.494331   0    0  1.716564  14.359981 0.389142  14.876588  0   0   14.876588 1.117980   4  
   4   3  3    2   0    0    4   16.509177   0    0  1.216637  17.858571 0.632336  18.608233  0   0   18.608233 1.401178   4  
   5   4  1    2   0    0    3   20.507358   0    0  2.033139  22.689705 0.438232  23.256125  0   0   23.256125 0.751468   4  
   6   4  4    2   0    0    1   24.505553   0    0  1.533286  26.204789 0.188190  26.521305  0   0   26.521305 1.484464   4  
   7   5  1    3   0    0    1   28.503737   0    0  2.349578  31.002612 1.212978  32.335329  0   0   32.335329 0.668642   5  
   8   5  2    3   0    0    1   33.501476   0    0  2.249687  35.900389 0.938091  36.966562  0   0   36.966562 1.035141   5  
   9   6  3    2   0    0    2   38.499194   0    0  1.366646  40.048506 0.959607  41.131337  0   0   41.131337 0.868100   4  
  10   6  3    2   0    0    5   42.514053   0    0  2.299577  44.946154 1.020480  46.079103  0   0   46.079103 0.935176   5  
  11   7  2    2   1    0    5   47.511783   0    0  1.383299  49.027765 0.147698  49.294305  0   0   49.294305 0.717699   3  
  12   7  4    2   0    0    5   50.510414   0    0  1.666632  52.292909 0.384964  52.792709  0   0   52.792709 1.217938   4  
  13   7  1    2   0    0    2   54.508605   0    0  1.883007  56.640964 1.207355  57.957040  0   0   57.957040 1.051794   5  
  14   8  3    3   1    0    4   59.506337   0    0  1.816548  61.438797 1.199008  62.754861  0   0   62.754861 1.251707   5  
  15   8  4    4   1    0    2   64.487405   0    0  1.516541  66.120001 0.677448  66.919638  0   0   66.919638 1.067857   4  
  16   7  2    2   1    0    1   68.502257   0    0  1.050159  69.685067 0.911165  70.717927  0   0   70.717927 1.284411   4  
  17   7  1    2   0    0    1   72.500439   0    0  2.416152  75.065953 0.932787  76.115469  0   0   76.115469 0.885091   5  
  18   7  4    2   0    0    2   77.498186   0    0  1.716605  79.347260 0.484459  79.947060  0   0   79.947060 1.051236   4  
  19   8  4    2   0    0    2   81.496377   0    0  1.983071  83.612076 0.519432  84.245123  0   0   84.245123 0.751409   4  
  20   8  4    1   0    0    5   85.494563   0    0  1.733244  87.410254 1.073487  88.609804  0   0   88.609804 1.384930   5  
  21   9  1    1   1    0    5   90.492285   0    0  1.516582  92.158206 0.519994  92.791232  0   0   92.791232 1.201246   4  
  22   9  2    2   1    0    5   94.507125   0    0  2.349597  96.972633 0.551851  97.639043  0   0   97.639043 1.368290   5  
  23   8  4    2   0    0    5   99.504863   0    0  2.116322 101.753846 0.618746 102.486833  0   0  102.486833 0.518258   4  
  24   8  4    1   0    0    5  103.503073   0    0  1.866375 105.602090 0.260108 105.985255  0   0  105.985255 1.018031   4  
  25   9  1    1   1    0    5  107.501241   0    0  1.500679 109.167148 0.140022 109.433686  0   0  109.433686 0.567777   3  
  26   9  1    1   1    0    5  110.499881   0    0  1.782985 112.432329 0.167322 112.715546  0   0  112.715546 1.284562   4  
  27   8  3    1   0    0    5  114.498059   0    0  1.899904 116.547082 0.120634 116.780360  0   0  116.780360 1.217928   4  
  28   8  4    1   0    0    2  118.496252   0    0  1.983230 120.628607 0.147596 120.895159  0   0  120.895159 1.101323   4  
  29   9  3    1   0    0    2  122.511090   0    0  2.183035 124.826600 0.408438 125.359805  0   0  125.359805 0.651513   4  
  30   9  4    2   0    0    3  126.509268   0    0  1.683042 128.375103 0.399852 128.891527  0   0  128.891527 1.117979   4  
  31  10  1    1   1    0    4  130.507459   0    0  2.116303 132.789767 1.645782 134.555637  0   0  134.555637 1.452051   6  
  32  10  2    2   1    0    5  136.504742   0    0  1.616372 138.253873 0.841480 139.220188  0   0  139.220188 0.784782   4  
  33   9  3    1   0    0    5  140.502931   0    0  2.082906 142.735205 0.505880 143.368320  0   0  143.368320 0.634841   4  
  34   9  2    2   1    0    6  144.501112   0    0  1.783278 146.500210 0.627076 147.249865  0   0  147.249865 0.751474   4  
  35   9  3    4   0    0    1  148.515970   0    0  2.366190 150.998181 0.962891 152.081014  0   0  152.081014 0.935165   5  
  36   9  4   -1   0    0    2  153.513697   0    0  0.000000 156.029229 0.075187 156.229122  0   0  156.229122 0.784804   4  
  37   9  1    1   1    0    5  157.495222   0    0  1.616506 159.294370 0.956325 160.377246  0   0  160.377246 0.618033   4  
  38   9  2    2   1    0    5  161.493407   0    0  1.550006 163.209251 0.640526 163.975624  0   0  163.975624 1.017860   4  
  39   8  1    1   1    0    5  165.491585   0    0  2.083020 167.757228 1.186980 169.073295  0   0  169.073295 0.918402   5  
  40   8  3    1   0    0    5  170.489334   0    0  1.916366 172.588383 0.512823 173.221412  0   0  173.221412 0.768026   4  
  41   8  4    1   0    0    1  174.504179   0    0  2.266304 176.902945 1.060964 178.085880  0   0  178.085880 0.918423   5  
  42   9  2    2   1    0    1  179.501911   0    0  1.350055 180.967906 1.171961 182.267327  0   0  182.267327 0.734727   4  
  43   9  1    1   1    0    2  183.500096   0    0  1.733021 185.382577 1.764605 187.265044  0   0  187.265044 0.735226   5  
  44   8  3    2   0    0    1  188.497830   0    0  1.883135 190.496912 0.412415 191.030016  0   0  191.030016 0.967995   4  
  45   8  4    2   0    0    2  192.496013   0    0  1.566582 194.195243 0.646878 194.961560  0   0  194.961560 1.034662   4  
  46   9  3    3   1    0    5  196.494196   0    0  1.633137 198.260056 0.475684 198.859784  0   0  198.859784 1.134633   4  
  47   9  3    3   1    0   -1  200.492378   0    0  1.732995 202.341548 0.000000 204.340593  0   0  204.340593 0.652025   5  
  48   9  2    2   1    0    3  205.506782   0    0  1.716568 207.355940 0.921284 208.405452  0   0  208.405452 0.601562   4  
  49   8  3    2   0    0    3  209.504961   0    0  1.916501 211.537371 0.451476 212.103783  0   0  212.103783 0.901396   4  
  50   8  1    2   0    0    3  213.503135   0    0  1.500559 215.135735 0.317067 215.568873  0   0  215.568873 1.434506   4  
  51   9  4   -1   0    0    2  217.501333   0    0  0.000000 220.016864 0.025430 220.166788  0   0  220.166788 0.834781   4  
  52   9  2    2   1    0    5  221.499518   0    0  1.666467 223.282047 1.120455 224.531483  0   0  224.531483 1.468271   5  
  53   9  2    2   1    0    3  226.497258   0    0  1.183262 227.796663 0.715433 228.629619  0   0  228.629619 1.367864   4  
  54   8  1    1   1    0    2  230.512092   0    0  1.100067 231.761536 0.495223 232.377926  0   0  232.377926 0.634408   3  
  55   8  4    2   0    0    2  233.510731   0    0  1.566626 235.193287 0.964516 236.276154  0   0  236.276154 0.734808   4  
  56   8  1    2   0    0    2  237.508928   0    0  1.499764 239.141518 0.297874 239.558002  0   0  239.558002 1.451155   4  
  57   9  2    2   1    0    3  241.507116   0    0  1.449862 243.106383 0.346769 243.572840  0   0  243.572840 1.434496   4  
  58   9  2    2   1    0    4  245.505294   0    0  1.399871 247.037943 1.087922 248.254057  0   0  248.254057 0.751477   4  
  59   8  2    2   1    0    4  249.503483   0    0  1.316692 250.936170 0.330988 251.385953  0   0  251.385953 0.617762   3  
  60   8  3    1   0    0   -1  252.502123   0    0  2.299526 254.917670 0.000000 256.916736  0   0  256.916736 1.085608   6  
]; % This session completes at 15-Jun-2019 17:17:22, 260.004s after session start, 256s on 60 trials, totally 265.903s, correctness is 45.000%.

