%% MetaTwins_RDMsc_training for 'dubo': starting at _feedback (       49.0000000000).6-Jun-2019 15:44:08 for '7.375927e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  40  1    1   1    0    8    2.498464   0    0  0.932850   3.581108 0.770193   4.463886 0.999347   5.463233   6.462607 0.536177   5  
   2  40  3    3   1    0    8    7.495273   0    0  1.166712   8.777796 0.431859   9.327449 0.999358  10.326808  11.326172 0.669421   5  
   3  36  4    4   1    0    8   12.492104   0    0  1.266079  13.874546 0.444244  14.440880 0.999337  15.440217  16.439578 0.552825   5  
   4  36  2    2   1    0    8   17.505564   0    0  1.032901  18.671334 0.568847  19.354392 0.999358  20.353751  21.353117 0.652767   5  
   5  32  1    1   1    0    8   22.502397   0    0  0.866322  23.501755 0.536101  24.151346 0.999360  25.150706  26.150060 0.852625   5  
   6  32  4    4   1    0    8   27.499211   0    0  1.199476  28.815031 0.549422  29.481288 0.999363  30.480651  31.480012 0.519504   5  
   7  28  1    1   1    0    8   32.496032   0    0  1.615910  34.294879 0.509310  34.911151 0.999364  35.910515  36.909877 1.086455   6  
   8  28  1    1   1    0    7   38.492201   0    0  1.465935  40.141163 0.859070  41.107204 0.999372  42.106576  43.105937 0.886564   6  
   9  25  2    2   1    0    8   44.505046   0    0  0.966250  45.604194 0.979143  46.703649 0.999371  47.703021  48.702377 1.302965   6  
  10  25  1    1   1    0    7   50.501231   0    0  1.799053  52.433305 0.936536  53.482674 0.999343  54.482017  55.481397 0.520115   6  
  11  22  2    2   1    0    7   56.497410   0    0  0.966240  57.579904 0.605913  58.296273 0.999358  59.295631  60.294994 0.702700   5  
  12  22  2    2   1    0    7   61.494227   0    0  1.066242  62.693344 0.570500  63.376357 0.999365  64.375722  65.375092 0.619416   5  
  13  19  4    4   1    0    8   66.491048   0    0  1.366022  67.973439 0.307477  68.389830 0.999366  69.389196  70.388564 0.602747   5  
