%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at dulan (       49.0000000000).6-Jun-2019 17:33:487.375927e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   13   2   0    5    2.498853 1.733778   4.364694 0.908570   5.397543 2.601523   6  
   2  2   13   2   1    4    8.496154 1.900739  10.511909 1.811311  12.444370 1.552010   6  
   3  3   13   1   0    5   14.510079 1.982844  16.609155 1.261562  17.991854 2.018462   6  
   4  1   13   1   1    2   20.507386 2.033935  22.673067 1.358444  24.155654 1.851958   6  
   5  1   13   2   0    2   26.504652 2.216549  28.853608 0.989695  29.969772 2.035100   6  
   6  4   13   1   0    6   32.501955 2.334331  34.950893 1.089768  36.166961 1.835210   6  
   7  3   13   2   0    3   38.499220 1.999714  40.648265 1.434202  42.197553 1.801867   6  
   8  1   13   1   1    3   44.496567 2.266809  46.895431 1.364724  48.378096 1.618606   6  
   9  2   13   2   1    6   50.510454 1.766525  52.426254 0.720036  53.275871 2.734808   6  
  10  2   13   2   1    5   56.507750 1.317816  57.940435 0.656053  58.723414 3.284554   6  
  11  4   13   2   0    8   62.505012 1.449959  64.070969 0.495390  64.687370 3.317886   6  
  12  4   13   1   0    5   68.502320 1.934301  70.551352 0.829239  71.500964 2.501575   6  
  13  2   13   2   1    5   74.499584 2.133057  76.765231 0.849652  77.731460 2.268302   6  
  14  4   13  -1   0    3   80.496876 0.000000  83.012407 0.134374  83.262285 2.734818   6  
  15  2   13   2   1    8   86.510817 1.116762  87.743590 0.335529  88.193385 3.817668   6  
  16  3   13   3   1    3   92.508106 2.184217  94.807040 1.060723  95.989865 2.018464   6  
  17  1   13   1   1    5   98.505384 2.299541 100.920975 0.903112 101.937179 2.068438   6  
  18  2   13   2   1    6  104.502678 2.017112 106.685020 1.037928 107.851164 2.151739   6  
  19  1   13   1   1    3  110.499947 1.982857 112.598943 1.010206 113.731820 2.268276   6  
  20  3   13   2   0    5  116.497237 2.217724 118.879501 0.934732 119.929021 2.068437   6  
  21  2   13   4   0    3  122.511170 2.082977 124.710180 1.271098 126.109543 1.901863   6  
  22  3   13   2   0    6  128.508465 1.867499 130.490906 0.965640 131.573744 2.434954   6  
  23  1   13   1   1    5  134.505741 1.932889 136.588134 1.394907 138.104115 1.901853   6  
  24  2   13   2   1    8  140.503034 1.000882 141.619192 0.317069 142.052329 3.950944   6  
  25  2   13   2   1    8  146.500313 1.033500 147.666458 0.516516 148.299506 3.700966   6  
  26  3   13   3   1    5  152.497606 2.250914 154.863200 0.900124 155.879407 2.118393   6  
  27  1   13   2   0    3  158.511532 2.100412 160.743865 1.155657 162.026614 1.985146   6  
  28  3   13   3   1    6  164.508831 1.983782 166.607882 1.175355 167.907303 2.101763   6  
  29  1   13   2   0    1  170.506106 2.216146 172.888367 1.279737 174.287750 1.718592   6  
  30  3   13  -1   0    4  176.503406 0.000000 179.018950 0.148678 179.285473 2.718144   6  
  31  1   13   1   1    5  182.500680 1.683094 184.299855 1.277731 185.699216 2.301594   6  
  32  1   13   1   1    6  188.514631 1.667250 190.297152 0.892597 191.313366 2.701487   6  
  33  4   13   4   1    6  194.511897 1.983027 196.610948 1.369699 198.110270 1.901857   6  
  34  1   13   1   1    6  200.509187 2.001324 202.624906 1.487473 204.240841 1.768577   6  
  35  2   13   2   1    8  206.506463 1.666457 208.322326 0.714501 209.155268 2.851425   6  
  36  3   13   1   0    2  212.503765 1.934099 214.586163 1.125630 215.835586 2.168411   6  
  37  2   13   2   1    5  218.501027 2.149623 220.800010 1.299511 222.216054 1.785100   6  
  38  3   13   1   0    2  224.515001 2.033358 226.797266 1.255417 228.180004 1.835208   6  
  39  2   13   4   0    7  230.512260 1.400043 232.028257 1.537545 233.694156 2.318338   6  
  40  4   13   4   1    8  236.509563 1.417751 238.042199 0.977292 239.141702 2.868087   6  
  41  4   13   2   0    3  242.506818 1.733177 244.405981 1.791048 246.321770 1.685305   6  
  42  3   13   1   0    3  248.504134 2.017322 250.669817 1.277658 252.069187 1.935162   6  
