%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at xujian (       50.0000000000).3-Jun-2019 11:59:457.375995e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  4   14   4   1    6    2.498849 1.283317   3.898220 0.616335   4.631216 3.367859   6  
   2  1   14   4   0    3    8.496123 2.066120  10.678479 0.724125  11.528097 2.468214   6  
   3  3   14   3   1    5   14.493414 2.183037  16.792371 0.618406  17.525370 2.468200   6  
   4  2   14   2   1    5   20.490696 1.699950  22.339856 0.896889  23.356059 2.634772   6  
   5  4   14   3   0   -1   26.487976 1.999767  28.603687 0.000000  30.602716 1.385354   6  
   6  4   14   4   1    5   32.501901 2.049559  34.667589 0.536496  35.333962 2.668028   6  
   7  3   14   3   1    6   38.515853 1.783855  40.414988 0.399898  40.931411 3.084652   6  
   8  1   14   2   0    5   44.513124 1.616640  46.245676 0.441555  46.812101 3.201258   6  
   9  1   14   4   0    5   50.510409 2.482981  53.142485 0.702932  53.958832 2.051795   6  
  10  2   14   3   0    2   56.507687 2.249542  58.873298 0.992056  59.989426 2.018493   6  
  11  1   14  -1   0    1   62.504964 0.000000  65.020504 0.202101  65.337014 2.668175   6  
  12  2   14   2   1    3   68.502235 1.366685  69.984906 1.371398  71.484215 2.518253   6  
  13  3   14  -1   0    2   74.499522 0.000000  77.015051 0.076049  77.214962 2.784792   6  
  14  3   14   1   0    5   80.496803 2.032996  82.662486 0.267436  83.045646 2.951387   6  
  15  2   14   2   1    5   86.494085 2.299655  88.926319 0.434408  89.476062 2.518249   6  
  16  3   14   2   0    5   92.508018 2.349597  94.973397 0.439294  95.539976 2.468268   6  
  17  2   14   2   1    2   98.505294 1.866493 100.487738 0.010776 100.621008 3.384508   6  
  18  1   14   2   0    5  104.502575 2.283024 106.918150 0.257957 107.301306 2.701461   6  
  19  4   14   2   0    3  110.499856 2.416208 113.065363 1.535414 114.731278 1.268740   6  
  20  1   14   1   1   -1  116.497139 1.716562 118.346170 0.000000 120.345340 1.651912   6  
  21  3   14   3   1    7  122.494406 2.482810 125.093235 0.631015 125.842905 2.151602   6  
  22  4   14  -1   0    2  128.491696 0.000000 131.007240 0.300942 131.423695 2.568052   6  
  23  1   14   1   1    5  134.505625 2.183066 136.804421 0.347563 137.271055 2.734808   6  
  24  4   14   1   0    1  140.502914 1.916470 142.568643 0.695841 143.384945 2.618197   6  
  25  1   14   1   1    3  146.500188 1.833137 148.465970 0.951337 149.532156 2.468258   6  
  26  1   14   2   0    5  152.497467 1.416707 154.030100 0.766151 154.913049 3.084661   6  
  27  2   14   2   1    6  158.511417 1.683456 160.310575 0.763885 161.193526 2.818111   6  
  28  2   14   1   0    3  164.508684 1.849831 166.491125 1.047099 167.657266 2.351649   6  
