%% MetaTwins_RDMsc_training for 'xujian': starting at _feedback (       50.0000000000).3-Jun-2019 11:25:51 for '7.375995e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  18  4   -1   0    0    2    2.499164   0    0  0.000000   5.014692 0.400015   5.531118 0.999540   6.530659   7.530220 1.469166   7  
   2  18  4    2   0    0    6    9.495989   0    0  1.316696  10.928677 0.111310  11.161895 0.999556  12.161451  13.160998 0.835178   5  
   3  18  2    3   0    0    5   14.493724   0    0  1.616544  16.226271 0.197327  16.542795 0.999550  17.542345  18.541881 1.452002   6  
   4  20  2    3   0    0    3   20.491010   0    0  1.583150  22.190225 0.120006  22.423462 0.999535  23.422997  24.422552 0.568606   5  
   5  20  3    3   1    0    5   25.488730   0    0  1.366492  26.988046 1.021755  28.137540 0.999520  29.137060  30.136618 0.852238   6  
   6  20  4    2   0    0    5   31.502675   0    0  1.518638  33.135263 0.229151  33.485109 0.999551  34.484659  35.484182 0.518578   5  
   7  20  1    4   0    0    5   36.500417   0    0  1.450058  38.066371 0.112111  38.299585 0.999545  39.299130  40.298675 0.701793   5  
   8  22  2    3   0    0    5   41.514789   0    0  1.899741  43.530554 0.131700  43.780444 0.999532  44.779976  45.779539 1.235478   6  
   9  22  3    3   1    0    6   47.512079   0    0  1.516566  49.144671 0.391033  49.661104 0.999540  50.660645  51.660192 1.352101   6  
  10  22  4    2   0    0    2   53.509360   0    0  2.366119  55.991568 1.170102  57.274320 0.999536  58.273857  59.273401 0.736185   7  
  11  22  2    3   0    0    5   60.506185   0    0  1.416456  62.038822 0.692066  62.855121 0.999518  63.854638  64.854208 1.152200   6  
  12  25  1    3   0    0    6   66.503459   0    0  1.649867  68.269327 0.414606  68.802410 0.999555  69.801965  70.801502 1.202197   6  
  13  25  4    3   0    0    5   72.500738   0    0  2.432723  75.049579 0.941150  76.115768 0.999533  77.115301  78.114852 0.886107   7  
  14  28  3    3   1    0    6   79.497567   0    0  1.849672  81.463335 0.437375  82.029750 0.999540  83.029291  84.028845 0.968956   6  
  15  28  2    2   1    0    5   85.494840   0    0  2.332952  87.943733 0.407016  88.476837 0.999544  89.476381  90.475921 0.519149   6  
  16  25  4    4   1    0    7   91.508794   0    0  1.350048  92.974790 0.313196  93.407928 0.999532  94.407461  95.407015 0.601991   5  
  17  25  3   -1   0    0    2   96.506517   0    0  0.000000  99.022074 0.080790  99.221951 0.999552 100.221503 101.221051 0.785700   6  
  18  25  2    2   1    0    5  102.503791   0    0  1.816459 104.436253 0.563323 105.119281 0.999533 106.118814 107.118377 0.885626   6  
  19  22  1    1   1    0    5  108.501080   0    0  1.799689 110.416820 0.181059 110.716744 0.999534 111.716278 112.715829 1.285434   6  
  20  22  3    3   1    0    7  114.498354   0    0  1.816455 116.430808 0.380952 116.930580 0.999551 117.930131 118.929685 1.068829   6  
