%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at xujun (       50.0000000000).3-Jun-2019 12:30:487.375995e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   11   1   1    7    2.498397 1.915967   4.630378 0.476645   5.213340 2.785386   6  
   2  3   11   2   0    5    8.494587 2.049034  10.726419 0.555726  11.392737 2.602170   6  
   3  2   11   2   1    5   14.507419 2.332390  17.039001 0.391755  17.538836 2.468915   6  
   4  4   11   2   0    3   20.503604 1.299609  21.969126 0.211140  22.285803 3.718142   6  
   5  1   11   1   1    5   26.499782 1.316368  28.015498 0.538770  28.665081 3.335034   6  
   6  4   11   2   0    3   32.512623 1.649463  34.361390 1.548476  36.027061 1.985889   6  
   7  2   11   2   1    5   38.508802 1.532667  40.274351 0.544803  40.940601 3.068531   6  
   8  3   11   3   1    7   44.504996 1.399585  46.087152 0.537129  46.736909 3.268402   6  
   9  2   11  -1   0    2   50.501175 0.000000  53.016250 0.092018  53.216120 2.785373   6  
  10  1   11   1   1    8   56.513999 1.182987  57.913142 0.711766  58.745925 3.268409   6  
  11  4   11   2   0    5   62.510192 1.715897  64.458963 0.584338  65.158518 2.851994   6  
  12  4   11   1   0    5   68.489713 1.782623  70.488400 0.482214  71.088059 2.901745   6  
  13  2   11   1   0    5   74.502570 2.365470  77.084255 0.390981  77.583935 2.418762   6  
  14  4   11   2   0    3   80.498744 1.682779  82.397352 0.325503  82.830594 3.168317   6  
  15  4   11   2   0    6   86.494923 1.582636  88.277100 1.002964  89.393074 2.602046   6  
  16  3   11   3   1    7   92.491109 1.899171  94.606427 0.784421  95.505858 2.485475   6  
  17  2   11  -1   0    2   98.503940 0.000000 101.019021 0.023432 101.152243 2.851980   6  
  18  2   11   3   0    3  104.500122 1.633350 106.365604 1.297219 107.781358 2.219062   6  
  19  2   11   1   0    3  110.496296 2.015833 112.711399 1.344518 114.177286 1.819336   6  
  20  3   11   4   0    3  116.509132 2.182403 118.957586 0.782252 119.857008 2.152465   6  
  21  1   11   1   1    5  122.505327 1.482835 124.187589 1.195659 125.503417 2.502231   6  
  22  4   11   3   0    2  128.501511 2.232322 130.899990 0.385649 131.399665 2.602163   6  
  23  2   11   2   1    5  134.497679 1.816050 136.496260 0.798253 137.412503 2.585499   6  
  24  2   11   2   1    2  140.510530 2.398792 143.058911 0.216192 143.392029 2.618809   6  
  25  2   11   3   0    2  146.506701 2.232357 148.888520 0.775178 149.771292 2.235732   6  
  26  1   11   1   1    2  152.502890 2.348897 155.034612 0.441980 155.584266 2.418953   6  
  27  4   11   4   1    7  158.499062 1.749520 160.464258 0.499544 161.080759 2.918636   6  
  28  1   11   1   1    5  164.511905 2.032509 166.743835 0.754974 167.609939 2.402296   6  
  29  3   11   3   1    7  170.508104 1.799312 172.506706 0.573077 173.189712 2.818707   6  
  30  4   11   2   0    5  176.487624 1.982547 178.702881 0.333671 179.152583 2.835127   6  
  31  4   11   1   0    3  182.500460 1.815907 184.515731 0.892139 185.515201 2.485396   6  
  32  2   11   3   0    5  188.496640 2.232361 190.945073 0.825182 191.877816 2.118982   6  
  33  3   11   4   0    6  194.492826 1.716008 196.391604 0.534320 197.041200 2.951824   6  
  34  4   11   1   0    7  200.489003 1.532833 202.187759 0.327425 202.620982 3.368248   6  
  35  3   11   3   1    7  206.501848 1.782639 208.483916 0.559662 209.150154 2.851945   6  
  36  1   11   1   1    5  212.498010 1.416256 214.113552 0.798886 215.029754 2.968566   6  
  37  1   11   1   1    5  218.494209 0.933181 219.626685 0.409126 220.143157 3.851426   6  
  38  4   11   4   1    3  224.507041 2.165678 226.855543 0.929745 227.904886 2.102480   6  
  39  3   11   3   1    6  230.503227 1.932487 232.618337 0.552782 233.284778 2.718769   6  
  40  1   11   1   1    3  236.499403 1.449427 238.165022 0.861856 239.147712 2.852022   6  
  41  3   11   3   1    6  242.495584 1.865918 244.577588 0.895637 245.593618 2.402295   6  
