%% MetaTwins_RDMsc_training for 'xujun': starting at _feedback (       50.0000000000).3-Jun-2019 11:10:25 for '7.375995e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  90  2   -1   0    0   -1    2.498399   0    0  0.000000   5.080085 0.000000   7.078725 0.999459   8.078185   9.077539 0.921156   8  
   2  90  2   -1   0    0   -1   10.493303   0    0  0.000000  13.008389 0.000000  15.007018 0.999452  16.006470  17.005819 0.987807   8  
   3  90  4   -1   0    0   -1   18.504863   0    0  0.000000  21.019950 0.000000  23.018602 0.999429  24.018032  25.017396 0.987807   8  
   4  90  3   -1   0    0   -1   26.499775   0    0  0.000000  29.014776 0.000000  31.013506 0.999430  32.012936  33.012302 0.987805   8  
   5  90  3   -1   0    0   -1   34.511354   0    0  0.000000  37.026365 0.000000  39.025076 0.999414  40.024491  41.023868 0.987807   8  
   6  90  2   -1   0    0   -1   42.506253   0    0  0.000000  45.021350 0.000000  47.019958 0.999461  48.019419  49.018769 0.987806   8  
   7  90  3   -1   0    0   -1   50.501162   0    0  0.000000  53.016263 0.000000  55.014878 0.999437  56.014315  57.013682 0.987801   8  
   8  90  2    2   1    0   -1   58.496070   0    0  1.400971  60.128305 0.000000  62.127036 0.999419  63.126455  64.125827 0.870352   7  
   9  90  3   -1   0    0    3   65.491622   0    0  0.000000  68.006707 0.571882  68.689585 0.999364  69.688950  70.688309 1.303463   7  
  10  90  4   -1   0    0    4   72.503821   0    0  0.000000  75.018916 0.575698  75.701764 0.999381  76.701145  77.700515 1.303491   7  
  11  90  3    3   1    0    7   79.499366   0    0  2.199157  81.897834 1.935133  83.946536 0.999367  84.945904  85.945261 1.054324   8  
  12  90  3    3   1    0    8   87.494277   0    0  1.482888  89.159882 1.582831  90.858798 0.999365  91.858163  92.857530 1.137024   7  
  13  81  2    2   1    0    8   94.506469   0    0  1.466060  96.205405 1.357129  97.671122 0.999368  98.670490  99.669847 1.336957   7  
  14  81  4    4   1    0    8  101.502017   0    0  2.382311 104.083721 1.956105 106.149071 0.999349 107.148420 108.147790 0.854559   8  
  15  72  3    3   1    0    7  109.496924   0    0  1.482736 111.129235 0.956108 112.195206 0.999377 113.194583 114.193932 0.803331   6  
  16  72  4    4   1    0    8  115.509765   0    0  1.949202 117.624937 1.351796 119.090829 0.999360 120.090189 121.089552 0.920545   7  
  17  64  3    3   1    0    8  122.505327   0    0  1.416195 124.087650 0.745716 124.953755 0.999364 125.953119 126.952480 1.053152   6  
  18  64  1    1   1    0    8  128.501504   0    0  1.316174 130.033694 0.955933 131.099843 0.999355 132.099198 133.098578 0.903241   6  
  19  57  4    4   1    0    6  134.514335   0    0  2.382345 137.062658 1.397328 138.578414 0.999365 139.577779 140.577150 1.437501   8  
  20  57  4    4   1    0    8  142.509238   0    0  1.982516 144.657888 1.373108 146.140269 0.999356 147.139624 148.138986 0.870576   7  
  21  51  2   -1   0    0    2  149.504795   0    0  0.000000 152.019863 1.118274 153.252409 0.999364 154.251773 155.251131 0.753982   7  
  22  51  2    2   1    0    8  156.500340   0    0  0.783358 157.499499 0.687728 158.299192 0.999360 159.298552 160.297921 0.702556   5  
  23  51  2    2   1    0    8  161.497147   0    0  0.816621 162.513169 0.511086 163.129444 0.999388 164.128832 165.128170 0.869150   5  
  24  45  1    1   1    0   -1  166.493966   0    0  1.815991 168.476028 0.000000 170.474686 0.999454 171.474140 172.473498 0.520675   7  
  25  45  2   -1   0    0    2  173.489511   0    0  0.000000 176.004616 0.047432 176.171133 0.999374 177.170507 178.169876 0.819880   6  
  26  45  4   -1   0    0    4  179.502354   0    0  0.000000 182.017434 1.036919 183.166694 0.999360 184.166054 185.165413 0.837229   7  
  27  45  3    3   1    0    8  186.497897   0    0  1.799371 188.479983 0.320964 188.913034 0.999351 189.912385 190.911764 1.086453   6  
  28  45  1    1   1    0    8  192.494074   0    0  1.249811 193.976429 0.483762 194.576081 0.999377 195.575458 196.574817 1.419590   6  
  29  40  3    3   1    0    8  198.506919   0    0  1.299633 200.005964 0.366693 200.488990 0.999360 201.488351 202.487717 0.519515   5  
  30  40  4    3   0    0    7  203.503741   0    0  1.682741 205.385887 1.857830 207.351288 0.999362 208.350650 209.350020 0.654047   7  
  31  40  2    2   1    0    6  210.499284   0    0  1.682726 212.398089 0.252966 212.764511 0.999359 213.763870 214.763234 1.236385   6  
  32  40  2    3   0    0   -1  216.512113   0    0  0.849806 217.544794 0.000000 219.543446 0.999439 220.542885 221.542250 1.470192   7  
  33  40  4    4   1    0    7  223.507669   0    0  1.849256 225.556375 0.435265 226.106004 0.999379 227.105383 228.104743 0.903255   6  
  34  36  4    4   1    0    7  229.503849   0    0  1.932494 231.619166 0.341003 232.068891 0.999355 233.068246 234.067608 0.936561   6  
  35  36  3   -1   0    0    3  235.516679   0    0  0.000000 238.031769 0.149470 238.298252 0.999364 239.297616 240.296981 0.720029   6  
  36  36  4    4   1    0    7  241.512868   0    0  1.582883 243.261699 0.612687 243.994620 0.999360 244.993980 245.993352 1.019840   6  
  37  32  4    4   1    0    7  247.492393   0    0  1.183032 248.824720 0.417801 249.357870 0.999370 250.357240 251.356602 0.635928   5  
  38  32  2   -1   0    0    2  252.489211   0    0  0.000000 255.004299 0.055951 255.170841 0.999360 256.170201 257.169566 0.819811   6  
  39  32  3    3   1    0    8  258.502050   0    0  1.682689 260.334151 0.094337 260.534093 0.999366 261.533458 262.532826 1.469440   6  
  40  28  3    3   1    0    8  264.498235   0    0  0.866504 265.547568 0.199765 265.864036 0.999366 266.863402 267.862759 1.135711   5  
  41  28  4    4   1    0    8  269.495046   0    0  1.466165 271.177316 0.248656 271.543739 0.999383 272.543122 273.542467 1.452853   6  
  42  25  1    1   1    0    8  275.491232   0    0  1.283016 277.006892 0.155899 277.273434 0.999356 278.272789 279.272165 0.719382   5  
  43  25  2    2   1    0    8  280.504705   0    0  1.182863 281.920414 0.123301 282.153667 0.999350 283.153016 284.152392 0.852624   5  
  44  22  3    3   1    0    8  285.501531   0    0  1.382894 287.033751 0.123331 287.267069 0.999362 288.266432 289.265787 0.736066   5  
  45  22  2    3   0    0    8  290.498344   0    0  0.983079 291.647622 0.165103 291.930761 0.999365 292.930126 293.929489 1.069180   5  
  46  22  1    4   0    0    7  295.495157   0    0  1.666128 297.343993 0.163738 297.627129 0.999379 298.626507 299.625870 1.369626   6  
  47  25  3    3   1    0    7  301.507993   0    0  1.582806 303.240129 0.217601 303.573347 0.999379 304.572727 305.572076 1.436243   6  
  48  25  1    1   1    0    6  307.504182   0    0  1.566038 309.269554 0.370120 309.752768 0.999351 310.752119 311.751480 1.253022   6  
  49  22  2    3   0    0    6  313.500362   0    0  1.449497 315.116015 0.376370 315.599036 0.999365 316.598401 317.597754 1.402928   6  
  50  22  1    1   1    0    7  319.513199   0    0  2.099101 321.845061 0.634381 322.594565 0.999380 323.593944 324.593300 1.420228   7  
  51  22  4    2   0    0    6  326.508754   0    0  1.549596 328.274300 0.553957 328.940543 0.999363 329.939906 330.939270 1.069793   6  
  52  22  1    1   1    0    6  332.504937   0    0  1.965798 334.670131 0.562643 335.353117 0.999370 336.352487 337.351851 0.653401   6  
  53  22  1    1   1    0    6  338.501121   0    0  1.882433 340.549746 0.624403 341.282679 0.999362 342.282041 343.281397 0.719839   6  
  54  19  1    1   1    0    6  344.497290   0    0  1.582806 346.262845 0.338236 346.712541 0.999368 347.711909 348.711285 1.286184   6  
  55  19  1    1   1    0    6  350.493477   0    0  1.632749 352.292329 0.259362 352.658763 0.999359 353.658122 354.657489 1.336192   6  
  56  17  1    1   1    0    6  356.489665   0    0  1.282951 357.955389 0.250151 358.321842 0.999353 359.321195 360.320562 0.669329   5  
  57  17  4   -1   0    0    3  361.503129   0    0  0.000000 364.018139 0.194388 364.318010 0.999364 365.317374 366.316730 0.686674   6  
  58  17  1    1   1    0    6  367.499314   0    0  1.216327 368.915087 0.283029 369.314824 0.999375 370.314198 371.313547 0.686063   5  
  59  15  1    1   1    0    6  372.496136   0    0  1.499482 374.211708 0.156261 374.478215 0.999356 375.477571 376.476930 0.519520   5  
  60  15  1    1   1    0    6  377.492945   0    0  1.199604 378.892071 0.250001 379.258492 0.999364 380.257856 381.257222 0.736059   5  
]; % This session completes at 23-Jun-2019 11:17:02, 384.342s after session start, 380s on 60 trials, totally 396.682s, correctness is 65.000%.

