%% MetaTwins_RDMsc_training for 'niuna': starting at _nofeedback (       50.0000000000).3-Jun-2019 11:40:55 for '7.375995e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  14  2    3   0    0    2    2.498866   0    0  1.983110   4.614525 0.540908   5.280943  0   0    5.280943 0.718129   4  
   2  14  3    1   0    0    8    6.497040   0    0  1.016766   7.663159 0.274746   8.062993  0   0    8.062993 0.934233   3  
   3  15  2    2   1    0    8    9.495701   0    0  1.733150  11.344841 0.160466  11.611391  0   0   11.611391 1.384448   4  
   4  15  3    3   1    0    8   13.493862   0    0  2.066280  15.676210 0.144325  15.942752  0   0   15.942752 1.051242   4  
   5  14  4    4   1    0    8   17.492050   0    0  1.416642  19.024522 0.164145  19.307892  0   0   19.307892 0.684244   3  
   6  14  4    3   0    0    2   20.490678   0    0  1.483230  22.089959 0.900843  23.106162  0   0   23.106162 0.884580   4  
   7  14  4    2   0    0    4   24.505522   0    0  2.349534  26.987727 1.015838  28.120551  0   0   28.120551 0.885206   5  
   8  15  4    4   1    0    8   29.503255   0    0  0.950065  30.569432 0.679460  31.369068  0   0   31.369068 0.634413   3  
   9  15  4   -1   0    0    2   32.501877   0    0  0.000000  35.017420 0.216184  35.350600  0   0   35.350600 0.651520   4  
  10  15  1    1   1    0    8   36.500059   0    0  1.083445  37.766152 0.209760  38.099340  0   0   38.099340 0.900957   3  
  11  14  2    4   0    0    7   39.498691   0    0  1.316619  40.948051 0.430794  41.497796  0   0   41.497796 0.501139   3  
  12  14  1    1   1    0    8   42.497336   0    0  1.083296  43.713298 0.190028  44.029970  0   0   44.029970 0.967599   3  
  13  14  4    2   0    0    3   45.495976   0    0  1.666489  47.278360 0.301999  47.694970  0   0   47.694970 1.301246   4  
  14  14  1    1   1    0    7   49.494154   0    0  1.133408  50.743456 0.682071  51.543231  0   0   51.543231 1.451161   4  
  15  14  3    3   1    0    8   53.492331   0    0  1.416592  55.024974 0.631595  55.774647  0   0   55.774647 1.217918   4  
  16  13  4    4   1    0    7   57.490531   0    0  1.383251  59.039728 1.000225  60.155978  0   0   60.155978 0.834749   4  
  17  13  1    1   1    0    8   61.505362   0    0  1.516623  63.171186 0.294591  63.587750  0   0   63.587750 1.417772   4  
