%% MetaTwins_RDMsc_training for 'liumiao': starting at _nofeedback (       50.0000000000).3-Jun-2019 16:46:04 for '7.375997e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  15  2    2   1    0    5    2.498869   0    0  1.799860   4.414662 0.706679   5.247617  0   0    5.247617 0.751468   4  
   2  15  4    4   1    0    5    6.497051   0    0  1.116775   7.729835 0.250914   8.096332  0   0    8.096332 0.900933   3  
   3  14  4    4   1    0    5    9.495694   0    0  0.833428  10.445265 0.448581  11.011676  0   0   11.011676 0.984214   3  
   4  14  3    3   1    0    6   12.494334   0    0  1.199851  13.810400 0.527252  14.460113  0   0   14.460113 0.534417   3  
   5  13  4    4   1    0    7   15.492986   0    0  0.900077  16.509173 0.658828  17.292158  0   0   17.292158 0.701006   3  
   6  13  3    3   1    0    7   18.491607   0    0  1.233469  19.841002 0.577286  20.540691  0   0   20.540691 1.451098   4  
   7  12  3    3   1    0    7   22.489798   0    0  1.583244  24.189026 0.334816  24.638816  0   0   24.638816 1.351150   4  
   8  12  3    3   1    0    6   26.504638   0    0  2.399536  29.036827 0.553431  29.703189  0   0   29.703189 1.301608   5  
   9  11  4    4   1    0    5   31.502380   0    0  2.099743  33.718047 0.790644  34.634281  0   0   34.634281 1.368237   5  
  10  11  3    3   1    0    3   36.500108   0    0  1.916501  38.532521 0.957745  39.615356  0   0   39.615356 1.384894   5  
  11  10  1    1   1    0    3   41.497841   0    0  1.100176  42.713967 0.877410  43.713512  0   0   43.713512 1.284458   4  
  12  10  3    2   0    0    5   45.496033   0    0  2.449362  48.061524 0.370860  48.544651  0   0   48.544651 1.451490   5  
  13  10  4    4   1    0    7   50.493771   0    0  1.150054  51.759851 0.381920  52.259631  0   0   52.259631 0.734230   3  
  14  10  3    3   1    0    6   53.492406   0    0  1.033778  54.641881 0.425006  55.191627  0   0   55.191627 0.800863   3  
  15   9  3    1   0    0    2   56.491050   0    0  1.816400  58.440163 0.888124  59.456354  0   0   59.456354 0.534765   4  
  16   9  2    2   1    0    7   60.489224   0    0  1.166797  61.771976 0.785017  62.671572  0   0   62.671572 1.317725   4  
  17   9  1    1   1    0    7   64.487411   0    0  1.150081  65.753496 0.471906  66.353229  0   0   66.353229 0.634249   3  
  18   8  1    1   1    0    2   67.486050   0    0  2.266329  69.868310 0.667758  70.651286  0   0   70.651286 1.334814   5  
  19   8  4    4   1    0    7   72.517105   0    0  1.433788  74.066405 0.419198  74.599497  0   0   74.599497 1.417836   4  
  20   7  4   -1   0    0    2   76.515290   0    0  0.000000  79.030822 0.003360  79.147425  0   0   79.147425 0.868087   4  
  21   7  2    2   1    0    1   80.513470   0    0  1.849658  82.479143 0.845531  83.445484  0   0   83.445484 0.568224   4  
  22   7  4    2   0    0    1   84.511650   0    0  1.683739  86.327441 1.045101  87.493641  0   0   87.493641 0.518255   4  
  23   7  4    4   1    0    1   88.509842   0    0  1.666588  90.292369 0.633521  91.042033  0   0   91.042033 0.968043   4  
  24   7  4    4   1    0    1   92.508029   0    0  2.216285  94.840312 0.931860  95.889841  0   0   95.889841 1.118423   5  
  25   6  3    2   0    0    1   97.505766   0    0  1.866358  99.488157 0.981349 100.587704  0   0  100.587704 1.418280   5  
  26   6  2    2   1    0    1  102.503497   0    0  2.016231 104.652525 0.383709 105.152298  0   0  105.152298 0.851433   4  
  27   6  1    1   1    0    2  106.501690   0    0  1.883117 108.517431 0.475955 109.117151  0   0  109.117151 0.884757   4  
  28   5  1    1   1    0    2  110.499869   0    0  1.849787 112.465644 0.682476 113.265288  0   0  113.265288 0.734809   4  
  29   5  4    2   0    0    1  114.498056   0    0  1.549845 116.163932 1.147078 117.430065  0   0  117.430065 0.568229   4  
  30   5  3    2   0    0    1  118.512905   0    0  2.166405 120.795122 1.117768 122.027969  0   0  122.027969 0.985165   5  
  31   6  2    2   1    0    1  123.510640   0    0  1.483240 125.126572 0.901587 126.142778  0   0  126.142778 0.868088   4  
  32   6  2    4   0    0    1  127.508819   0    0  1.983232 129.607873 0.251098 129.974365  0   0  129.974365 1.034696   4  
  33   6  1    1   1    0    1  131.507004   0    0  1.633209 133.256218 1.046790 134.422353  0   0  134.422353 0.584888   4  
  34   6  1    4   0    0    1  135.505206   0    0  2.232797 137.854123 0.693494 138.670423  0   0  138.670423 1.334997   5  
  35   6  1    4   0    0    1  140.502926   0    0  2.032806 142.651954 1.036535 143.801429  0   0  143.801429 1.201723   5  
  36   7  2    2   1    0    3  145.500658   0    0  1.849776 147.466404 1.221108 148.815819  0   0  148.815819 1.185063   5  
  37   7  4    3   0    0    1  150.498389   0    0  2.399585 153.013774 1.319517 154.446608  0   0  154.446608 0.552015   5  
  38   7  1    2   0    0    1  155.496133   0    0  2.232858 157.861716 0.873149 158.861262  0   0  158.861262 1.135097   5  
  39   8  2    4   0    0    1  160.493867   0    0  1.966256 162.576240 0.967161 163.659089  0   0  163.659089 1.335010   5  
  40   8  1    3   0    0    1  165.508255   0    0  2.382766 168.057008 1.041219 169.223230  0   0  169.223230 0.785253   5  
  41   9  2    3   0    0    1  170.505975   0    0  2.216269 172.854919 0.885598 173.854469  0   0  173.854469 1.151740   5  
  42   9  2    4   0    0    1  175.503713   0    0  1.883071 177.502814 0.607346 178.235809  0   0  178.235809 0.768122   4  
  43  10  1    4   0    0    1  179.501896   0    0  1.683020 181.301092 0.328673 181.750882  0   0  181.750882 1.251241   4  
  44  10  3    3   1    0    1  183.500083   0    0  2.383031 185.998954 0.786965 186.915213  0   0  186.915213 1.085083   5  
  45  10  3    3   1    0    2  188.497824   0    0  1.783144 190.396958 0.975991 191.496470  0   0  191.496470 0.501540   4  
  46   9  3    3   1    0    2  192.496006   0    0  2.349522 194.961562 0.480321 195.561283  0   0  195.561283 1.434899   5  
  47   9  4    4   1    0    3  197.493746   0    0  1.616672 199.226300 0.785734 200.125889  0   0  200.125889 0.868009   4  
  48   8  2    4   0    0    3  201.491936   0    0  1.533226 203.141187 0.649281 203.907502  0   0  203.907502 1.084577   4  
  49   8  3    2   0    0    2  205.490116   0    0  1.733112 207.339219 0.828166 208.288846  0   0  208.288846 0.701411   4  
  50   9  2    4   0    0    3  209.488280   0    0  2.149620 211.753945 0.928979 212.803462  0   0  212.803462 1.184972   5  
  51   9  3    3   1    0    1  214.502694   0    0  2.332801 216.951470 0.998108 218.067735  0   0  218.067735 0.935077   5  
  52   9  1    1   1    0    1  219.500419   0    0  1.583206 221.199655 0.806401 222.132562  0   0  222.132562 0.867968   4  
  53   8  4    4   1    0    2  223.498605   0    0  1.782959 225.397743 1.007412 226.530563  0   0  226.530563 1.468146   5  
  54   8  1    1   1    0    2  228.496335   0    0  2.199589 230.811957 0.683033 231.611594  0   0  231.611594 1.384838   5  
  55   7  2    2   1    0    4  233.494076   0    0  1.283357 234.926760 1.221038 236.276141  0   0  236.276141 0.718009   4  
  56   7  1   -1   0    0    4  237.492263   0    0  0.000000 240.007825 0.047827 240.174382  0   0  240.174382 0.817939   4  
  57   7  4    3   0    0    1  241.507097   0    0  0.200447 241.823619 1.564308 243.506208  0   0  243.506208 0.501123   3  
  58   7  2    2   1    0    1  244.505758   0    0  1.833134 246.488173 1.165248 247.770929  0   0  247.770929 1.235041   5  
  59   7  2    3   0    0    2  249.503475   0    0  1.783039 251.402608 0.872095 252.402160  0   0  252.402160 0.601543   4  
  60   7  1    1   1    0    4  253.501661   0    0  1.533254 255.150921 0.876795 256.150478  0   0  256.150478 0.851413   4  
]; % This session completes at 23-Jun-2019 16:50:37, 261.254s after session start, 255s on 60 trials, totally 273.203s, correctness is 61.667%.

