%% MetaTwinsTri_behave_Conf for '_guess': starting at liuxin (       50.0000000000).3-Jun-2019 17:26:377.375997e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   10   3   1    6      6      2.498862 1.049846   4.064826 0.945579   5.131015 2.868071   6  
   2  1   10   1   1    5      5      8.496159 1.033595  10.045456 0.723459  10.895073 3.101318   6  
   3  2   10   2   1    4      2     14.493437 1.366271  16.375943 0.588832  17.092261 2.901340   6  
   4  1   10   1   1    6      5     20.490735 0.883730  21.890096 0.669466  22.673083 3.317869   6  
   5  2   10   4   0    3      2     26.488012 1.916119  28.920236 0.745730  29.786505 2.201622   6  
   6  1   10   1   1    6      5     32.501951 0.783631  33.801371 0.684462  34.601012 3.401161   6  
   7  4   10   1   0    3      2     38.499228 1.532872  40.548312 0.642295  41.314622 2.684680   6  
   8  2   10   1   0    5      2     44.513187 0.833948  45.862584 0.633286  46.612235 3.401174   6  
   9  3   10   1   0    4      2     50.510461 1.232985  52.259665 0.701595  53.075967 2.934715   6  
  10  1   10   2   0    4      2     56.507742 1.433564  58.456877 0.374526  58.956638 3.051347   6  
  11  3   10   3   1    4      5     62.505019 1.183016  64.204256 0.661424  64.987239 3.018015   6  
  12  2   10   1   0    5      2     68.502321 0.917050  69.935008 0.584168  70.634687 3.367855   6  
  13  4   10   1   0    4      2     74.499590 1.233062  76.248799 0.775045  77.148398 2.851420   6  
  14  3   10   3   1    5      5     80.496883 0.983824  81.996212 0.737124  82.862481 3.134635   6  
  15  3   10   3   1    3      5     86.510811 1.449659  88.476610 0.690834  89.292898 2.718160   6  
  16  4   10   1   0    3      2     92.508116 1.017192  94.040753 1.032510  95.190238 2.818081   6  
  17  1   10   1   1    3      2     98.505382 1.466349 100.487833 0.596347 101.204162 2.801452   6  
  18  2   10   1   0    4      2    104.502678 1.100418 106.118618 0.703016 106.934915 3.067983   6  
  19  1   10   1   1    3      5    110.499952 1.033225 112.049259 0.813214 112.982162 3.018002   6  
  20  3   10   1   0    3      2    116.497244 1.350482 118.363082 0.742541 119.229340 2.768136   6  
  21  2   10   2   1    3      3    122.494527 1.532969 124.543601 0.999041 125.659772 2.334912   6  
  22  4   10   4   1    3      5    128.491810 1.399989 130.407611 0.605052 131.140615 2.851429   6  
  23  1   10   1   1    4      5    134.489091 1.099716 136.105031 0.729329 136.954667 3.034529   6  
  24  1   10   1   1    5      5    140.486378 0.867425 141.869096 0.629934 142.618757 3.367847   6  
  25  1   10   1   1    5      5    146.500317 1.049832 148.066270 0.456268 148.649355 3.351021   6  
  26  3   10   3   1    3      2    152.514276 1.550178 154.579993 0.581498 155.279690 2.734802   6  
  27  3   10   1   0    3      2    158.511544 1.182921 160.210776 0.700014 161.027070 2.984697   6  
  28  2   10   2   1    4      5    164.508833 1.033823 166.058143 0.842919 167.024365 2.984725   6  
  29  4   10   4   1    5      6    170.506115 0.883268 171.905488 0.543651 172.571873 3.434481   6  
  30  4   10   4   1    5      6    176.503408 0.983224 178.002715 0.752484 178.869000 3.134628   6  
  31  2   10   2   1    3      5    182.500684 1.466911 184.483130 0.550544 185.149501 2.851410   6  
  32  1   10   1   1    4      5    188.497959 1.066491 190.080588 0.677269 190.880229 3.117969   6  
  33  1   10   1   1    4      5    194.495258 1.017087 196.027903 0.828219 196.977474 3.018000   6  
  34  2   10   2   1    5      2    200.509199 0.999982 202.025170 0.494225 202.641566 3.367864   6  
  35  3   10   1   0    4      2    206.506480 1.250112 208.272358 0.362687 208.755470 3.251237   6  
  36  2   10   2   1    4      5    212.503764 1.016529 214.036403 0.750441 214.902668 3.101315   6  
  37  4   10   2   0    4      5    218.501050 1.333469 220.350217 0.480571 220.950001 3.051286   6  
  38  3   10   1   0    5      5    224.498331 1.332895 226.347492 0.661576 227.130469 2.868039   6  
  39  3   10   2   0    4      2    230.495626 1.366792 232.378111 0.557363 233.061119 2.934734   6  
  40  2   10   2   1    3      5    236.492900 1.049822 238.058859 0.790568 238.975104 3.017927   6  
  41  4   10   4   1    4      5    242.490192 1.066814 244.072801 0.735603 244.922420 3.068004   6  
  42  4   10   4   1    5      6    248.487461 0.916589 249.920145 0.742594 250.786419 3.201121   6  
  43  4   10   4   1    5      5    254.501412 0.916590 255.934092 0.513864 256.567175 3.434470   6  
  44  4   10   4   1    5      5    260.515342 0.849931 261.881400 0.112951 262.114627 3.900961   6  
  45  1   10   1   1    4      7    266.512631 1.016558 268.045281 0.830544 268.994853 3.018015   6  
  46  3   10   3   1    3      6    272.509925 1.500459 274.525676 0.395718 275.042112 2.968037   6  
  47  3   10   3   1    2      2    278.507203 1.916062 280.939439 0.895853 281.955647 2.051788   6  
  48  3   10   3   1    3      2    284.504511 1.650193 286.670192 0.793339 287.586441 2.418275   6  
  49  4   10   2   0    2      2    290.501773 1.999377 293.017302 0.238301 293.383793 2.618210   6  
  50  1   10   1   1    5      2    296.499066 1.016753 298.031710 0.841171 298.997932 3.001359   6  
  51  4   10   2   0    5      2    302.496331 1.033266 304.045645 0.509472 304.678708 3.317857   6  
  52  3   10   4   0    4      3    308.493625 1.449846 310.459406 0.522391 311.109107 2.884756   6  
  53  1   10   3   0    5      3    314.507560 0.966533 315.990233 0.527773 316.639930 3.367867   6  
  54  1   10   3   0    6      6    320.504843 0.916563 321.937530 0.548228 322.603906 3.401182   6  
  55  2   10   3   0    4      6    326.502144 1.250052 328.268010 0.472126 328.867743 3.134627   6  
  56  2   10   3   0    4      2    332.499423 1.199767 334.215308 0.432354 334.765066 3.234523   6  
  57  2   10   4   0    3      1    338.496672 1.899904 340.912280 0.546312 341.578649 2.418266   6  
  58  4   10   2   0    3      1    344.493987 1.549625 346.559726 0.434007 347.109475 2.884623   6  
  59  4   10   3   0    3      2    350.491281 1.450032 352.457056 0.391373 352.973484 3.018022   6  
  60  2   10   2   1    5      5    356.488558 0.816634 357.821290 0.862407 358.804173 3.184447   6  
]; % This session completes at 23-Jun-2019 17:32:57, 364.004s after session start, 360s on 60 trials, totally 380.47s.

