%% MetaTwinsTri_behave_Conf for '_notguess': starting at liuxin (       50.0000000000).3-Jun-2019 17:39:537.375997e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   13   4   0    5    2.498915 1.616860   4.248147 0.714267   5.081080 2.918059   6  
   2  1   13   4   0    3    8.496218 1.417814  10.028857 0.598471  10.745203 3.251240   6  
   3  4   13   4   1    5   14.493485 1.150014  15.759575 0.623674  16.509248 3.484462   6  
   4  2   13   2   1    4   20.507433 1.234511  21.856836 0.586424  22.573169 3.434504   6  
   5  3   13   3   1    4   26.504704 1.449932  28.070669 0.904323  29.103536 2.901409   6  
   6  2   13   2   1    2   32.502025 1.650726  34.267871 0.606414  35.000879 3.001358   6  
   7  2   13   3   0    4   38.499276 1.033431  39.648756 1.183769  40.948184 3.051320   6  
   8  1   13   1   1    4   44.496585 1.334312  45.945923 0.860272  46.928805 3.067992   6  
   9  2   13   3   0    2   50.493852 1.716284  52.342912 0.627018  53.092680 2.901386   6  
  10  2   13   2   1    3   56.507801 1.500522  58.157067 0.908655  59.189927 2.818095   6  
  11  3   13   3   1    4   62.505081 1.133407  63.754516 0.923268  64.804054 3.201246   6  
  12  2   13   2   1    2   68.502368 2.134135  70.751337 0.962161  71.834193 2.168396   6  
  13  4   13   4   1    5   74.499646 1.199839  75.815723 0.919354  76.848605 3.151275   6  
  14  3   13   3   1    5   80.496943 1.234347  81.846320 0.862972  82.829211 3.167953   6  
  15  4   13   4   1    5   86.494206 1.033242  87.643725 0.820897  88.593269 3.401183   6  
  16  4   13   4   1    4   92.508159 1.518274  94.140757 0.790850  95.057014 2.951366   6  
  17  3   13   3   1    3   98.505452 1.666476 100.287960 0.812148 101.220877 2.784803   6  
  18  4   13   4   1    5  104.502709 0.834545 105.452310 0.649786 106.218626 3.784339   6  
  19  3   13   3   1    4  110.500013 1.116773 111.766099 1.078539 112.965560 3.034673   6  
  20  3   13   3   1    5  116.497297 1.384198 117.996621 0.905268 119.029486 2.968047   6  
  21  4   13   4   1    5  122.494563 0.983442 123.594099 0.428979 124.143829 3.850977   6  
  22  1   13   1   1    5  128.508525 1.268743 129.891240 0.920080 130.924099 3.084685   6  
  23  2   13   4   0    2  134.505799 1.683363 136.304992 1.397919 137.820992 2.185046   6  
  24  1   13   1   1    5  140.503098 0.901411 141.519298 0.530570 142.169005 3.834306   6  
  25  1   13   1   1    5  146.500372 1.299860 147.916395 1.320175 149.365743 2.634858   6  
  26  2   13   3   0    2  152.497672 1.884691 154.513421 1.268232 155.896116 2.101770   6  
  27  3   13   3   1    4  158.494931 1.433207 160.044231 0.831556 160.993800 3.001366   6  
  28  4   13   2   0    2  164.508887 1.618293 166.241442 1.154021 167.524197 2.484921   6  
  29  4   13   4   1    1  170.506172 2.066126 172.688512 1.009123 173.821334 2.185057   6  
  30  4   13   4   1    5  176.503465 0.900806 177.519668 0.439718 178.086075 3.917606   6  
  31  1   13   1   1    5  182.500735 0.933345 183.550264 1.157073 184.833018 3.167947   6  
  32  1   13   1   1    5  188.498021 0.884399 189.497570 0.398646 190.014004 3.984250   6  
