%% MetaTwinsTri_behave_Conf for '_guess': starting at huangyifei (       48.0000000000).1-Jul-2019 17:39:477.376077e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   18   3   1    5      6      2.498860 1.500065   4.514608 0.592861   5.230953 2.768123   6  
   2  1   18   4   0    2      5      8.496141 2.382700  11.394817 0.550078  12.061181 1.935203   6  
   3  2   18   4   0    1      4     14.493425 2.315890  17.325476 0.729032  18.175075 1.818578   6  
   4  4   18  -1   0    2      3     20.507353 2.482643  23.006234 0.826042  23.955790 2.051797   6  
   5  4   18   4   1    4      4     26.504639 1.649651  28.670328 0.927527  29.719845 2.285017   6  
   6  2   18   3   0    5      8     32.501914 1.566313  34.584298 0.948050  35.650481 2.351655   6  
   7  1   18  -1   0    2      2     38.499189 0.000000  41.031375 0.747902  41.897648 2.101767   6  
   8  1   18   3   0    4      5     44.496482 1.915948  46.928700 0.942000  47.994885 2.001810   6  
   9  1   18  -1   0    1      4     50.510417 2.499257  53.025964 0.437856  53.592357 2.418279   6  
  10  3   18   4   0    5      5     56.507695 1.699593  58.723356 0.829267  59.672929 2.334992   6  
  11  2   18   3   0    5      8     62.504973 1.533025  64.554034 0.880935  65.553594 2.451599   6  
  12  4   18   1   0    5      4     68.502249 2.049286  71.067753 1.186513  72.383820 1.618652   6  
  13  2   18   3   0    6      8     74.499530 1.632938  76.648545 0.861768  77.631443 2.368323   6  
  14  3   18   1   0    6      5     80.513472 1.499783  82.529212 0.638598  83.295537 2.718154   6  
  15  2   18   3   0    6      8     86.510749 1.233241  88.259960 0.978452  89.359454 2.651522   6  
  16  1   18   2   0    5      5     92.508025 1.449742  94.473808 1.158418  95.756553 2.251703   6  
  17  4   18   4   1    5      5     98.488640 1.533022 100.537717 1.278798 101.937081 2.051630   6  
  18  4   18   4   1    5      5    104.485919 1.749514 106.751567 0.940065 107.817754 2.168246   6  
  19  2   18   3   0    6      8    110.499866 1.432946 112.448981 1.171542 113.748399 2.251563   6  
  20  3   18   1   0    6      8    116.497141 1.016525 118.029785 1.303922 119.462480 2.534777   6  
  21  4   18   2   0    6      5    122.494435 1.399681 124.410219 1.019478 125.543056 2.451496   6  
  22  1   18   4   0    6      5    128.491714 1.249562 130.257567 0.900865 131.273776 2.718081   6  
  23  4   18   2   0    2      5    134.488989 2.315936 137.321034 0.671886 138.120666 1.868476   6  
  24  2   18   2   1    4      4    140.502926 1.999235 143.018438 1.222010 144.367840 1.635262   6  
  25  3   18   3   1    5      8    146.500196 1.216471 148.232750 0.840570 149.198971 2.801427   6  
  26  4   18   1   0    4      8    152.497484 1.299670 154.313319 1.261982 155.696024 2.301661   6  
  27  1   18   1   1    7      8    158.494750 0.900008 159.910783 1.226032 161.260171 2.734805   6  
  28  3   18   1   0    7      4    164.492033 1.549692 166.557761 1.845692 168.523545 1.468725   6  
  29  3   18   3   1    6      5    170.505971 1.199657 172.221869 1.061505 173.404657 2.601546   6  
  30  2   18   2   1    5      4    176.503264 1.832859 178.852181 1.442122 180.418159 1.585318   6  
  31  3   18   4   0    6      3    182.500535 1.416310 184.432998 1.196499 185.749070 2.251692   6  
  32  2   18   2   1    6      4    188.497820 2.016162 191.029998 1.442957 192.595953 1.402087   6  
  33  2   18   2   1    5      4    194.495087 2.199479 197.210523 0.470899 197.810253 2.185066   6  
  34  4   18   3   0    5      8    200.509037 1.366449 202.391515 0.950734 203.457706 2.551559   6  
  35  3   18   3   1    6      5    206.506315 1.533044 208.555383 0.748485 209.421655 2.584877   6  
  36  4   18   3   0    5      5    212.503587 1.632865 214.652626 1.038411 215.818753 2.185067   6  
  37  1   18   2   0    5      7    218.500873 1.532743 220.549925 0.456984 221.133015 2.868084   6  
  38  1   18   1   1    4      5    224.514800 1.966137 226.997016 1.210471 228.329754 1.685286   6  
  39  3   18   1   0    5     -1    230.512091 1.399431 232.427887 0.985542 233.527383 2.484934   6  
  40  4   18   2   0    5      5    236.509369 1.915878 238.941598 0.918905 239.974471 2.035130   6  
  41  1   18   1   1    5      8    242.506645 1.016298 244.039264 1.710127 245.871785 2.135097   6  
  42  1   18   1   1    2      5    248.503926 2.382644 251.402609 1.067813 252.585412 1.418748   6  
  43  3   18   1   0    5      4    254.517862 1.666063 256.700214 1.243394 258.066265 1.951830   6  
  44  1   18   1   1    4      4    260.498486 1.499694 262.514248 0.615508 263.247247 2.751302   6  
  45  1   18   3   0    2      2    266.495769 2.365805 269.377784 0.490108 269.994168 2.001681   6  
  46  4   18   2   0    5      5    272.493047 1.916082 274.925272 1.588559 276.641155 1.351991   6  
  47  3   18   1   0    5      5    278.490328 1.949284 280.955877 0.817236 281.888782 2.101664   6  
  48  3   18   1   0    1      4    284.504261 2.182555 287.203053 0.909085 288.235906 1.768498   6  
