%% MetaTwinsTri_behave_Conf for '_guess': starting at lvyifan (       48.0000000000).1-Jul-2019 18:06:577.376078e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   5    2   1    6      6      2.498839 1.499460   4.514601 0.882821   5.514157 2.484904   6  
   2  1   5    4   0    7      4      8.496145 1.766744  10.778438 1.068427  11.961246 2.035103   6  
   3  4   5    4   1    7      3     14.493416 2.016087  17.025603 0.557974  17.708621 2.284908   6  
   4  1   5    1   1    7      6     20.490717 1.383260  22.389852 0.637867  23.156158 2.834749   6  
   5  3   5    2   0    7      5     26.504653 1.632699  28.653669 0.369653  29.153437 2.851436   6  
   6  1   5    4   0    8      7     32.501946 0.916996  33.934631 0.669202  34.717601 3.284567   6  
   7  2   5    4   0    8      7     38.499212 0.683226  39.698686 0.340803  40.165151 3.834282   6  
   8  1   5    1   1    6      8     44.496506 1.316302  46.329006 0.968036  47.411837 2.584899   6  
   9  1   5    4   0    8      7     50.493805 0.733873  51.743228 0.498845  52.359612 3.634407   6  
  10  2   5    2   1    8      6     56.507714 0.949837  57.973737 0.524066  58.623428 3.384521   6  
  11  4   5    4   1    8      8     62.505011 0.616551  63.637836 0.376305  64.137594 3.867657   6  
  12  1   5    1   1    7      6     68.502276 1.416329  70.434743 0.490892  71.051148 2.951332   6  
  13  4   5    4   1    8      7     74.499583 1.050175  76.065550 0.464449  76.648608 3.351171   6  
  14  3   5    4   0    7      5     80.513515 1.432938  82.462637 0.795335  83.378883 2.634859   6  
  15  2   5    2   1    7      7     86.510824 1.433352  88.459936 1.851966  90.442367 1.568671   6  
  16  2   5    3   0    6      5     92.508074 1.782906  94.807039 0.492740  95.423453 2.584856   6  
  17  3   5    2   0    6      5     98.505401 1.683457 100.704395 0.887067 101.720596 2.285013   6  
  18  3   5    3   1    7      3    104.502661 1.899354 106.918237 0.332359 107.368030 2.634851   6  
  19  1   5    2   0    8      6    110.499952 1.383445 112.399093 0.447360 112.965505 3.034696   6  
  20  2   5    2   1    8      7    116.497228 1.249617 118.263096 0.310576 118.696240 3.301167   6  
  21  3   5    3   1    6      6    122.494503 1.950140 124.960036 0.600045 125.676413 2.318332   6  
  22  3   5    2   0    8      6    128.491789 0.966623 129.974454 0.439698 130.540857 3.451020   6  
  23  2   5    2   1    8      8    134.505734 0.733317 135.755169 0.394591 136.271601 3.734369   6  
  24  4   5    4   1    7      7    140.503004 1.882911 142.901930 0.966088 143.984780 2.018474   6  
  25  4   5    2   0    8      6    146.500314 1.383641 148.399457 0.649479 149.165783 2.834762   6  
  26  3   5    4   0    8      7    152.497587 0.833171 153.846973 0.523032 154.496679 3.501140   6  
  27  1   5    4   0    8      8    158.494866 0.716674 159.727644 0.725724 160.577291 3.417790   6  
  28  4   5    3   0    6      2    164.492153 1.499512 166.507910 0.671430 167.307554 2.684840   6  
  29  4   5    3   0    7      3    170.506117 1.233568 172.255319 0.398792 172.771755 3.234586   6  
  30  3   5    4   0    5      3    176.503384 2.182643 179.202159 0.843710 180.168394 1.835129   6  
