%% MetaTwins_RDMsc_training for 'lvyifan': starting at _feedback (       48.0000000000).1-Jul-2019 16:38:50 for '7.376077e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  1    1   1    0    8    2.498895   0    0  1.800528   4.414717 0.838589   5.380929 0.999543   6.380472   7.380007 0.619120   6  
   2  50  2    2   1    0    7    8.496189   0    0  0.984515   9.595695 1.340341  11.061701 0.999541  12.061242  13.060777 0.935642   6  
   3  45  4    4   1    0    7   14.493454   0    0  1.816510  16.425922 1.326831  17.875285 0.999531  18.874816  19.874380 1.119300   7  
   4  45  3    3   1    0    7   21.506955   0    0  1.383123  23.006304 1.077610  24.205731 0.999557  25.205288  26.204841 0.802353   6  
   5  40  1    1   1    0    6   27.504258   0    0  1.734256  29.370052 1.362675  30.852729 0.999538  31.852267  32.851822 1.152654   7  
   6  40  2    4   0    0    7   34.501069   0    0  2.332868  36.966623 0.981890  38.066117 0.999555  39.065672  40.065245 0.936028   7  
   7  40  4    4   1    0    6   41.497921   0    0  2.200189  43.813572 1.277250  45.212903 0.999537  46.212441  47.211990 0.786147   7  
   8  40  2    4   0    0    6   48.494736   0    0  1.899788  50.510487 1.223728  51.859882 0.999575  52.859457  53.858971 1.135941   7  
   9  40  1    1   1    0    7   55.491569   0    0  1.066836  56.674369 1.318098  58.107076 0.999518  59.106594  60.106157 0.885644   6  
  10  40  3    4   0    0   -1   61.505518   0    0  2.383823  64.004384 0.000000  66.003480 0.999538  67.003018  68.002561 1.003193   8  
  11  40  1    1   1    0    6   69.501891   0    0  1.250182  70.867940 1.397752  72.383906 0.999572  73.383478  74.383025 0.619022   6  
  12  36  2    4   0    0    7   75.499153   0    0  1.767268  77.381665 1.006162  78.514490 0.999544  79.514035  80.513569 1.485830   7  
  13  36  3    3   1    0    7   82.495998   0    0  1.416721  84.028665 1.040742  85.194782 0.999539  86.194320  87.193892 0.802254   6  
  14  36  2    4   0    0    7   88.493290   0    0  1.900643  90.509052 1.047332  91.675195 0.999538  92.674733  93.674279 1.319245   7  
  15  36  3    3   1    0    7   95.490115   0    0  1.466625  97.072740 0.895380  98.088933 0.999556  99.088489 100.088046 0.902208   6  
  16  36  3    3   1    0    7  101.504049   0    0  1.451317 103.086691 0.835899 104.036258 0.999551 105.035809 106.035341 0.968965   6  
  17  32  4    4   1    0    6  107.501347   0    0  1.933059 109.550416 0.886951 110.549960 0.999569 111.549529 112.549064 1.452406   7  
  18  32  3    3   1    0    7  114.498184   0    0  1.316682 115.930862 1.872801 117.929988 0.999511 118.929499 119.929064 1.069316   7  
  19  28  2    4   0    0    6  121.495006   0    0  1.683247 123.294192 1.815115 125.226659 0.999559 126.226218 127.225761 0.769367   7  
  20  28  4    4   1    0    6  128.491840   0    0  1.399948 130.007807 1.033127 131.157316 0.999521 132.156836 133.156409 0.835644   6  
  21  28  1    1   1    0    7  134.489143   0    0  0.951124 135.555323 1.840583 137.521116 0.999508 138.520624 139.520169 1.469194   7  
  22  25  1    1   1    0    7  141.502621   0    0  0.850188 142.485525 1.259384 143.868218 0.999537 144.867755 145.867292 1.135417   6  
  23  25  1    1   1    0    8  147.499894   0    0  0.833599 148.466115 0.862235 149.449015 0.999550 150.448564 151.448124 0.552004   5  
  24  22  3    4   0    0    5  152.497642   0    0  2.234092 154.846573 1.543184 156.512499 0.999535 157.512034 158.511581 1.486277   8  
  25  22  4    4   1    0    5  160.494014   0    0  1.266978 161.876746 1.813832 163.809173 0.999565 164.808738 165.808290 1.185796   7  
  26  22  1    1   1    0    7  167.490848   0    0  1.000018 168.623679 0.903234 169.639878 0.999541 170.639418 171.638944 1.351966   6  
  27  19  2    4   0    0    6  173.488145   0    0  1.983062 175.587184 1.530592 177.236463 0.999515 178.235979 179.235528 0.752796   7  
  28  19  2    4   0    0    7  180.484976   0    0  1.184351 181.784384 1.312383 183.217073 0.999527 184.216601 185.216154 0.768999   6  
  29  21  3    4   0    0    6  186.515565   0    0  1.766367 188.414734 1.117035 189.647498 0.999533 190.647031 191.646583 1.369199   7  
  30  21  1    4   0    0    7  193.512396   0    0  1.166711 194.828484 1.776744 196.727599 0.999560 197.727159 198.726750 1.285874   7  
  31  24  4    4   1    0    7  200.509229   0    0  1.183437 201.841971 1.070789 203.041408 0.999544 204.040951 205.040515 0.968934   6  
  32  24  3    4   0    0    6  206.506510   0    0  2.116997 208.738723 1.214325 210.071563 0.999554 211.071118 212.070661 0.936088   7  
  33  24  4    4   1    0    6  213.503341   0    0  2.149481 215.785582 1.032785 216.935120 0.999547 217.934667 218.934219 1.069349   7  
  34  24  2    4   0    0    6  220.500181   0    0  1.534781 222.149431 0.916011 223.182295 0.999557 224.181852 225.181389 0.819028   6  
  35  24  3    4   0    0    6  226.514118   0    0  1.983061 228.629846 0.492453 229.246228 0.999544 230.245772 231.245316 0.769018   6  
  36  27  4   -1   0    0    2  232.511406   0    0  0.000000 235.026927 0.061427 235.210192 0.999537 236.209729 237.209268 0.802375   6  
  37  27  2    4   0    0    6  238.508683   0    0  2.099977 240.741019 1.977788 242.840061 0.999588 243.839649 244.839157 1.169755   8  
  38  27  3    3   1    0    7  246.505062   0    0  1.766501 248.387536 1.189026 249.703613 0.999550 250.703163 251.702719 1.302564   7  
  39  27  2    3   0    0   -1  253.501900   0    0  1.633009 255.267785 0.000000 257.266705 0.999705 258.266410 259.265955 0.736178   7  
  40  27  1    1   1    0    8  260.498720   0    0  1.083530 261.698167 1.375224 263.197511 0.999548 264.197059 265.196606 0.802366   6  
  41  24  1    1   1    0    8  266.512672   0    0  1.134273 267.795405 0.969252 268.878278 0.999550 269.877828 270.877353 1.135573   6  
  42  24  1    1   1    0    8  272.509952   0    0  0.833626 273.492841 1.035005 274.642313 0.999554 275.641867 276.641420 1.368761   6  
  43  21  4    4   1    0    6  278.507240   0    0  1.483254 280.123203 1.491727 281.739100 0.999561 282.738661 283.738215 1.269266   7  
  44  21  3    4   0    0    5  285.504070   0    0  1.716513 287.336651 1.356889 288.819234 0.999553 289.818787 290.818341 1.185982   7  
  45  21  4    4   1    0    6  292.500899   0    0  1.683114 294.333404 1.453391 295.916022 0.999550 296.915572 297.915116 1.086037   7  
  46  21  1    2   0    0    5  299.497721   0    0  2.382902 301.996595 1.728626 303.845767 0.999548 304.845315 305.844869 1.153106   8  
  47  21  3    4   0    0   -1  307.510769   0    0  2.132975 309.759752 0.000000 311.758848 0.999542 312.758390 313.757953 1.253044   8  
  48  21  3    2   0    0    5  315.507141   0    0  2.066305 317.706162 1.341446 319.172161 0.999551 320.171712 321.171258 0.836109   7  
  49  24  3    4   0    0    6  322.503987   0    0  1.534559 324.169918 1.161184 325.452658 0.999542 326.452200 327.451720 0.552492   6  
  50  24  4    2   0    0    5  328.501253   0    0  1.983043 330.600313 1.032609 331.749793 0.999550 332.749343 333.748899 1.252595   7  
  51  27  4    4   1    0    5  335.498106   0    0  1.583941 337.197309 1.219677 338.530063 0.999545 339.529608 340.529150 1.469169   7  
  52  27  2   -1   0    0    4  342.511580   0    0  0.000000 345.027117 0.068635 345.210360 0.999544 346.209905 347.209463 0.802354   6  
  53  27  2    4   0    0    5  348.508867   0    0  1.933882 350.557943 1.905865 352.590368 0.999524 353.589893 354.589439 1.419661   8  
  54  27  1    3   0    0    5  356.505242   0    0  2.466209 359.087407 1.121455 360.336836 0.999560 361.336396 362.335991 0.669483   7  
  55  30  4    2   0    0    5  363.502087   0    0  2.284575 365.900978 1.120740 367.150438 0.999549 368.149987 369.149511 0.852806   7  
  56  30  2    4   0    0    3  370.498901   0    0  2.082981 372.697911 1.899916 374.713696 0.999530 375.713226 376.712772 1.286368   8  
  57  33  1    1   1    0    8  378.495278   0    0  0.950239 379.561470 1.189473 380.877536 0.999547 381.877083 382.876639 1.118877   6  
  58  33  4    4   1    0    5  384.509227   0    0  2.066483 386.691570 1.074436 387.891033 0.999552 388.890584 389.890139 1.119315   7  
  59  29  4    4   1    0    5  391.506122   0    0  1.983755 393.605121 0.996459 394.721283 0.999581 395.720864 396.720364 1.285945   7  
  60  29  2    2   1    0    4  398.502889   0    0  1.982854 400.601949 1.356406 402.084604 0.999564 403.084167 404.083701 0.919421   7  
]; % This session completes at 01-Jul-2019 16:45:46, 407.014s after session start, 403s on 60 trials, totally 415.958s, correctness is 53.333%.

