%% MetaTwins_RDMsc_training for 'huangyifei': starting at _feedback (       48.0000000000).9-Jul-2019 15:34:39 for '7.376156e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  4    4   1    0    7    2.498858   0    0  1.500008   4.114802 0.593983   4.831148 0.999527   5.830676   6.830230 1.168833   6  
   2  50  2    2   1    0    8    8.496156   0    0  1.033536   9.678822 0.865727  10.661833 0.999529  11.661362  12.660923 1.335349   6  
   3  45  3    3   1    0    8   14.510084   0    0  1.100212  15.742844 0.780794  16.642455 0.999542  17.641997  18.641534 1.368775   6  
   4  45  4    4   1    0    8   20.507370   0    0  1.316686  21.956716 0.718252  22.789670 0.999524  23.789194  24.788745 1.218842   6  
   5  40  2    2   1    0    7   26.504632   0    0  0.816945  27.454119 0.664701  28.237191 0.999542  29.236734  30.236285 0.768594   5  
   6  40  2    2   1    0    8   31.502376   0    0  0.833714  32.468550 0.420778  33.001706 0.999530  34.001236  35.000780 1.001833   5  
   7  36  3    3   1    0    8   36.500121   0    0  1.183422  37.799534 0.569212  38.482550 0.999535  39.482085  40.481638 0.518693   5  
   8  36  2    2   1    0    8   41.497846   0    0  0.716829  42.347419 0.331011  42.797260 0.999540  43.796800  44.796352 1.201654   5  
   9  32  3    3   1    0    8   46.495586   0    0  1.016817  47.628404 0.319616  48.078195 0.999547  49.077742  50.077290 0.918378   5  
  10  32  4    2   0    0    6   51.509982   0    0  1.883058  53.542298 1.338704  55.008397 0.999538  56.007935  57.007469 1.002739   7  
  11  32  1    1   1    0    7   58.506809   0    0  1.050100  59.672822 1.022497  60.822432 0.999537  61.821969  62.821497 1.185534   6  
  12  32  2    2   1    0    7   64.504077   0    0  0.916875  65.536802 0.926699  66.586468 0.999541  67.586009  68.585549 1.418761   6  
  13  28  1    1   1    0    7   70.501363   0    0  0.800245  71.434288 1.005921  72.567103 0.999529  73.566632  74.566169 1.435419   6  
  14  28  3    3   1    0    7   76.498654   0    0  1.150068  77.764663 0.624630  78.514393 0.999544  79.513938  80.513485 1.485309   6  
  15  25  1    1   1    0    8   82.495926   0    0  0.783645  83.412120 0.577441  84.111860 0.999526  85.111386  86.110940 0.885047   5  
  16  25  2    2   1    0    8   87.510316   0    0  0.750326  88.393263 0.649002  89.159574 0.999535  90.159109  91.158651 0.851902   5  
  17  22  4    4   1    0    8   92.508048   0    0  1.466590  94.090664 0.439209  94.657075 0.999535  95.656610  96.656166 1.352111   6  
  18  22  1    1   1    0    8   98.505328   0    0  0.666843  99.304932 0.383786  99.804744 0.999531 100.804275 101.803825 1.201745   5  
  19  19  2    2   1    0    7  103.503069   0    0  0.900224 104.535796 0.597807 105.252269 0.999533 106.251802 107.251357 0.751949   5  
  20  19  2    2   1    0    7  108.500793   0    0  0.783619 109.400395 0.488168 110.016786 0.999525 111.016311 112.015867 0.985114   5  
  21  17  4    4   1    0    7  113.498537   0    0  0.950028 114.564711 0.862060 115.547596 0.999561 116.547157 117.546686 1.451965   6  
  22  17  4    4   1    0    6  119.512477   0    0  1.549946 121.178389 1.043722 122.344524 0.999527 123.344051 124.343610 0.669097   6  
  23  15  3    4   0    0    1  125.509746   0    0  0.883310 126.509299 1.621385 128.258515 0.999519 129.258034 130.257588 0.752390   6  
  24  15  3    3   1    0    7  131.507041   0    0  1.216789 132.839762 1.424408 134.389066 0.999540 135.388606 136.388150 0.619111   6  
  25  15  1    1   1    0    7  137.504313   0    0  0.800176 138.437147 0.803088 139.353470 0.999535 140.353005 141.352570 0.651983   5  
  26  14  2    2   1    0    8  142.502058   0    0  0.849991 143.484938 0.994027 144.601100 0.999545 145.600645 146.600176 1.402057   6  
  27  14  3    3   1    0    8  148.499332   0    0  1.199888 149.832062 0.955517 150.914901 0.999530 151.914431 152.913973 1.085459   6  
  28  13  1    1   1    0    6  154.513269   0    0  1.349958 155.995931 0.713330 156.828884 0.999542 157.828425 158.827964 1.185532   6  
  29  13  3    3   1    0    7  160.510540   0    0  1.383107 162.009883 0.432077 162.559616 0.999547 163.559163 164.558707 1.452069   6  
  30  12  1    1   1    0    6  166.507838   0    0  0.916662 167.540544 0.771153 168.440281 0.999542 169.439823 170.439369 0.568688   5  
  31  12  3    3   1    0    7  171.505565   0    0  1.616538 173.238102 0.749580 174.104384 0.999535 175.103919 176.103473 0.902321   6  
  32  11  2    2   1    0    8  177.502849   0    0  0.950109 178.602308 0.838499 179.568578 0.999541 180.568119 181.567665 1.435345   6  
  33  11  1    1   1    0    6  183.500125   0    0  1.266669 184.899491 0.605544 185.632495 0.999534 186.632028 187.631577 1.368649   6  
  34  10  1    1   1    0    7  189.514060   0    0  1.000050 190.646877 0.684530 191.463190 0.999521 192.462711 193.462271 0.552035   5  
  35  10  4    3   0    0    7  194.511790   0    0  1.416633 196.061099 0.941127 197.127285 0.999525 198.126809 199.126367 0.885647   6  
  36  10  1    1   1    0    6  200.509071   0    0  1.216821 201.858460 1.204215 203.174535 0.999545 204.174081 205.173623 0.835691   6  
  37  10  1    3   0    0    6  206.506373   0    0  1.649898 208.272104 1.242052 209.638280 0.999523 210.637803 211.637356 1.369240   7  
  38  10  4    3   0    0    6  213.503185   0    0  1.500012 215.119116 0.299247 215.535588 0.999549 216.535137 217.534673 1.468686   6  
  39  11  4    3   0    0    5  219.500472   0    0  1.466527 221.116399 1.931853 223.165484 0.999528 224.165012 225.164563 0.835991   7  
  40  11  3    3   1    0    5  226.513938   0    0  2.066222 228.696294 1.267952 230.078996 0.999548 231.078544 232.078096 0.936090   7  
  41  11  4    4   1    0    6  233.510776   0    0  1.716356 235.343281 0.736406 236.192899 0.999535 237.192434 238.191991 0.819021   6  
  42  10  2    2   1    0    6  239.508049   0    0  1.966384 241.590451 0.880796 242.590002 0.999535 243.589537 244.589075 1.419214   7  
  43  10  3    3   1    0    6  246.504894   0    0  1.200379 247.837628 0.860322 248.820501 0.999556 249.820057 250.819587 1.185477   6  
  44   9  3    3   1    0    7  252.502170   0    0  1.133452 253.751607 0.532971 254.401314 0.999524 255.400838 256.400393 0.601877   5  
  45   9  3    3   1    0    7  257.516561   0    0  1.083972 258.716021 1.128195 259.965460 0.999527 260.964987 261.964540 1.052248   6  
  46   8  4    2   0    0    4  263.513833   0    0  2.016425 265.679443 1.555447 267.362091 0.999541 268.361632 269.361175 0.652890   7  
  47   8  2    2   1    0    4  270.510672   0    0  2.166241 272.809636 1.920798 274.858701 0.999528 275.858229 276.857780 1.153122   8  
  48   8  4    2   0    0    6  278.507038   0    0  1.766436 280.422849 1.388955 281.938824 0.999546 282.938370 283.937895 1.069353   7  
  49   8  3    2   0    0    5  285.503880   0    0  1.916422 287.536284 1.514293 289.168887 0.999520 290.168407 291.167963 0.836043   7  
  50   9  2    3   0    0    6  292.517353   0    0  2.382717 295.016228 0.900522 296.032436 0.999532 297.031969 298.031515 0.986072   7  
  51   9  1    3   0    0   -1  299.497524   0    0  1.949658 301.579919 0.000000 303.578957 0.999599 304.578555 305.578101 1.419648   8  
  52   9  4    2   0    0    6  307.493898   0    0  2.166269 309.792725 1.052042 310.958998 0.999524 311.958523 312.958074 1.036054   7  
  53  10  4    4   1    0    4  314.490720   0    0  1.383287 315.990036 1.441358 317.555999 0.999543 318.555542 319.555083 1.435833   7  
  54  10  3    3   1    0    4  321.487558   0    0  1.333428 322.936891 0.892131 323.953112 0.999526 324.952637 325.952183 1.035475   6  
  55   9  1    1   1    0    5  327.501485   0    0  0.866913 328.501040 1.610986 330.233589 0.999538 331.233127 332.232668 0.769053   6  
  56   9  2    2   1    0    5  333.498765   0    0  1.083485 334.748211 1.412849 336.280839 0.999541 337.280380 338.279920 0.719086   6  
  57   8  2    2   1    0    4  339.496046   0    0  1.250086 340.912076 1.147737 342.178173 0.999544 343.177718 344.177268 0.819022   6  
  58   8  1    3   0    0   -1  345.493331   0    0  2.233081 347.842271 0.000000 349.841325 0.999576 350.840901 351.840457 1.153107   8  
  59   8  1    1   1    0    2  353.489723   0    0  1.833093 355.438816 1.217171 356.771556 0.999537 357.771093 358.770633 1.219233   7  
  60   7  4    2   0    0    3  360.503198   0    0  1.383296 362.002516 1.076463 363.201977 0.999536 364.201513 365.201068 0.802364   6  
]; % This session completes at 09-Jul-2019 15:41:03, 368.015s after session start, 364s on 60 trials, totally 383.431s, correctness is 76.667%.

