%% MetaTwins_RDMsc_training for 'huangyifei': starting at _nofeedback (       48.0000000000).9-Jul-2019 16:12:08 for '7.376157e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  6   3    3   1    0    2    2.498868   0    0  1.833195   4.447992 0.719080   5.280945  0   0    5.280945 0.718149   4  
   2  6   1    4   0    0    2    6.497062   0    0  1.766227   8.379548 0.417349   8.912627  0   0    8.912627 1.084618   4  
   3  6   1   -1   0    0    3   10.495249   0    0  0.000000  13.010785 0.264036  13.393932  0   0   13.393932 0.601480   4  
   4  6   2    2   1    0    1   14.493426   0    0  1.649868  16.259303 0.688013  17.075600  0   0   17.075600 0.918001   4  
   5  6   1    3   0    0    2   18.491615   0    0  1.566528  20.174199 0.942816  21.240381  0   0   21.240381 0.751366   4  
   6  6   2   -1   0    0    2   22.489808   0    0  0.000000  25.005331 0.289270  25.421817  0   0   25.421817 0.568094   4  
   7  6   4    2   0    0    1   26.487989   0    0  1.633174  28.237217 0.533609  28.886905  0   0   28.886905 1.101172   4  
   8  7   4    3   0    0    2   30.486187   0    0  2.199445  32.801803 0.584711  33.501482  0   0   33.501482 1.484749   5  
   9  7   2    2   1    0    3   35.517235   0    0  0.983892  36.616738 0.968703  37.699566  0   0   37.699566 1.317881   4  
  10  7   3    4   0    0    3   39.515417   0    0  1.716498  41.347917 0.580814  42.047605  0   0   42.047605 0.968049   4  
  11  7   1    1   1    0    2   43.513607   0    0  1.799897  45.429328 0.750272  46.295672  0   0   46.295672 0.718157   4  
  12  7   3    3   1    0    1   47.511794   0    0  2.299470  49.927356 1.136216  51.176794  0   0   51.176794 0.835231   5  
  13  6   3    2   0    0    1   52.509529   0    0  1.533087  54.158785 0.623982  54.908445  0   0   54.908445 1.101311   4  
  14  6   3    2   0    0    1   56.507718   0    0  2.316073  58.939950 0.524680  59.589646  0   0   59.589646 1.418293   5  
  15  7   2   -1   0    0    3   61.505451   0    0  0.000000  64.020989 0.091362  64.237540  0   0   64.237540 0.768132   4  
  16  7   1    3   0    0    2   65.503621   0    0  1.749797  67.369452 1.113005  68.602219  0   0   68.602219 1.401646   5  
  17  7   4    2   0    0    1   70.501372   0    0  1.283361  71.900736 0.590467  72.617064  0   0   72.617064 1.384533   4  
  18  8   3    2   0    0    1   74.499558   0    0  1.383198  75.998879 0.965474  77.081713  0   0   77.081713 0.918077   4  
  19  8   2    2   1    0    1   78.497747   0    0  1.100017  79.747166 0.362539  80.230288  0   0   80.230288 0.767669   3  
  20  8   1    3   0    0    1   81.496377   0    0  1.633153  83.262251 0.846230  84.228483  0   0   84.228483 0.768119   4  
  21  8   3    3   1    0    2   85.494564   0    0  2.416205  88.026756 0.526336  88.676455  0   0   88.676455 1.318313   5  
  22  8   2    2   1    0    3   90.492298   0    0  1.200115  91.808376 0.930783  92.857898  0   0   92.857898 1.134561   4  
  23  7   2    2   1    0    3   94.490489   0    0  2.032935  96.639513 0.588423  97.355859  0   0   97.355859 0.634773   4  
  24  7   4    4   1    0    2   98.488682   0    0  1.183439  99.788095 0.478757 100.387809  0   0  100.387809 0.600997   3  
  25  6   3    3   1    0    2  101.487324   0    0  1.050192 102.670110 0.878125 103.669652  0   0  103.669652 1.317768   4  
  26  6   4    4   1    0    3  105.502169   0    0  1.649896 107.268028 0.403342 107.801113  0   0  107.801113 1.201132   4  
  27  5   4    2   0    0    1  109.517013   0    0  1.616526 111.249562 0.919711 112.299087  0   0  112.299087 0.718139   4  
  28  5   1    2   0    0    1  113.515196   0    0  1.650790 115.281057 1.082292 116.480517  0   0  116.480517 0.534911   4  
  29  6   1    3   0    0    2  117.513386   0    0  1.633202 119.262600 0.866691 120.245490  0   0  120.245490 0.768119   4  
  30  6   3    2   0    0    2  121.511570   0    0  2.149626 123.793720 0.688706 124.610160  0   0  124.610160 1.401629   5  
  31  7   2    4   0    0    2  126.509300   0    0  1.833109 128.458416 0.525439 129.108132  0   0  129.108132 0.901410   4  
  32  7   3    3   1    0    2  130.507495   0    0  1.116640 131.756928 0.759545 132.639855  0   0  132.639855 1.367873   4  
  33  7   3    2   0    0    1  134.505682   0    0  2.166127 136.787975 0.953439 137.870824  0   0  137.870824 1.135076   5  
  34  7   1    1   1    0    1  139.503410   0    0  1.533213 141.152667 0.804353 142.085578  0   0  142.085578 0.918063   4  
  35  7   3    3   1    0    3  143.501603   0    0  1.083456 144.701047 1.009200 145.833876  0   0  145.833876 1.167949   4  
  36  6   4    2   0    0    1  147.499782   0    0  1.566624 149.182350 1.186330 150.498424  0   0  150.498424 0.501592   4  
  37  6   4    4   1    0    2  151.497968   0    0  2.382832 153.996842 0.379884 154.496621  0   0  154.496621 0.501585   4  
  38  6   2    2   1    0    1  155.496162   0    0  1.950101 157.561885 0.459895 158.144957  0   0  158.144957 0.851436   4  
  39  5   2    3   0    0    2  159.494334   0    0  1.216529 160.827080 0.707703 161.660029  0   0  161.660029 1.334540   4  
  40  5   4    4   1    0    2  163.492534   0    0  1.883732 165.491622 0.571779 166.191299  0   0  166.191299 0.801424   4  
  41  5   1    1   1    0    2  167.490721   0    0  1.416603 169.023362 0.508598 169.656398  0   0  169.656398 1.334487   4  
  42  4   3    3   1    0    1  171.488902   0    0  1.716346 173.321412 0.465343 173.904472  0   0  173.904472 1.084594   4  
  43  4   4   -1   0    0    2  175.503757   0    0  0.000000 178.019289 0.125071 178.269172  0   0  178.269172 0.734719   4  
  44  4   4    2   0    0    1  179.501942   0    0  1.866374 181.484364 1.171421 182.767137  0   0  182.767137 1.234912   5  
  45  4   2    4   0    0    1  184.499671   0    0  1.083431 185.699135 0.777436 186.598729  0   0  186.598729 1.401028   4  
  46  5   2    1   0    0    1  188.514526   0    0  1.799737 190.446975 0.592510 191.163323  0   0  191.163323 0.851428   4  
  47  5   3   -1   0    0    2  192.512707   0    0  0.000000 195.028263 0.110024 195.261470  0   0  195.261470 0.751460   4  
  48  5   1    3   0    0    1  196.510903   0    0  1.849554 198.476676 0.801226 199.392923  0   0  199.392923 0.618193   4  
  49  6   4   -1   0    0    2  200.509088   0    0  0.000000 203.024617 0.051451 203.191198  0   0  203.191198 0.818111   4  
  50  6   1    2   0    0    1  204.507276   0    0  2.366201 206.989492 0.230288 207.339317  0   0  207.339317 0.668179   4  
  51  6   2    2   1    0    1  208.505453   0    0  2.249561 210.871045 0.245520 211.237545  0   0  211.237545 0.768143   4  
  52  6   4    4   1    0    1  212.503649   0    0  1.783051 214.402778 0.359421 214.885897  0   0  214.885897 1.117964   4  
  53  5   1    1   1    0    2  216.501835   0    0  2.282751 218.900743 0.404032 219.433844  0   0  219.433844 0.568221   4  
  54  5   4    3   0    0    1  220.500014   0    0  1.982980 222.599086 0.468979 223.182130  0   0  223.182130 0.818121   4  
  55  5   1    4   0    0    1  224.498205   0    0  1.266671 225.880907 0.276525 226.280726  0   0  226.280726 0.717711   3  
  56  6   3    4   0    0    1  227.496833   0    0  1.999632 229.612549 0.522284 230.262257  0   0  230.262257 0.734810   4  
  57  6   2    2   1    0    1  231.495022   0    0  1.866252 233.477472 0.368996 233.960581  0   0  233.960581 1.034680   4  
  58  6   1    4   0    0    1  235.493213   0    0  1.949560 237.558954 0.284955 237.958774  0   0  237.958774 1.034670   4  
  59  6   2    1   0    0    1  239.491407   0    0  1.849627 241.457179 0.636448 242.206851  0   0  242.206851 0.784767   4  
