%% MetaTwins_RDMsc_training for 'zhangying': starting at _feedback (       48.0000000000).9-Jul-2019 16:00:07 for '7.376157e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  15  1    1   1    0    7    2.499055   0    0  1.200694   3.815131 0.823302   4.764679 0.999540   5.764219   6.763769 1.235489   6  
   2  15  4    2   0    0    2    8.496309   0    0  1.066851   9.679118 0.719969  10.528730 0.999561  11.528290  12.527835 1.468649   6  
   3  15  1    1   1    0    3   14.493618   0    0  1.033440  15.643097 0.810914  16.576000 0.999550  17.575550  18.575092 1.418741   6  
   4  15  1    1   1    0    1   20.490888   0    0  1.849641  22.456669 1.180277  23.756098 0.999515  24.755613  25.755173 1.235788   7  
   5  14  3    1   0    0    3   27.504374   0    0  1.733071  29.353533 0.645808  30.119852 0.999548  31.119400  32.118964 0.885636   6  
   6  14  1    1   1    0    6   33.501678   0    0  1.351208  34.984240 0.519065  35.617380 0.999583  36.616962  37.616447 1.385445   6  
   7  14  4    2   0    0    6   39.498933   0    0  1.516583  41.148206 0.209338  41.481376 0.999549  42.480924  43.480479 0.518691   5  
   8  14  1    1   1    0    6   44.496688   0    0  1.650840  46.279218 0.128193  46.529099 0.999552  47.528651  48.528189 1.468730   6  
   9  14  4    4   1    0    6   50.493959   0    0  1.699893  52.309804 0.138786  52.559704 0.999532  53.559236  54.558781 1.435404   6  
  10  13  1    2   0    0    6   56.507916   0    0  1.150991  57.807327 0.098895  58.023901 0.999547  59.023448  60.023039 0.985106   5  
  11  13  3    1   0    0    5   61.505635   0    0  2.132769  63.754623 0.721727  64.604238 0.999544  65.603781  66.603336 1.402502   7  
  12  14  3    3   1    0    2   68.502492   0    0  2.067346  70.684822 1.387248  72.184149 0.999525  73.183674  74.183226 0.819483   7  
  13  14  1    2   0    0    1   75.499299   0    0  2.316139  77.948222 0.582666  78.647882 0.999550  79.647432  80.646995 1.352397   7  
  14  14  2    1   0    0    1   82.512810   0    0  2.333566  84.978322 0.497513  85.594743 0.999553  86.594296  87.593820 1.419223   7  
  15  15  1    2   0    0    1   89.509627   0    0  2.365998  91.991832 0.824308  92.941405 0.999564  93.940969  94.940504 1.069346   7  
  16  15  4   -1   0    0    2   96.506468   0    0  0.000000  99.021988 0.048229  99.188581 0.999542 100.188123 101.187680 0.819033   6  
  17  15  3    2   0    0    1  102.503745   0    0  2.116284 104.736087 0.793884 105.652315 0.999555 106.651870 107.651417 1.352546   7  
  18  16  2    2   1    0    2  109.500581   0    0  1.151170 110.783351 0.427752 111.333082 0.999549 112.332630 113.332156 0.668649   5  
  19  16  1    3   0    0    2  114.498302   0    0  1.383261 115.997642 0.868487 116.980544 0.999517 117.980061 118.979624 1.018909   6  
  20  16  2    2   1    0    2  120.495605   0    0  1.184384 121.795015 0.239264 122.161520 0.999552 123.161071 124.160595 0.835238   5  
  21  16  1    1   1    0    1  125.493329   0    0  1.400055 127.025986 1.399887 128.541959 0.999546 129.541505 130.541048 1.452423   7  
  22  14  4    4   1    0    1  132.490166   0    0  1.249984 133.856213 0.680371 134.655856 0.999543 135.655399 136.654959 1.335435   6  
  23  14  2    2   1    0    7  138.504121   0    0  1.033497 139.670237 0.311262 140.103401 0.999540 141.102941 142.102468 0.901867   5  
  24  13  1    1   1    0    2  143.501838   0    0  2.116337 145.734159 0.846653 146.700386 0.999582 147.699969 148.699502 1.302569   7  
  25  13  2    2   1    0    7  150.498681   0    0  0.901391 151.531565 0.383312 152.031325 0.999550 153.030875 154.030392 0.968540   5  
  26  12  4    3   0    0    1  155.496404   0    0  1.899789 157.528861 0.735103 158.378441 0.999541 159.377981 160.377535 0.619110   6  
  27  12  2    2   1    0    1  161.510371   0    0  1.017932 162.643156 0.249934 163.009693 0.999497 164.009190 165.008774 1.001820   5  
  28  12  1    3   0    0    1  166.508081   0    0  2.232970 168.857036 0.843458 169.823259 0.999539 170.822798 171.822367 1.185957   7  
  29  12  4    4   1    0    5  173.504938   0    0  1.534365 175.154179 1.618866 176.886732 0.999529 177.886261 178.885815 1.119309   7  
  30  12  3    2   0    0    5  180.501749   0    0  0.950185 181.567945 0.810171 182.500855 0.999536 183.500392 184.499960 0.501934   5  
  31  12  4    4   1    0    7  185.499500   0    0  1.917180 187.548577 0.604393 188.264910 0.999555 189.264464 190.263996 0.735642   6  
  32  12  3   -1   0    0    1  191.496769   0    0  0.000000 194.012315 0.239157 194.378806 0.999551 195.378356 196.377900 0.618935   6  
  33  12  4    4   1    0    1  197.510769   0    0  1.800895 199.443178 0.594930 200.159517 0.999555 201.159073 202.158605 0.852362   6  
  34  11  2    2   1    0    1  203.507988   0    0  1.283430 204.957385 1.505240 206.589945 0.999544 207.589489 208.589045 1.419173   7  
  35  11  4    2   0    0    7  210.504820   0    0  1.366936 212.004169 0.373089 212.503934 0.999544 213.503478 214.503039 0.502029   5  
  36  11  3    3   1    0    5  215.502570   0    0  2.166660 217.801546 0.977424 218.901046 0.999549 219.900595 220.900116 1.102683   7  
  37  11  3    1   0    0    5  222.499394   0    0  1.633211 224.281953 0.465414 224.864994 0.999542 225.864536 226.864094 1.135540   6  
  38  11  3   -1   0    0    4  228.496685   0    0  0.000000 231.012219 0.250756 231.378722 0.999535 232.378258 233.377812 0.619111   6  
  39  11  1    3   0    0    1  234.493967   0    0  1.616596 236.259854 0.990261 237.375989 0.999562 238.375551 239.375099 0.619042   6  
  40  12  3    3   1    0    1  240.491263   0    0  2.450640 243.073414 0.764792 243.956354 0.999546 244.955900 245.955439 1.036052   7  
  41  12  4    1   0    0    1  247.488090   0    0  1.716397 249.370566 1.281387 250.769936 0.999556 251.769492 252.769038 1.219130   7  
  42  12  3    2   0    0    1  254.501576   0    0  2.382900 257.033724 0.752928 257.900050 0.999539 258.899589 259.899147 1.102679   7  
  43  13  1    3   0    0    1  261.515080   0    0  1.783793 263.430875 0.703303 264.247175 0.999537 265.246712 266.246246 0.769072   6  
  44  13  2    2   1    0    1  267.512351   0    0  1.983153 269.661405 0.824927 270.610950 0.999540 271.610491 272.610042 1.402539   7  
  45  13  2    2   1    0    1  274.509185   0    0  1.250872 275.891896 0.300459 276.308391 0.999534 277.307924 278.307472 0.701943   5  
  46  12  3    2   0    0    1  279.506919   0    0  2.066298 281.755864 0.796916 282.672146 0.999549 283.671695 284.671299 1.335844   7  
  47  12  1    1   1    0    1  286.503761   0    0  2.467261 289.135905 1.025281 290.285371 0.999558 291.284930 292.284451 0.719538   7  
  48  12  2    1   0    0    3  293.500579   0    0  1.949758 295.632968 0.740782 296.499221 0.999542 297.498763 298.498326 0.502409   6  
  49  12  3   -1   0    0   -1  299.497866   0    0  0.000000 302.013391 0.000000 304.012477 0.999550 305.012027 306.011569 0.986531   8  
  50  12  3    3   1    0    1  307.494243   0    0  2.299668 309.909817 0.599648 310.626165 0.999539 311.625704 312.625251 1.369038   7  
  51  12  2    4   0    0    1  314.507733   0    0  2.384076 317.006573 0.779488 317.906201 0.999542 318.905743 319.905278 1.102715   7  
  52  12  4    2   0    0    1  321.504561   0    0  2.449794 324.170029 0.619882 324.903046 0.999530 325.902577 326.902131 1.102666   7  
  53  13  4    3   0    0    1  328.501401   0    0  1.368006 330.000722 0.784182 330.900318 0.999551 331.899868 332.899393 1.102229   6  
  54  13  2    4   0    0    1  334.498674   0    0  1.666397 336.281202 0.658278 337.064183 0.999549 338.063732 339.063311 0.935591   6  
  55  14  3    3   1    0    1  340.495969   0    0  2.068079 342.728299 1.636347 344.477507 0.999521 345.477028 346.476579 0.519606   7  
  56  14  2    3   0    0    1  347.492795   0    0  2.316214 349.991698 0.604716 350.724666 0.999550 351.724216 352.723758 1.269227   7  
  57  14  4   -1   0    0   -1  354.489638   0    0  0.000000 357.005163 0.000000 359.004252 0.999537 360.003789 361.003338 0.986524   8  
  58  14  2    3   0    0    1  362.486008   0    0  1.799715 364.468464 0.483836 365.068177 0.999539 366.067716 367.067243 0.918827   6  
  59  15  2    1   0    0    2  368.516616   0    0  1.650896 370.282487 0.286791 370.682307 0.999537 371.681843 372.681390 1.335453   6  
