%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at wangweiyu (       50.0000000000).0-Jul-2019 12:50:107.376265e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   8    4   0    5    2.498499 1.600190   4.230742 1.972955   6.312737 1.686102   6  
   2  2   8    1   0    2    8.494673 1.683251  10.343507 1.246787  11.709296 2.285671   6  
   3  4   8    4   1    7   14.490841 1.200365  15.806670 1.244610  17.172464 2.818637   6  
   4  4   8    4   1    5   20.503682 1.550907  22.169280 1.535211  23.818232 2.185675   6  
   5  1   8    2   0    4   26.499839 2.149680  28.798391 1.499615  30.413996 1.586120   6  
   6  2   8    4   0    4   32.496003 2.249754  34.861157 1.105558  36.077056 1.919133   6  
   7  4   8    4   1    6   38.492192 1.699993  40.307624 1.285184  41.706780 2.285554   6  
   8  1   8    4   0   -1   44.488351 2.283034  46.886821 0.000000  48.885451 1.103025   6  
   9  4   8    2   0    3   50.501178 1.600084  52.233404 1.135409  53.482604 2.518671   6  
  10  3   8    3   1    2   56.513993 1.833154  58.495869 1.118949  59.728597 2.285730   6  
  11  1   8    2   0    2   62.510151 2.299594  64.975087 1.755277  66.840745 1.169753   6  
  12  3   8    4   0    3   68.506320 1.633300  70.271782 1.638103  72.020756 1.985901   6  
  13  4   8    4   1    3   74.502490 1.500123  76.134792 0.855951  77.100849 2.901974   6  
  14  2   8    1   0    3   80.498653 2.349647  83.013739 1.518966  84.646013 1.352981   6  
  15  1   8    2   0    5   86.511495 1.316037  88.027212 1.891843  90.042571 1.969248   6  
  16  3   8    3   1    5   92.507669 1.766624  94.389792 1.146538  95.655654 2.352346   6  
  17  4   8    2   0    5   98.503823 2.499209 101.118830 0.939889 102.168153 1.836009   6  
  18  1   8    3   0    5  104.499984 2.283067 106.931783 0.557363 107.598030 2.402294   6  
  19  1   8    4   0    4  110.496165 1.733484 112.361636 1.671034 114.143842 1.852654   6  
  20  2   8    2   1    6  116.508969 1.217059 117.858080 1.142761 119.123975 2.885446   6  
  21  4   8    3   0    6  122.505162 2.316168 124.936935 0.957521 126.002928 2.002552   6  
  22  4   8    4   1    2  128.501318 2.316334 130.933102 1.713069 132.765268 1.236386   6  
  23  2   8    2   1    6  134.497495 1.550082 136.163099 1.184416 137.462270 2.535562   6  
  24  1   8    1   1    5  140.493658 1.583425 142.209234 1.892726 144.224612 1.769360   6  
  25  2   8    2   1    6  146.506474 1.983161 148.638265 1.921468 150.670506 1.336276   6  
  26  2   8    2   1    5  152.502648 1.433451 154.084782 1.179363 155.384145 2.618787   6  
  27  3   8    4   0    1  158.498817 2.283128 160.913805 1.609138 162.646230 1.352843   6  
  28  4   8    2   0    3  164.494982 2.233176 166.876773 1.807307 168.792249 1.202968   6  
  29  4   8    2   0    4  170.491164 2.099698 172.722889 0.636774 173.472572 2.518779   6  
  30  3   8   -1   0    2  176.487341 0.000000 179.002380 0.017828 179.135635 2.851866   6  
  31  4   8    2   0    2  182.500160 2.349443 184.998566 1.219842 186.331044 1.669254   6  
  32  2   8    2   1    6  188.496335 1.799995 190.445084 1.032369 191.594327 2.402113   6  
  33  2   8    2   1   -1  194.509133 1.517806 196.174747 0.000000 198.173380 1.836081   6  
  34  2   8    4   0    3  200.505304 1.200305 201.821142 1.182261 203.120300 2.885339   6  
  35  4   8    4   1    4  206.501461 1.666603 208.300240 1.177106 209.599501 2.402306   6  
  36  3   8    3   1    3  212.514306 2.382922 215.012714 1.465791 216.595030 1.419602   6  
  37  4   8    4   1    3  218.510471 1.999866 220.642455 1.591009 222.358008 1.652784   6  
  38  4   8    3   0   -1  224.506633 2.366201 226.988221 0.000000 228.987032 1.019937   6  
  39  3   8    4   0    6  230.502807 0.950474 231.568791 1.564877 233.251058 2.752074   6  
  40  2   8    2   1    6  236.499032 1.000260 237.648248 1.507126 239.263893 2.735406   6  
  41  3   8    4   0    5  242.511801 2.016482 244.660433 1.220813 245.992919 2.019214   6  
  42  3   8    3   1    6  248.507966 2.216252 250.839807 1.190005 252.138992 1.869301   6  
  43  3   8    3   1    5  254.504135 2.299675 256.919264 1.364509 258.401655 1.602819   6  
  44  4   8    1   0    1  260.500302 2.316438 262.948750 0.597983 263.664940 2.335686   6  
  45  2   8    3   0    3  266.496469 2.316411 268.944918 1.509195 270.577201 1.419600   6  
  46  3   8    2   0    2  272.492628 2.183193 274.807834 1.195897 276.123737 1.869231   6  
  47  2   8    2   1    2  278.505463 2.349722 281.003873 1.233719 282.353005 1.652791   6  
  48  4   8    1   0   -1  284.501611 2.449577 287.066493 0.000000 289.065304 0.936632   6  
  49  2   8    2   1    5  290.497803 2.216393 292.862892 1.777728 294.761747 1.236327   6  
  50  4   8    3   0    2  296.493974 2.416244 299.058863 1.627191 300.807899 1.186316   6  
  51  2   8    2   1   -1  302.490150 1.849793 304.455541 0.000000 306.454179 1.536188   6  
