%% MetaTwins_RDMsc_training for 'wangweiyu': starting at _feedback (       50.0000000000).0-Jul-2019 11:43:00 for '7.376265e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  3    3   1    0    8    2.498388   0    0  1.466771   4.097389 0.879417   5.096741 0.999364   6.096105   7.095467 0.903233   6  
   2  50  4    4   1    0    8    8.494573   0    0  1.350173   9.960299 0.582938  10.659853 0.999357  11.659210  12.658590 1.336272   6  
   3  45  3    3   1    0    8   14.490751   0    0  1.799951  16.406188 0.666743  17.189124 0.999254  18.188377  19.187757 0.803245   6  
   4  45  2    2   1    0    8   20.503655   0    0  1.100351  21.719419 0.481895  22.319088 0.999355  23.318443  24.317825 0.685984   5  
   5  40  2    2   1    0    8   25.500401   0    0  1.533370  27.149413 0.417310  27.682417 0.999266  28.681683  29.681055 1.319546   6  
   6  40  2   -1   0    0    8   31.496580   0    0  0.000000  34.161374 0.486704  34.761172 0.999343  35.760515  36.759877 1.236867   7  
   7  40  2    2   1    0    8   38.492121   0    0  1.816611  40.457618 0.791033  41.373612 0.999348  42.372959  43.372331 0.619917   6  
   8  36  2    2   1    0    8   44.488287   0    0  2.316274  46.936547 1.233437  48.285863 0.999364  49.285227  50.284584 0.703890   7  
   9  36  4    4   1    0    8   51.517138   0    0  1.483426  53.116125 0.298448  53.532536 0.999342  54.531877  55.531378 1.486091   6  
  10  32  3    3   1    0    8   57.513307   0    0  1.217027  58.845692 0.176985  59.145604 0.999360  60.144964  61.144398 0.869245   5  
  11  32  3    3   1    0    8   62.510192   0    0  1.666616  64.292230 0.308898  64.725386 0.999357  65.724743  66.724115 1.286347   6  
  12  28  4    4   1    0    8   68.506363   0    0  1.583261  70.205230 0.355431  70.671599 0.999351  71.670950  72.670311 1.336326   6  
  13  28  1    1   1    0    8   74.502554   0    0  1.300203  75.918323 0.143753  76.184741 0.999357  77.184099  78.183536 0.819278   5  
  14  25  4    4   1    0    8   79.499290   0    0  1.166925  80.781811 0.128192  81.031653 0.999357  82.031010  83.030370 0.969345   5  
  15  25  4    4   1    0    8   84.512755   0    0  0.900484  85.528791 0.185402  85.828674 0.999345  86.828019  87.827319 1.185859   5  
  16  22  2    2   1    0    8   89.509636   0    0  1.700070  91.325099 0.216948  91.658207 0.999360  92.657567  93.656996 1.352913   6  
  17  22  4    4   1    0    8   95.505757   0    0  1.101692  96.721715 0.080933  96.921524 0.999421  97.920945  98.920233 1.085855   5  
  18  19  3    3   1    0    8  100.502556   0    0  1.083761 101.701808 0.075439 101.901687 0.999358 102.901045 103.900409 1.102581   5  
  19  19  1    1   1    0    8  105.499375   0    0  1.400220 107.015095 0.030399 107.165085 0.999259 108.164344 109.163783 0.836018   5  
  20  17  2    2   1    0    8  110.496187   0    0  1.116995 111.728751 0.108098 111.961932 0.999350 112.961282 113.960731 1.035800   5  
  21  17  3    3   1    0    8  115.509661   0    0  1.200434 116.825504 0.055108 116.992070 0.999405 117.991475 118.990772 1.019233   5  
  22  15  4    4   1    0    8  120.506486   0    0  1.351273 121.972217 0.089539 122.172093 0.999354 123.171447 124.170810 0.836089   5  
