%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at wangzelin (       50.0000000000).0-Jul-2019 16:39:577.376267e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  2   12   1   0    6      8      2.498605 1.266670   4.280802 0.927218   5.330143 2.668789   6  
   2  1   12   1   1    7      6      8.494781 1.166132  10.177057 0.669973  10.959892 3.035226   6  
   3  3   12   1   0    6      2     14.507622 1.415953  16.439726 1.034054  17.589000 2.418947   6  
   4  3   12   1   0   -1      2     20.503811 1.182762  22.202738 0.000000  24.201358 1.802774   6  
   5  4   12   1   0   -1      2     26.499996 1.482568  28.498722 0.000000  30.497357 1.502946   6  
   6  1   12   1   1    3      2     32.512825 2.381988  35.410989 1.052093  36.576909 1.436246   6  
   7  4   12   2   0    4      1     38.492360 1.366016  40.374497 1.955433  42.439845 1.552632   6  
   8  1   12   1   1    5      6     44.488538 1.482649  46.487260 0.724879  47.320073 2.668650   6  
   9  1   12   1   1    5      3     50.501386 1.382650  52.400166 0.476215  52.983140 3.018458   6  
  10  2   12   1   0    5      4     56.497571 1.066170  58.079889 0.979735  59.179188 2.818668   6  
  11  3   12   1   0    6      3     62.493745 1.249405  64.259282 0.309987  64.675688 3.318385   6  
  12  4   12   2   0    5      3     68.506575 1.299219  70.322094 0.151634  70.588592 3.418301   6  
  13  2   12   2   1    5      3     74.502761 1.449284  76.468174 1.382000  77.967224 2.035864   6  
  14  4   12   1   0    4      2     80.498949 1.982226  82.997354 1.580787  84.696271 1.302999   6  
  15  4   12   3   0    3      3     86.511789 2.232114  89.260029 0.830128  90.209429 1.802683   6  
  16  2   12   3   0    6      3     92.507962 1.216092  94.240186 0.490218  94.839813 3.168471   6  
  17  3   12   1   0    5      2     98.487503 1.715711 100.719403 0.762193 101.602172 2.385442   6  
  18  3   12   1   0    3      2    104.500346 2.331970 107.348517 0.852239 108.314563 1.685952   6  
  19  2   12   2   1    5      3    110.496520 1.848994 112.861676 0.939439 113.911001 2.085752   6  
  20  1   12   1   1    6      8    116.492681 1.232779 118.241575 0.460833 118.807890 3.185107   6  
  21  2   12   1   0    6      5    122.505532 1.465735 124.487612 0.820459 125.420336 2.585529   6  
  22  2   12   2   1    2      3    128.501733 2.082220 131.100062 0.906170 132.116085 1.885959   6  
  23  2   12   4   0    3      3    134.497901 2.248713 137.262800 0.458314 137.829115 2.169117   6  
  24  3   12   4   0    2      3    140.510745 2.381866 143.408900 1.169873 144.691410 1.319649   6  
  25  3   12   4   0    6     -1    146.506908 1.465716 148.489003 0.391517 148.988682 3.018561   6  
  26  2   12   4   0    6      4    152.503107 1.382775 154.401895 1.002448 155.517840 2.485590   6  
  27  4   12   4   1    6      4    158.499291 1.399233 160.414733 0.572406 161.097645 2.901765   6  
  28  1   12   1   1    5      6    164.495471 1.465947 166.477540 0.000890 166.594137 3.401516   6  
  29  3   12   3   1    5      4    170.491660 1.515729 172.523690 0.738675 173.373149 2.618731   6  
  30  4   12   4   1    6      6    176.504496 1.249443 178.270038 0.658494 179.036211 2.968574   6  
  31  4   12   4   1    6      3    182.500679 1.299351 184.316177 0.000939 184.432776 3.568228   6  
  32  2   12   1   0    5      2    188.496847 1.765838 190.778727 0.504908 191.395012 2.602165   6  
  33  3   12   1   0    5      5    194.509686 1.549249 196.575067 0.466187 197.157997 2.852021   6  
  34  4   12   4   1    5      4    200.505872 1.882438 202.904343 0.959001 203.970344 2.035852   6  
  35  2   12   1   0    5      4    206.502051 1.382581 208.400849 0.475621 208.983808 3.018572   6  
  36  3   12   2   0    6      4    212.514898 1.266016 214.297100 0.053679 214.463653 3.551552   6  
  37  2   12   2   1    7      4    218.494423 1.482617 220.493151 0.378184 220.992833 3.001718   6  
  38  2   12   1   0    6      4    224.490603 0.999488 226.006313 1.117496 227.238849 2.751953   6  
  39  4   12   4   1    6      5    230.503446 1.532500 232.552134 0.374010 233.035172 2.968515   6  
  40  2   12   4   0    5      4    236.499623 1.815433 238.831472 0.640478 239.581005 2.418927   6  
  41  1   12   1   1    7      6    242.495813 0.899564 243.911574 0.779969 244.810997 3.185141   6  
  42  1   12   1   1    7      6    248.508651 0.899673 249.924417 0.545036 250.590665 3.418303   6  
  43  4   12   4   1    5      6    254.504829 1.382657 256.403617 1.291052 257.802726 2.202417   6  
  44  2   12   1   0    5      5    260.501022 1.282706 262.299862 0.512169 262.932794 3.068538   6  
  45  4   12  -1   0    2      4    266.513856 2.498640 269.028943 0.456392 269.595216 2.418958   6  
  46  4   12   4   1    6      3    272.510033 1.549030 274.575385 0.459509 275.141702 2.868652   6  
  47  1   12   1   1    7      6    278.489563 0.932972 279.938633 0.854342 280.904685 3.085005   6  
  48  1   12   4   0    6      4    284.502400 1.615867 286.634373 0.580492 287.333935 2.668657   6  
  49  3   12   2   0    5      4    290.498574 1.132776 292.147525 0.257627 292.513967 3.484860   6  
  50  1   12   4   0    6      3    296.494762 1.549195 298.560109 0.476610 299.143082 2.851993   6  
  51  2   12   1   0    5      3    302.507603 1.715806 304.739512 0.366834 305.222535 2.785390   6  
  52  3   12   4   0    5      3    308.503777 1.082821 310.102737 0.437304 310.652407 3.351695   6  
  53  3   12   2   0    6      3    314.499957 1.016062 316.032328 0.629828 316.781835 3.218458   6  
  54  1   12   1   1    6      6    320.512802 1.415852 322.444917 0.381380 322.944557 3.068559   6  
  55  2   12   4   0    5      5    326.508992 1.382701 328.407776 0.357867 328.874149 3.135166   6  
  56  4   12   2   0    6      4    332.505173 1.249323 334.270704 0.245042 334.620495 3.384993   6  
  57  1   12   1   1    7      7    338.501358 1.032742 340.050364 1.186376 341.349537 2.651956   6  
  58  1   12   1   1    6      4    344.497543 1.182595 346.196459 0.967096 347.279096 2.718635   6  
  59  3   12   2   0   -1      4    350.493722 1.099335 352.109356 0.000000 354.107995 1.885961   6  
  60  2   12   2   1    6      4    356.506554 1.132805 358.155505 0.000508 358.272107 3.734761   6  
