%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at wangzelin (       50.0000000000).0-Jul-2019 16:49:497.376267e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   10   3   1    5    2.498576 1.266621   3.914371 1.678599   5.713221 2.285677   6  
   2  4   10   2   0    6    8.494793 1.166348   9.810606 0.092909  10.010480 3.984578   6  
   3  3   10   3   1    7   14.490964 1.133063  15.756835 0.084384  15.956685 4.034536   6  
   4  2   10   3   0    6   20.503802 0.999879  21.619612 0.107967  21.836282 4.167726   6  
   5  4   10   2   0    5   26.499963 1.099826  27.749056 0.117594  27.982370 4.017806   6  
   6  2   10   3   0    6   32.496166 0.983121  33.595435 0.031614  33.745373 4.250952   6  
   7  4   10   4   1    6   38.492329 1.299479  39.941430 0.164444  40.224565 3.767935   6  
   8  4   10   2   0    6   44.488529 1.449534  46.087516 0.107645  46.304037 3.684599   6  
   9  1   10   1   1    6   50.501360 1.332993  52.016939 0.072738  52.200280 3.801412   6  
  10  4   10   4   1    6   56.514189 1.349562  57.979909 0.115321  58.213118 3.801404   6  
  11  3   10   4   0    7   62.510384 1.382901  64.009431 0.150269  64.275925 3.734784   6  
  12  2   10   3   0    7   68.506559 1.249689  69.872368 0.144838  70.138859 3.868020   6  
  13  4   10   3   0    6   74.502745 0.999853  75.652024 0.124780  75.885197 4.117878   6  
  14  2   10   2   1    6   80.498930 1.599330  82.281129 0.085502  82.481011 3.518252   6  
  15  3   10   1   0    7   86.511759 1.399642  88.094004 0.094799  88.310623 3.701479   6  
  16  1   10   3   0    6   92.507950 1.066529  93.690395 0.051600  93.857104 4.151169   6  
  17  4   10   3   0    7   98.504132 1.449554 100.086460 0.076123 100.269678 3.734786   6  
  18  4   10   3   0    7  104.500302 1.466377 106.099206 0.092072 106.299173 3.701465   6  
  19  1   10   2   0    5  110.496480 1.332916 112.012218 0.084121 112.212071 3.784757   6  
  20  2   10   4   0    6  116.492668 1.399543 118.008295 0.176620 118.291533 3.701481   6  
  21  3   10   1   0    7  122.505520 1.682698 124.354218 0.116817 124.587522 3.418308   6  
  22  1   10   2   0    6  128.501702 1.982624 130.633687 0.095720 130.850206 3.151785   6  
  23  4   10   4   1    6  134.497886 1.182920 135.797065 0.075342 135.980286 4.017829   6  
  24  2   10   2   1    6  140.494064 1.133060 141.776528 0.057570 141.943146 4.051135   6  
  25  1   10   4   0    6  146.490264 1.133042 147.739238 0.185094 148.039260 3.951189   6  
  26  4   10   2   0    6  152.503096 1.416230 154.102074 0.067808 154.285279 3.717974   6  
  27  2   10   4   0    6  158.499279 1.366208 159.981663 0.256011 160.348096 3.651311   6  
  28  1   10   1   1    6  164.495454 1.665959 166.327625 0.065683 166.510842 3.484711   6  
  29  3   10   3   1    6  170.508288 1.249839 171.890631 0.095829 172.107291 3.901320   6  
  30  1   10   4   0    6  176.504466 1.249691 177.886936 0.116507 178.120119 3.884680   6  
  31  4   10   2   0    6  182.500647 0.966499 183.633281 0.037277 183.783175 4.217809   6  
  32  2   10   3   0    7  188.513492 1.033144 189.662728 0.081928 189.862632 4.151187   6  
  33  4   10   4   1    6  194.509687 1.349560 195.975399 0.114781 196.208607 3.801389   6  
  34  3   10   2   0    6  200.505854 0.833323 201.505049 0.005584 201.621812 4.384384   6  
  35  2   10   4   0    6  206.502029 1.299634 207.917808 0.092530 208.117692 3.884671   6  
  36  1   10   3   0    6  212.498219 1.382988 214.030582 0.066616 214.213803 3.784755   6  
  37  2   10   2   1    5  218.494398 0.999696 219.676998 0.087422 219.876849 4.117890   6  
  38  2   10   3   0    6  224.507235 1.865969 226.505978 0.126249 226.739158 3.268418   6  
  39  1   10   3   0    6  230.503421 1.199619 231.852562 0.182004 232.152379 3.851381   6  
  40  2   10   2   1    6  236.499622 1.349614 238.015319 0.051379 238.181874 3.818064   6  
  41  4   10   1   0    7  242.495788 1.349615 244.028057 0.031440 244.178063 3.818035   6  
  42  4   10   4   1    6  248.491976 1.549339 250.157583 0.093133 250.357469 3.634780   6  
  43  3   10   2   0    6  254.504802 1.849291 256.503550 0.044406 256.653451 3.351595   6  
  44  1   10   1   1    5  260.501003 1.449484 262.116567 0.110015 262.333172 3.668040   6  
  45  4   10   3   0    7  266.497175 1.133189 267.763047 0.007401 267.879642 4.117731   6  
  46  4   10   1   0    5  272.493360 1.149706 273.825831 0.134207 274.075690 3.917830   6  
  47  2   10   3   0    7  278.489554 1.332957 279.971935 0.130891 280.221772 3.767912   6  
  48  1   10   2   0    6  284.485721 1.149610 285.784721 0.083435 285.984771 4.001071   6  
  49  3   10   4   0    7  290.515211 1.083117 291.714453 0.075806 291.897674 4.117870   6  
  50  1   10   2   0    6  296.511389 1.516136 298.210173 0.245099 298.576756 3.434972   6  
  51  3   10   4   0    7  302.507583 1.100421 303.723481 0.127658 303.956668 4.051245   6  
  52  2   10   2   1    6  308.503757 1.266414 309.936197 0.062540 310.119412 3.884681   6  
  53  3   10   3   1    7  314.499943 1.066289 315.699186 0.056356 315.865744 4.134522   6  
  54  4   10   4   1    7  320.512775 1.349454 321.978525 0.104522 322.195053 3.818059   6  
  55  4   10   2   0    6  326.508966 2.498839 329.173948 0.138142 329.423787 2.585502   6  
  56  2   10   2   1    6  332.505159 1.299782 333.970891 0.005206 334.087480 3.917990   6  
  57  2   10   1   0    7  338.501325 1.149707 339.783677 0.025552 339.917109 4.084545   6  
  58  4   10   4   1    7  344.497523 1.233037 345.846652 0.091285 346.046523 3.951323   6  
  59  1   10   4   0    7  350.493706 1.566125 352.209283 0.164870 352.492437 3.501601   6  
  60  3   10   3   1    7  356.506554 1.016397 357.638929 0.077241 357.822363 4.184494   6  
  61  2   10   2   1    6  362.502722 1.199713 363.851864 0.028418 364.001772 4.001250   6  
  62  3   10   1   0    7  368.498903 1.166375 369.814729 0.124875 370.047929 3.951257   6  
  63  1   10   3   0    7  374.495090 1.082996 375.694326 0.278447 376.094069 3.901242   6  
  64  3   10   4   0    7  380.491255 1.083095 381.690471 0.044056 381.840415 4.151081   6  
  65  4   10   4   1    5  386.504102 0.949892 387.586775 0.087967 387.786630 4.217690   6  
  66  1   10   2   0    6  392.500301 1.066413 393.716095 0.016598 393.849431 4.151016   6  
  67  4   10   2   0    7  398.496482 1.765842 400.411926 0.084875 400.611781 3.384827   6  
  68  2   10   1   0    7  404.492650 1.116317 405.775188 0.044023 405.925078 4.067666   6  
  69  1   10   4   0    7  410.505488 1.033156 411.654760 0.043235 411.804674 4.201150   6  
  70  2   10   2   1    6  416.501665 1.366447 418.000547 0.239814 418.350494 3.651513   6  
  71  1   10   4   0    6  422.514501 1.033192 423.663780 0.075457 423.847012 4.167832   6  
  72  3   10   2   0    6  428.510690 1.449635 430.126343 0.027517 430.259592 3.751428   6  
