%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at sunxiaoxu (       50.0000000000).0-Jul-2019 16:49:587.376267e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  3   10   3   1    7      5      2.498856 1.266733   4.281371 0.764762   5.180974 2.818102   6  
   2  4   10   2   0    7      6      8.496138 1.166616  10.178697 0.419399  10.728466 3.267866   6  
   3  3   10   3   1    7      7     14.493489 1.133142  16.142669 0.230010  16.509154 3.484422   6  
   4  2   10   3   0    7      6     20.490701 1.016591  22.023331 0.203278  22.356514 3.634286   6  
   5  4   10   2   0    8      5     26.487982 1.116583  28.120566 0.307020  28.553696 3.434361   6  
   6  2   10   3   0    7      6     32.501916 0.983264  34.001223 0.551797  34.684255 3.317893   6  
   7  4   10   4   1    6      6     38.515850 1.283167  40.315041 0.421790  40.864784 3.151286   6  
   8  4   10   2   0    7      6     44.513127 1.433127  46.462234 0.076503  46.678807 3.334556   6  
   9  1   10   1   1    6      6     50.510398 1.316629  52.342901 0.190293  52.659422 3.351221   6  
  10  4   10   4   1    7      6     56.507671 1.349806  58.373491 0.127784  58.640052 3.367857   6  
  11  3   10   4   0    7      7     62.504952 1.383167  64.404097 0.001323  64.537376 3.467811   6  
  12  2   10   3   0    7      7     68.502237 1.249811  70.268094 0.283569  70.684567 3.317896   6  
  13  4   10   3   0    7      6     74.499507 0.999949  76.015487 0.204577  76.348685 3.651065   6  
  14  2   10   2   1    6      6     80.496787 1.599702  82.612510 0.513595  83.262195 2.734825   6  
  15  3   10   1   0    6      7     86.494070 1.416442  88.426527 0.305605  88.859666 3.134588   6  
  16  1   10   3   0    6      6     92.491347 1.083303  94.090627 0.149112  94.373831 3.617650   6  
  17  4   10   3   0    7      7     98.488609 1.466512 100.471055 0.371949 100.970831 3.017914   6  
  18  4   10   3   0    7      7    104.485912 1.483084 106.485000 0.834786 107.451219 2.534750   6  
  19  1   10   2   0    7      5    110.516499 1.316458 112.348954 0.002714 112.482276 3.534446   6  
  20  2   10   4   0    6      6    116.513767 1.383102 118.412903 0.864916 119.412461 2.601647   6  
  21  3   10   1   0    7      7    122.511060 1.682741 124.710060 0.034288 124.859994 3.151292   6  
  22  1   10   2   0    7      6    128.508340 1.982994 131.007173 0.001819 131.140470 2.868095   6  
  23  4   10   4   1    6      6    134.505613 1.183294 136.204832 0.931721 137.271025 2.734820   6  
  24  2   10   2   1    7      6    140.502889 1.116609 142.135478 0.577257 142.851788 3.151337   6  
  25  1   10   4   0    6      6    146.500166 1.116586 148.132763 0.320802 148.582561 3.417834   6  
  26  4   10   2   0    6      6    152.497454 1.416511 154.429886 0.001415 154.563177 3.434497   6  
  27  2   10   4   0    7      6    158.494719 1.366492 160.377194 0.141137 160.660402 3.334543   6  
  28  1   10   1   1    6      6    164.492003 1.666073 166.674328 0.619488 167.424003 2.568154   6  
  29  3   10   3   1    7      6    170.489283 1.266530 172.271783 0.084531 172.471724 3.517703   6  
  30  1   10   4   0    7      6    176.503215 1.249872 178.269075 0.058517 178.452340 3.550964   6  
  31  4   10   2   0    7      6    182.500496 0.966671 183.983157 0.482837 184.599537 3.401016   6  
  32  2   10   3   0    7      7    188.514435 1.033313 190.063728 0.440122 190.630131 3.384539   6  
  33  4   10   4   1    8      6    194.511707 1.349646 196.377519 0.522542 197.027233 2.984699   6  
  34  3   10   2   0    8      6    200.508981 0.833411 201.858374 0.305761 202.291505 3.717802   6  
  35  2   10   4   0    7      6    206.506254 1.299855 208.322120 0.005124 208.455389 3.551102   6  
  36  1   10   3   0    8      6    212.503556 1.383136 214.402667 0.001402 214.535949 3.467820   6  
  37  2   10   2   1    7      5    218.500879 0.999896 220.016797 0.131364 220.283349 3.717701   6  
  38  2   10   3   0    8      6    224.498094 1.882933 226.897013 0.000941 227.030289 2.968042   6  
  39  1   10   3   0    7      6    230.495378 1.216484 232.227921 0.340766 232.694383 3.301229   6  
  40  2   10   2   1    7      6    236.492659 1.349680 238.358473 0.043204 238.541727 3.451126   6  
