%% MetaTwinsDoubleBlind_behave_Conf for '_notguess': starting at sunxiaoxu (       50.0000000000).0-Jul-2019 16:59:447.376267e+05 for '
record = [
%  n dir coh resp isc conf    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   12   1   1    6    2.498868 1.117537   3.848250 0.713329   4.697874 3.301211   6  
   2  4   12   2   0    2    8.496134 1.217335   9.845530 1.091127  11.061645 2.934674   6  
   3  1   12   1   1    6   14.493422 1.134069  15.759507 0.890810  16.775717 3.217851   6  
   4  1   12   1   1    6   20.490704 0.800669  21.423616 0.792863  22.356516 3.634279   6  
   5  1   12   1   1    4   26.487974 0.950764  27.604145 1.607779  29.353344 2.634699   6  
   6  2   12   1   0    3   32.501912 1.650462  34.284441 0.936337  35.350619 2.651525   6  
   7  3   12   3   1    3   38.499250 1.983486  40.631542 1.389386  42.147535 1.851882   6  
   8  2   12   2   1    5   44.513136 1.217225  45.862413 1.442958  47.428483 2.584872   6  
   9  1   12   1   1    4   50.510384 1.267092  51.909838 0.995816  53.042583 2.968061   6  
  10  2   12   2   1    3   56.507676 1.250539  57.890399 1.060904  59.073193 2.934730   6  
  11  1   12   1   1    2   62.504968 2.050220  64.703963 0.274748  65.103789 2.901398   6  
  12  3   12   2   0    3   68.502243 1.567218  70.217990 0.827673  71.184351 2.818117   6  
  13  4   12   2   0    2   74.499512 1.883617  76.581910 0.733044  77.448173 2.551617   6  
  14  4   12   2   0    4   80.496797 1.533697  82.196025 0.271201  82.595837 3.401124   6  
  15  3   12   2   0    3   86.494075 2.183563  88.892912 0.380256  89.409414 2.584798   6  
  16  4   12   4   1    3   92.491357 1.467133  94.090633 0.958878  95.173470 2.817976   6  
  17  4   12   2   0    3   98.488639 2.166938 100.787459 0.244284 101.154090 2.834590   6  
  18  1   12   1   1    6  104.502567 1.417250 106.051866 0.874318 107.051420 2.951383   6  
  19  2   12   4   0    4  110.499836 1.533738 112.165762 0.766099 113.065354 2.934724   6  
  20  1   12   1   1    6  116.513783 1.234128 117.879822 1.175428 119.179238 2.834775   6  
  21  3   12   1   0    5  122.511058 1.517279 124.176889 1.458576 125.759592 2.251703   6  
  22  4   12   4   1    5  128.508323 1.650427 130.324277 0.532320 130.990546 3.018125   6  
  23  1   12   1   1    5  134.505608 1.450505 136.088245 0.699524 136.921190 3.084659   6  
