%% MetaTwins_RDMsc_training for 'sunxiaoxu': starting at _nofeedback (       50.0000000000).0-Jul-2019 16:21:53 for '7.376267e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi    isi ofb    oiti       iti   total
   1  20  2    1   0    0    8    2.498852   0    0  1.100584   3.781605 0.727006   4.647887  0   0    4.647887 1.351194   4  
   2  20  4    4   1    0    2    6.497046   0    0  1.733860   8.362859 0.617826   9.112526  0   0    9.112526 0.884745   4  
   3  20  4    4   1    0    1   10.495229   0    0  1.783740  12.427602 1.273726  13.827042  0   0   13.827042 1.168400   5  
   4  18  4    4   1    0    8   15.492950   0    0  1.067561  16.692409 0.594203  17.425394  0   0   17.425394 0.567780   3  
   5  18  4    3   0    0    2   18.491607   0    0  1.750564  20.457384 1.017969  21.623506  0   0   21.623506 1.368294   5  
   6  18  1    1   1    0    8   23.505982   0    0  0.834045  24.522191 0.491350  25.138584  0   0   25.138584 0.867616   3  
   7  18  1    1   1    0    8   26.504631   0    0  0.650922  27.337581 0.571799  28.037346  0   0   28.037346 0.967486   3  
   8  16  3    3   1    0    2   29.503270   0    0  1.667146  31.319122 1.280355  32.735134  0   0   32.735134 1.268328   5  
   9  16  4    4   1    0    7   34.501009   0    0  1.083934  35.717110 0.526681  36.366821  0   0   36.366821 0.634372   3  
  10  14  1    1   1    0    8   37.499630   0    0  1.233911  38.865558 0.569579  39.565358  0   0   39.565358 1.434459   4  
  11  14  2    1   0    0    3   41.497819   0    0  1.100840  42.713935 1.315186  44.163273  0   0   44.163273 0.834747   4  
  12  14  4    4   1    0    3   45.496013   0    0  1.250683  46.895367 1.798016  48.827826  0   0   48.827826 1.168362   5  
  13  14  2    2   1    0    2   50.493734   0    0  1.867140  52.509492 0.688134  53.325796  0   0   53.325796 0.668119   4  
  14  13  2    1   0    0    2   54.491914   0    0  1.234070  55.891297 1.032015  57.057429  0   0   57.057429 0.934690   4  
  15  13  1    3   0    0    2   58.490120   0    0  1.467078  60.089233 1.038334  61.255530  0   0   61.255530 0.734767   4  
  16  14  2    2   1    0    2   62.504949   0    0  1.283901  63.920969 0.973068  65.020477  0   0   65.020477 0.984658   4  
  17  14  3    3   1    0    2   66.503133   0    0  1.267368  67.919165 1.185733  69.235229  0   0   69.235229 0.768084   4  
  18  13  1    1   1    0    3   70.501331   0    0  1.400654  72.033965 1.251684  73.416666  0   0   73.416666 0.584828   4  
  19  13  4    3   0    0    7   74.499510   0    0  1.699673  76.331919 1.223450  77.681402  0   0   77.681402 1.318283   5  
  20  13  3    4   0    0    3   79.497237   0    0  1.168276  80.796573 0.862059  81.796201  0   0   81.796201 1.201216   4  
  21  14  3    2   0    0    6   83.495436   0    0  1.750478  85.411180 1.547424  87.093800  0   0   87.093800 0.901793   5  
  22  14  2    4   0    0    3   88.493157   0    0  1.500650  90.125733 0.572774  90.825435  0   0   90.825435 1.167878   4  
  23  15  3    4   0    0    3   92.491346   0    0  1.950391  94.590386 0.541958  95.256756  0   0   95.256756 0.734732   4  
  24  15  3    2   0    0    2   96.489534   0    0  2.050191  98.671876 1.108061  99.904638  0   0   99.904638 1.085044   5  
  25  16  2    4   0    0    2  101.503915   0    0  2.116797 103.752900 1.391260 105.268881  0   0  105.268881 0.735201   5  
  26  16  4    3   0    0   -1  106.501649   0    0  1.633883 108.267423 0.000000 110.266532  0   0  110.266532 0.735269   5  
  27  16  2    4   0    0    2  111.499373   0    0  1.017387 112.682182 1.144596 113.964921  0   0  113.964921 1.034599   4  
  28  18  2    4   0    0    3  115.497562   0    0  1.483748 117.130169 0.872936 118.129709  0   0  118.129709 0.867986   4  
  29  18  4    4   1    0    3  119.495759   0    0  1.583889 121.211653 0.744828 122.094580  0   0  122.094580 0.901310   4  
  30  18  2    2   1    0    2  123.493945   0    0  1.383708 125.059906 0.086287 125.276461  0   0  125.276461 0.717610   3  
  31  16  1    1   1    0    5  126.492572   0    0  1.350581 127.975247 1.595246 129.707786  0   0  129.707786 1.284916   5  
  32  16  4    4   1    0    3  131.490304   0    0  1.650457 133.272744 0.558272 133.955851  0   0  133.955851 1.034591   4  
  33  14  4    1   0    0    4  135.488490   0    0  1.833746 137.454251 0.934538 138.503801  0   0  138.503801 1.484816   5  
  34  14  3    4   0    0    4  140.502890   0    0  1.133951 141.768973 0.895365 142.785186  0   0  142.785186 1.217816   4  
  35  15  1    1   1    0    8  144.501068   0    0  0.867450 145.500624 0.674315 146.300246  0   0  146.300246 0.700949   3  
  36  15  4    4   1    0    3  147.499715   0    0  1.950268 149.581975 1.221339 150.931488  0   0  150.931488 1.068338   5  
  37  14  2    3   0    0    3  152.497437   0    0  2.216841 154.846261 0.823962 155.795948  0   0  155.795948 1.201604   5  
  38  14  3    3   1    0    3  157.495183   0    0  0.950669 158.594666 0.684193 159.410980  0   0  159.410980 0.584289   3  
  39  14  4    2   0    0    1  160.493809   0    0  1.300638 161.943162 0.691091 162.759462  0   0  162.759462 1.234444   4  
  40  14  2    4   0    0    2  164.491997   0    0  2.267825 166.890900 0.651022 167.673879  0   0  167.673879 1.318224   5  
  41  15  3    2   0    0    1  169.489733   0    0  1.550680 171.172299 0.395180 171.705385  0   0  171.705385 1.284434   4  
  42  15  1    1   1    0    8  173.487904   0    0  1.067286 174.687375 0.799166 175.620284  0   0  175.620284 1.367719   4  
  43  15  3    4   0    0    2  177.502761   0    0  2.316853 179.951646 1.345495 181.417653  0   0  181.417653 0.585209   5  
  44  15  2    1   0    0    3  182.500493   0    0  2.033548 184.666168 1.058090 185.848976  0   0  185.848976 1.151594   5  
  45  16  3    2   0    0    1  187.498213   0    0  1.568079 189.197359 0.430427 189.763856  0   0  189.763856 1.234446   4  
  46  16  1    1   1    0    8  191.496407   0    0  1.084097 192.712513 0.919530 193.762043  0   0  193.762043 1.234431   4  
  47  16  1    1   1    0    8  195.494593   0    0  0.950855 196.577361 0.422419 197.127185  0   0  197.127185 0.867472   3  
  48  14  3    2   0    0    2  198.493230   0    0  2.283646 200.942117 0.609112 201.675132  0   0  201.675132 1.318169   5  
  49  14  1    1   1    0    4  203.490963   0    0  1.384007 205.023612 1.063690 206.223056  0   0  206.223056 0.767980   4  
  50  14  3    3   1    0    4  207.489149   0    0  2.066993 209.688153 1.293043 211.120842  0   0  211.120842 0.868360   5  
  51  13  1    1   1    0    2  212.486887   0    0  1.583651 214.186116 1.182034 215.485521  0   0  215.485521 0.501425   4  
  52  13  4    2   0    0    2  216.501734   0    0  2.016930 218.650750 0.421113 219.200496  0   0  219.200496 0.801280   4  
  53  13  1    2   0    0    1  220.499917   0    0  1.533631 222.165825 0.466689 222.765498  0   0  222.765498 1.234465   4  
  54  14  2    2   1    0    1  224.498101   0    0  1.783663 226.430561 0.261829 226.830355  0   0  226.830355 1.167784   4  
  55  14  2    2   1    0    1  228.496274   0    0  1.783713 230.478726 0.402636 231.011808  0   0  231.011808 0.984517   4  
  56  13  3    3   1    0    2  232.511117   0    0  1.650460 234.310314 0.611618 235.059957  0   0  235.059957 0.951404   4  
  57  13  3    2   0    0    1  236.509310   0    0  1.850304 238.508385 0.424281 239.058159  0   0  239.058159 0.951381   4  
  58  13  1    2   0    0    1  240.507492   0    0  1.550538 242.206651 0.254804 242.589880  0   0  242.589880 1.417839   4  
  59  14  4    2   0    0    4  244.505673   0    0  1.117265 245.805084 1.316330 247.237778  0   0  247.237778 0.768134   4  
  60  14  1    1   1    0    8  248.503868   0    0  1.500413 250.253062 0.519104 250.902781  0   0  250.902781 1.101311   4  
]; % This session completes at 20-Jul-2019 16:26:53, 254.005s after session start, 250s on 60 trials, totally 300.202s, correctness is 50.000%.

