%% MetaTwins_RDMsc_training for 'sunxiaoyan': starting at _feedback (       50.0000000000).0-Jul-2019 15:52:04 for '7.376267e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  2    2   1    0    7    2.498870   0    0  1.250061   3.881457 0.753182   4.764512 0.999539   5.764051   6.763593 1.235481   6  
   2  50  3    3   1    0    7    8.496137   0    0  1.399887  10.062103 0.561257  10.745121 0.999555  11.744677  12.744213 1.252080   6  
   3  45  2    2   1    0    5   14.493433   0    0  1.049976  15.692865 1.567273  17.375454 0.999540  18.374994  19.374551 0.618982   6  
   4  45  4    4   1    0    6   20.507364   0    0  1.799876  22.439832 1.539912  24.105746 0.999534  25.105280  26.104822 0.902779   7  
   5  40  3    3   1    0    7   27.504195   0    0  1.166782  28.803612 1.524810  30.452866 0.999543  31.452408  32.451960 0.552470   6  
   6  40  4    4   1    0    7   33.501488   0    0  1.749715  35.400582 1.940905  37.466357 0.999550  38.465907  39.465454 0.536259   7  
   7  36  2    2   1    0    8   40.498308   0    0  0.983575  41.631125 1.726628  43.480297 0.999536  44.479834  45.479380 0.519172   6  
   8  36  2    2   1    0    8   46.495585   0    0  1.016757  47.661731 1.013271  48.794550 0.999537  49.794086  50.793641 1.202192   6  
   9  32  4    4   1    0    6   52.492872   0    0  2.149551  54.791827 1.809379  56.724282 0.999553  57.723835  58.723383 1.269690   8  
  10  32  3    3   1    0    7   60.489257   0    0  1.100102  61.738685 1.178570  63.038095 0.999537  64.037632  65.037179 0.952199   6  
  11  28  3    3   1    0    8   66.486539   0    0  1.133383  67.769281 1.704616  69.601791 0.999542  70.601333  71.600882 1.385723   7  
  12  28  4    4   1    0    6   73.500024   0    0  1.433141  75.082632 1.463926  76.665251 0.999546  77.664797  78.664343 1.335905   7  
  13  25  1    4   0    0   -1   80.513503   0    0  1.649796  82.312704 0.000000  84.311742 0.999580  85.311322  86.310879 0.702853   7  
  14  25  3    3   1    0    6   87.510335   0    0  1.283393  88.942937 0.931725  89.992547 0.999542  90.992089  91.991634 1.018934   6  
  15  25  4    4   1    0    5   93.507613   0    0  1.200006  94.823579 0.788906  95.739954 0.999523  96.739477  97.739028 1.268818   6  
  16  22  2    2   1    0    7   99.504894   0    0  1.233419 100.870958 0.809378 101.803855 0.999553 102.803408 103.802949 1.202163   6  
  17  22  3    4   0    0   -1  105.502180   0    0  1.616505 107.234738 0.000000 109.250490 0.999536 110.250026 111.249572 0.752777   7  
  18  22  1    1   1    0    6  112.499014   0    0  1.066784 113.715051 1.320104 115.164474 0.999533 116.164007 117.163561 0.835547   6  
  19  19  3    3   1    0    5  118.512956   0    0  1.150036 119.795708 1.593372 121.511603 0.999537 122.511141 123.510664 0.502511   6  
  20  19  3    3   1    0    7  124.510242   0    0  1.383209 126.026228 0.853256 127.009111 0.999528 128.008639 129.008185 1.002285   6  
  21  17  3    3   1    0    6  130.507508   0    0  1.666426 132.289965 1.236269 133.639426 0.999551 134.638976 135.638519 1.369228   7  
  22  17  2    2   1    0    6  137.504343   0    0  1.549835 139.186911 1.370798 140.686246 0.999527 141.685773 142.685322 1.319261   7  
  23  15  4    4   1    0    6  144.501180   0    0  1.333226 145.950471 1.051771 147.116667 0.999523 148.116190 149.115731 0.885680   6  
  24  15  1    4   0    0    5  150.498452   0    0  1.233281 151.847732 1.117749 153.080615 0.999542 154.080157 155.079704 0.918950   6  
  25  15  3    3   1    0    6  156.495753   0    0  1.733166 158.361498 1.642449 160.127429 0.999549 161.126978 162.126513 0.869369   7  
  26  15  1    4   0    0    5  163.492570   0    0  1.799748 165.408363 1.351272 166.874373 0.999550 167.873923 168.873460 1.119191   7  
  27  15  1    4   0    0    6  170.506060   0    0  1.249914 171.905428 1.654960 173.687954 0.999535 174.687490 175.687039 1.319256   7  
  28  16  2    4   0    0    5  177.502894   0    0  1.349967 178.968892 1.183604 180.268308 0.999534 181.267842 182.267402 0.735717   6  
  29  16  4    4   1    0    6  183.500168   0    0  1.433247 185.049463 1.655028 186.815343 0.999533 187.814876 188.814431 1.185963   7  
  30  16  1    1   1    0    5  190.496989   0    0  1.783086 192.412805 1.395453 193.928773 0.999537 194.928310 195.927869 1.069362   7  
  31  14  4    4   1    0    5  197.493821   0    0  1.166690 198.793244 0.952289 199.876076 0.999552 200.875628 201.875183 1.118853   6  
  32  14  1    2   0    0    5  203.491101   0    0  1.533199 205.140366 1.097656 206.356483 0.999525 207.356008 208.355561 0.635695   6  
  33  14  3    4   0    0   -1  209.488386   0    0  1.483205 211.087674 0.000000 213.086703 0.999604 214.086306 215.085836 0.902658   7  
  34  14  2    2   1    0    6  216.501871   0    0  1.000255 217.651363 1.078264 218.850807 0.999544 219.850352 220.849898 1.152208   6  
  35  14  4    4   1    0    6  222.499165   0    0  1.167407 223.798488 0.743519 224.664845 0.999546 225.664391 226.663910 1.335469   6  
  36  13  1    2   0    0    7  228.513100   0    0  0.966764 229.595801 1.300607 231.011977 0.999551 232.011527 233.011055 1.002273   6  
  37  13  3    4   0    0    6  234.510367   0    0  1.133375 235.759825 1.031620 236.909274 0.999564 237.908837 238.908390 1.102217   6  
