%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at yaoyujing (       50.0000000000).7-Jul-2019 12:17:497.376335e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   9    1   1    1      1      2.498875 2.266634   5.280961 0.580113   5.997306 2.001808   6  
   2  1   9    3   0    3      2      8.496164 1.783275  10.795120 0.000920  10.945053 3.051332   6  
   3  2   9    1   0    2      2     14.493420 2.149568  17.158889 1.078936  18.374997 1.618649   6  
   4  3   9    3   1    6      8     20.507344 1.033442  22.056656 1.041007  23.239443 2.768142   6  
   5  2   9    1   0    2      1     26.504629 2.399499  29.419971 0.823914  30.419507 1.585337   6  
   6  2   9    2   1    5      2     32.501903 1.683459  34.700898 0.755227  35.600490 2.401630   6  
   7  3   9    4   0    5      2     38.499164 1.449869  40.464949 0.679875  41.281240 2.718143   6  
   8  1   9    3   0    3      7     44.496443 2.033207  47.045280 1.011494  48.194753 1.801898   6  
   9  4   9    3   0    2      6     50.510341 2.182911  53.209152 0.475413  53.825529 2.185058   6  
  10  2   9    1   0    2      5     56.507631 2.183125  59.206414 0.682128  60.072675 1.935191   6  
  11  2   9   -1   0    1      4     62.504891 2.516156  65.037082 1.477803  66.653027 1.352095   6  
  12  2   9    1   0    2      2     68.502178 1.833428  70.851113 0.174840  71.167640 2.834762   6  
  13  2   9    4   0    2      1     74.499437 2.082996  77.098275 0.000896  77.248201 2.751459   6  
  14  1   9    1   1    3      7     80.513375 1.650188  82.679064 0.664942  83.478695 2.534905   6  
  15  3   9    3   1    2      8     86.510634 1.766464  88.792943 0.373522  89.309374 2.701495   6  
  16  3   9    2   0    2      1     92.507916 2.416561  95.439906 0.537585  96.156259 1.851875   6  
  17  3   9    3   1    2      8     98.505178 1.966270 100.987385 0.483044 101.620441 2.384960   6  
  18  4   9    1   0    3      6    104.502450 1.966630 106.984665 0.515402 107.634361 2.368317   6  
  19  2   9    2   1    2      1    110.499699 2.232938 113.248481 0.001005 113.415074 2.584864   6  
  20  3   9    1   0    2      7    116.513652 2.283200 119.312373 0.190227 119.645558 2.368305   6  
  21  2   9    3   0    5      8    122.510914 1.466551 124.493352 0.972795 125.609518 2.401623   6  
  22  2   9    4   0    2      6    128.508196 1.733583 130.757162 1.317997 132.206499 1.801914   6  
  23  1   9    1   1    6      6    134.505444 1.000128 136.021437 0.541048 136.704462 3.301213   6  
  24  1   9    3   0    6      7    140.502727 1.133725 142.151979 0.708567 143.001586 3.001366   6  
  25  2   9    1   0    6      6    146.516649 1.233370 148.265873 1.344365 149.748523 2.268357   6  
