%% MetaTwinsDoubleBlind_behave_Conf for '_guess': starting at yaoyurou (       50.0000000000).7-Jul-2019 12:06:157.376335e+05 for '
record = [
%  n dir coh resp isc conf conforig    osti      rtime     oconf     ctime     oisi       iti   total
   1  1   14   2   0    6      5      2.498870 1.433312   4.447988 0.978524   5.547496 2.451602   6  
   2  3   14   2   0    7      6      8.496156 1.133499  10.145409 1.488213  11.761346 2.235003   6  
   3  4   14   1   0    8      5     14.493435 0.899985  15.909466 1.164906  17.192221 2.801366   6  
   4  1   14   4   0    3      6     20.490719 1.782925  22.789688 1.149738  24.055781 1.935075   6  
   5  3   14   2   0    5      5     26.488004 1.532805  28.537077 1.394409  30.053028 1.935092   6  
   6  2   14   2   1    4     -1     32.501945 1.849565  34.867533 1.350900  36.333541 1.668484   6  
   7  1   14   2   0    8      5     38.515873 0.916579  39.948561 1.879576  41.947673 2.068446   6  
   8  1   14   2   0    6      6     44.513161 1.366295  46.395650 1.091872  47.611764 2.401631   6  
   9  1   14   1   1    7      5     50.510447 1.066524  52.093057 1.597784  53.808969 2.201714   6  
  10  3   14   1   0    6      8     56.507727 1.716050  58.740055 1.069562  59.922858 2.085098   6  
  11  2   14   1   0   -1      8     62.505006 0.666636  63.687809 0.000000  65.686855 2.318391   6  
  12  1   14   2   0    7      7     68.502301 1.199788  70.218182 0.753773  71.084466 2.918063   6  
  13  1   14   1   1    6      5     74.499572 1.599625  76.615278 0.728990  77.464898 2.534908   6  
  14  2   14   1   0    5      5     80.496864 1.516127  82.529267 0.803986  83.445520 2.551574   6  
  15  4   14   1   0    8      5     86.494125 0.799939  87.810206 1.089472  89.026326 2.968047   6  
  16  3   14   2   0    6      6     92.508085 1.183154  94.207315 1.307917  95.639999 2.368317   6  
  17  1   14   2   0    6      6     98.505355 1.066497 100.087983 0.689938 100.904291 3.101296   6  
  18  4   14   2   0    7      2    104.502641 1.483016 106.501738 1.340899 107.967753 2.035077   6  
  19  3   14   1   0    6      4    110.499937 1.316482 112.332429 0.983301 113.431937 2.568147   6  
  20  3   14   2   0    6      5    116.497206 1.782854 118.796172 1.222884 120.145559 1.851786   6  
  21  4   14   2   0    7      5    122.494504 1.482994 124.493586 1.125691 125.743021 2.251578   6  
  22  3   14   2   0    3      8    128.491767 2.449219 131.457107 1.530602 133.106345 0.885507   6  
  23  2   14   2   1    5      8    134.505706 1.716043 136.738026 1.048371 137.904173 2.101767   6  
  24  1   14   2   0    5      8    140.502996 1.583004 142.602052 1.586068 144.301284 1.701949   6  
  25  4   14   4   1    5      8    146.500284 1.499662 148.516028 1.061122 149.698828 2.301682   6  
  26  4   14   4   1    6      8    152.514219 2.132613 155.163013 0.528268 155.812732 2.201716   6  
  27  3   14   2   0   -1      8    158.511518 2.432608 161.460160 0.000000 163.459198 0.552539   6  
  28  4   14   4   1    5      8    164.508780 1.016552 166.041415 0.884039 167.040967 2.968051   6  
  29  3   14   2   0    5      8    170.506059 1.149850 172.171971 1.232778 173.521361 2.484938   6  
  30  2   14   2   1    5      8    176.503350 1.533024 178.552422 1.039813 179.718566 2.285015   6  
  31  3   14   4   0    4      8    182.500625 2.149472 185.166094 0.513119 185.799143 2.201715   6  
  32  4   14   2   0    4      8    188.497908 1.932874 190.946798 1.408445 192.479452 1.518690   6  
  33  2   14   2   1    6      8    194.495190 1.299614 196.311030 1.369257 197.793707 2.201708   6  
  34  4   14   4   1    5      8    200.492483 1.499576 202.508225 1.065495 203.691025 2.301637   6  
  35  1   14   2   0    5      8    206.489762 1.699580 208.705411 0.862725 209.688304 2.301612   6  
  36  4   14   2   0    7      2    212.503698 1.049754 214.069662 1.451851 215.635608 2.368216   6  
  37  4   14   3   0    5      8    218.500987 1.466326 220.483422 0.700647 221.299713 2.701377   6  
  38  3   14   4   0    6      8    224.498264 1.582892 226.597315 1.306035 228.029997 1.968330   6  
  39  2   14   2   1    8      5    230.512217 1.049776 232.078157 1.201682 233.394238 2.618194   6  
  40  1   14   2   0    6      5    236.509499 1.232959 238.258699 0.955261 239.341534 2.668173   6  
  41  2   14   4   0    6      5    242.506772 1.416199 244.439231 1.096306 245.655342 2.351653   6  
  42  3   14   4   0    6      5    248.504038 1.466177 250.486478 0.741299 251.352755 2.651515   6  
  43  4   14   4   1    7      5    254.501333 1.616339 256.633698 0.798876 257.549958 2.451608   6  
  44  4   14   4   1    7      8    260.498622 1.482834 262.497707 0.674732 263.297348 2.701490   6  
  45  3   14   2   0    5      5    266.495897 1.566351 268.578287 1.060754 269.761084 2.235038   6  
  46  2   14   1   0    6      5    272.509840 1.632906 274.658861 0.716259 275.491816 2.518256   6  
  47  1   14   1   1    5      5    278.507118 1.549645 280.572855 0.580358 281.272537 2.734812   6  
  48  4   14   1   0    4      8    284.504398 1.399700 286.420198 1.072018 287.619661 2.384968   6  
  49  1   14   4   0    5      5    290.501691 1.599636 292.617389 0.994474 293.733551 2.268354   6  
  50  1   14   2   0    3      8    296.498964 2.099242 299.114449 0.965566 300.197291 1.801854   6  
  51  3   14   2   0    5      8    302.496250 1.616305 304.628615 1.304271 306.061297 1.935110   6  
  52  2   14   1   0    5      8    308.493540 1.799492 310.809145 1.310028 312.241835 1.751821   6  
  53  2   14   2   1    7      8    314.490822 1.149877 316.156717 1.168788 317.439479 2.551424   6  
  54  2   14   2   1    6      8    320.488090 1.349832 322.353908 1.281919 323.753281 2.234887   6  
  55  1   14   2   0    5      8    326.502033 1.483018 328.501130 0.525485 329.150843 2.851410   6  
  56  4   14   2   0    5      8    332.515977 1.549594 334.581705 0.644027 335.348030 2.668175   6  
  57  3   14   4   0    3      8    338.513262 2.166037 341.195377 1.092035 342.411487 1.602002   6  
  58  2   14   4   0    5      5    344.510545 1.566318 346.592922 1.004952 347.725756 2.285011   6  
  59  3   14   4   0    6      8    350.507809 1.299727 352.323665 0.559360 353.006696 3.001360   6  
  60  4   14   2   0    5      8    356.505098 1.516395 358.537512 1.294001 359.953542 2.051787   6  
  61  3   14   4   0    6      8    362.502385 1.449700 364.468161 0.887200 365.484367 2.518244   6  
  62  4   14   2   0    6      8    368.499662 1.732955 370.748656 0.976412 371.848158 2.151749   6  
  63  4   14   4   1    5      8    374.496949 1.532991 376.546016 0.406783 377.079110 2.918070   6  
  64  1   14   1   1    4      8    380.494236 1.649593 382.659911 1.223438 384.009305 1.985152   6  
  65  2   14   4   0    5      8    386.491507 1.499446 388.507266 0.642214 389.273589 2.718120   6  
  66  1   14   1   1    5      8    392.505449 1.166352 394.188019 0.904471 395.220889 2.784744   6  
  67  2   14   1   0    5      8    398.502748 1.782851 400.801694 1.180579 402.101103 1.901781   6  
  68  1   14   4   0    5      6    404.500025 1.449771 406.465793 0.589705 407.182141 2.817998   6  
  69  3   14   4   0    4      5    410.497308 1.766162 412.779599 0.893171 413.795802 2.201584   6  
  70  4   14   2   0    7      8    416.494585 1.249759 418.260450 0.404704 418.776887 3.217757   6  
  71  2   14   4   0    5      5    422.508524 1.816220 424.840807 1.430541 426.390099 1.618646   6  
  72  3   14   4   0    7      5    428.505805 1.149845 430.171711 0.560067 430.854748 3.151286   6  
  73  2   14   1   0    7      8    434.503088 0.716675 435.735866 1.151131 437.001968 3.001347   6  
  74  1   14   4   0    6      5    440.500370 1.233156 442.249572 1.446134 443.815534 2.185060   6  
  75  3   14  -1   0    5      2    446.497646 0.000000 449.013213 1.042473 450.179315 1.818568   6  
  76  3   14   2   0    6      5    452.511592 0.949904 453.977592 0.966299 455.060442 2.951379   6  
  77  1   14   1   1    7      5    458.508874 1.049870 460.074833 0.992655 461.191000 2.818111   6  
