%% MetaTwins_RDMsc_training for 'liyanshuang': starting at _feedback (       50.0000000000).7-Jul-2019 16:38:55 for '7.376337e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  50  4    2   0    0    8    2.499052   0    0  1.600253   4.214942 1.442318   5.780893 0.999548   6.780441   7.779985 1.219286   7  
   2  50  2    2   1    0    7    9.495861   0    0  1.266444  10.878565 1.215882  12.211283 0.999561  13.210845  14.210394 0.785706   6  
   3  50  3    3   1    0    7   15.493137   0    0  1.233903  16.842523 0.436690  17.392270 0.999558  18.391828  19.391350 0.601995   5  
   4  45  1    1   1    0    8   20.490863   0    0  1.316474  21.940221 0.190713  22.256725 0.999540  23.256265  24.255808 0.735125   5  
   5  45  1    1   1    0    8   25.505246   0    0  0.867857  26.488133 0.271257  26.887955 0.999539  27.887494  28.887038 1.118449   5  
   6  40  2    2   1    0    7   30.502955   0    0  0.966673  31.585830 0.171694  31.885672 0.999551  32.885223  33.884761 1.118437   5  
   7  40  2    2   1    0    7   35.500704   0    0  0.851822  36.466933 0.187126  36.766792 0.999553  37.766345  38.765878 1.235067   5  
   8  36  2    2   1    0    7   40.498414   0    0  0.750339  41.364682 0.197276  41.681238 0.999522  42.680760  43.680302 1.318346   5  
   9  36  2    2   1    0    7   45.496150   0    0  1.084120  46.695603 0.115499  46.928834 0.999539  47.928374  48.927916 1.068464   5  
  10  32  4    4   1    0    7   50.493849   0    0  2.016256  52.626224 0.143041  52.892781 0.999538  53.892319  54.891871 1.102219   6  
  11  32  3    3   1    0    7   56.507804   0    0  1.167516  57.790564 0.147000  58.057112 0.999526  59.056637  60.056180 0.951892   5  
  12  28  3    3   1    0    7   61.505521   0    0  1.183704  62.804924 0.141012  63.071473 0.999563  64.071036  65.070564 0.935136   5  
  13  28  3    3   1    0    7   66.503262   0    0  1.101273  67.752675 0.033321  67.902626 0.999535  68.902161  69.901707 1.101771   5  
  14  25  2    2   1    0    7   71.500973   0    0  1.283432  72.900334 0.088192  73.116908 0.999529  74.116437  75.115989 0.885079   5  
  15  25  2    2   1    0    7   76.498696   0    0  0.834719  77.448261 0.081098  77.648175 0.999557  78.647732  79.647267 1.351633   5  
  16  22  2    2   1    0    7   81.513065   0    0  1.016821  82.645890 0.053787  82.812489 0.999545  83.812034  84.811577 1.201721   5  
  17  22  4    4   1    0    7   86.510812   0    0  1.617465  88.276666 0.040081  88.443267 0.999541  89.442808  90.442347 0.568688   5  
  18  19  2    2   1    0    7   91.508518   0    0  1.166670  92.791265 0.110075  93.024504 0.999537  94.024042  95.023590 0.985163   5  
  19  19  1    1   1    0    8   96.506255   0    0  1.184122  97.805666 0.123446  98.055560 0.999538  99.055098 100.054648 0.951859   5  
  20  17  4    2   0    0    7  101.503959   0    0  1.883065 103.519754 0.251575 103.886236 0.999539 104.885775 105.885320 1.118886   6  
  21  17  1    1   1    0    8  107.501250   0    0  0.951120 108.567435 0.135518 108.817329 0.999530 109.816859 110.816411 1.185077   5  
  22  17  4    2   0    0    7  112.498960   0    0  2.499414 115.114441 0.072058 115.314345 0.999560 116.313905 117.313445 0.685749   6  
  23  17  2    2   1    0    7  118.496250   0    0  1.834000 120.462025 0.161568 120.745226 0.999540 121.744766 122.744364 1.252115   6  
  24  17  1    1   1    0    7  124.493513   0    0  0.866847 125.476396 0.357517 125.959504 0.999551 126.959055 127.958608 1.035025   5  
  25  15  4    4   1    0    5  129.491232   0    0  1.434046 131.057214 0.136592 131.307081 0.999546 132.306626 133.306180 0.685284   5  
  26  15  4    4   1    0    7  134.505617   0    0  1.949678 136.571350 0.192698 136.887864 0.999554 137.887418 138.886954 1.118883   6  
  27  14  3    3   1    0    7  140.502899   0    0  1.717345 142.335389 0.085732 142.535296 0.999546 143.534842 144.534394 1.468735   6  
  28  14  1    1   1    0    7  146.500141   0    0  0.816920 147.449565 0.165487 147.732933 0.999535 148.732468 149.732017 1.268372   5  
  29  13  1    1   1    0    7  151.497891   0    0  1.034509 152.647366 0.111607 152.880592 0.999550 153.880142 154.879689 1.118451   5  
  30  13  1    1   1    0    7  156.495602   0    0  0.800233 157.411851 0.063062 157.595118 0.999536 158.594654 159.594185 1.401652   5  
  31  12  1    1   1    0    7  161.493345   0    0  1.166776 162.826063 0.067064 163.009314 0.999590 164.008904 165.008405 0.985161   5  
  32  12  1    1   1    0    7  166.507716   0    0  0.833431 167.523926 0.038453 167.690501 0.999549 168.690050 169.689588 1.318349   5  
  33  11  1    1   1    0    7  171.505452   0    0  0.751543 172.421696 0.039421 172.588286 0.999544 173.587830 174.587384 1.418284   5  
  34  11  4    1   0    0    5  176.503160   0    0  1.416586 178.085793 0.040206 178.252368 0.999541 179.251909 180.251452 0.751867   5  
  35  11  2    1   0    0    7  181.500887   0    0  2.050829 183.683226 0.076401 183.883145 0.999538 184.882683 185.882232 1.118897   6  
  36  12  3    3   1    0    7  187.498151   0    0  2.033042 189.663870 0.116147 189.897068 0.999540 190.896608 191.896158 1.102061   6  
  37  12  3    1   0    0    7  193.512087   0    0  1.517589 195.144690 0.132380 195.394572 0.999538 196.394110 197.393652 0.618686   5  
  38  12  3    2   0    0    7  198.509805   0    0  1.466584 200.092419 0.067177 200.275701 0.999513 201.275214 202.274758 0.735291   5  
  39  13  4    2   0    0    6  203.507543   0    0  1.666353 205.306725 0.571059 206.006382 0.999567 207.005949 208.005466 1.002331   6  
  40  13  2    1   0    0    6  209.504800   0    0  1.616510 211.237364 0.371082 211.720455 0.999550 212.720005 213.719568 1.285462   6  
  41  14  3    2   0    0    6  215.502090   0    0  1.484143 217.101356 0.101822 217.317916 0.999560 218.317476 219.317008 0.685280   5  
  42  14  4    3   0    0    6  220.499806   0    0  1.816410 222.448931 0.120386 222.698793 0.999546 223.698339 224.697877 1.302154   6  
  43  15  2    2   1    0    6  226.497081   0    0  1.101416 227.713195 0.091713 227.929762 0.999535 228.929297 229.928847 1.068470   5  
  44  15  4    4   1    0    6  231.494795   0    0  1.732906 233.343941 0.052066 233.510539 0.999548 234.510087 235.509623 1.485334   6  
  45  14  1    4   0    0    6  237.492070   0    0  1.601073 239.224612 0.087188 239.441180 0.999558 240.440738 241.440293 0.551887   5  
  46  14  3    2   0    0    6  242.489786   0    0  1.100070 243.705920 0.066602 243.889155 0.999538 244.888693 245.888238 1.101613   5  
  47  15  4    2   0    0    6  247.504182   0    0  1.250798 248.870223 0.057522 249.053517 0.999493 250.053010 251.052562 0.951868   5  
  48  15  3    3   1    0    6  252.501889   0    0  1.633178 254.251092 0.059613 254.434351 0.999543 255.433894 256.433431 0.568695   5  
  49  15  1    1   1    0    6  257.499622   0    0  1.417390 259.032265 0.070709 259.215507 0.999557 260.215063 261.214608 0.785235   5  
  50  14  2    2   1    0    6  262.497339   0    0  1.433243 264.046639 0.003961 264.163248 0.999547 265.162795 266.162335 0.835226   5  
  51  14  3    3   1    0    7  267.495069   0    0  1.284170 268.894441 0.128477 269.144328 0.999541 270.143869 271.143415 0.851883   5  
  52  13  4    4   1    0    7  272.509455   0    0  1.599810 274.258692 0.083177 274.458555 0.999547 275.458103 276.457662 0.552025   5  
