%% MetaTwins_RDMsc_training for 'liyingshuang': starting at _feedback (       50.0000000000).7-Jul-2019 16:28:40 for '7.376337e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1   9  2    2   1    0    8    2.499085   0    0  1.966861   4.581468 0.319829   5.031272 0.999544   6.030815   7.030352 0.968955   6  
   2   9  3    3   1    0    8    8.496354   0    0  0.999899   9.629188 0.276976  10.029001 0.999537  11.028537  12.028097 0.968449   5  
   3   8  3    2   0    0    8   13.494102   0    0  1.433209  15.043394 0.237674  15.409898 0.999540  16.409437  17.408978 0.585271   5  
   4   8  3    3   1    0    8   18.491837   0    0  1.450012  20.091110 0.453352  20.657509 0.999555  21.657064  22.656601 1.335360   6  
   5   8  1    1   1    0    8   24.489115   0    0  2.016197  26.738093 0.623659  27.487754 0.999548  28.487302  29.486847 0.502360   6  
   6   7  4    3   0    0    8   30.486396   0    0  1.399957  32.019043 0.145393  32.285580 0.999551  33.285131  34.284669 0.701783   5  
   7   7  4    2   0    0    6   35.500780   0    0  2.499518  38.132932 0.760166  39.015864 0.999536  40.015400  41.014960 0.986047   7  
   8   8  1    1   1    0    8   42.514276   0    0  2.099626  44.763265 1.271974  46.162629 0.999542  47.162171  48.161709 0.852803   7  
   9   8  2   -1   0    0    3   49.511112   0    0  0.000000  52.026662 0.398366  52.543060 0.999544  53.542605  54.542165 1.469165   7  
  10   8  2    1   0    0   -1   56.507933   0    0  1.699785  58.373763 0.000000  60.372816 0.999581  61.372398  62.371953 0.636211   7  
  11   8  4    2   0    0    8   63.504768   0    0  1.533314  65.170668 0.307029  65.603814 0.999543  66.603358  67.602894 1.402094   6  
  12   8  1    1   1    0    8   69.502051   0    0  1.117267  70.751488 0.299136  71.167973 0.999521  72.167494  73.167040 0.835231   5  
  13   8  1    1   1    0    8   74.499774   0    0  1.749849  76.365609 0.428763  76.915365 0.999540  77.914905  78.914461 1.085541   6  
  14   7  3    3   1    0    1   80.497077   0    0  1.999753  82.612780 0.939555  83.678963 0.999531  84.678494  85.678036 1.319231   7  
  15   7  1    1   1    0    8   87.493892   0    0  2.049692  89.709564 0.695110  90.525852 0.999549  91.525401  92.524949 1.469097   7  
  16   6  2    3   0    0    8   94.490728   0    0  1.966393  96.573020 0.238433  96.939609 0.999552  97.939161  98.938703 1.052135   6  
  17   6  4    2   0    0    8  100.488008   0    0  2.382671 103.003516 0.272841 103.403352 0.999555 104.402907 105.402440 0.585651   6  
  18   7  1    1   1    0    8  106.501953   0    0  0.916857 107.584791 0.135457 107.834682 0.999538 108.834220 109.833768 1.168412   5  
  19   7  1    2   0    0    8  111.516333   0    0  2.449568 114.081847 0.251252 114.448344 0.999534 115.447878 116.447432 0.569132   6  
  20   7  4   -1   0    0    3  117.513624   0    0  0.000000 120.029168 0.000374 120.145768 0.999532 121.145300 122.144860 0.868991   6  
  21   7  1    1   1    0    8  123.510900   0    0  1.666691 125.310014 0.451657 125.876505 0.999533 126.876037 127.875587 1.135553   6  
  22   7  4    3   0    0    5  129.508186   0    0  1.599738 131.274060 0.673412 132.073693 0.999550 133.073243 134.072770 0.935647   6  
  23   7  2   -1   0    0   -1  135.505467   0    0  0.000000 138.021007 0.000000 140.020044 0.999593 141.019637 142.019171 0.986528   8  
  24   7  4    1   0    0    1  143.501841   0    0  2.049622 145.784157 1.523796 147.433406 0.999529 148.432935 149.432477 0.569600   7  
  25   8  4    3   0    0    8  150.498677   0    0  2.166288 152.797629 0.198329 153.114158 0.999545 154.113703 155.113242 0.885662   6  
  26   8  4    1   0    0    1  156.495952   0    0  1.283279 157.945285 0.830258 158.894868 0.999541 159.894409 160.893960 1.102175   6  
  27   9  1    2   0    0    8  162.493230   0    0  2.033126 164.642259 1.177819 165.941676 0.999543 166.941219 167.940775 1.052614   7  
  28   9  3   -1   0    0   -1  169.490067   0    0  0.000000 172.005623 0.000000 174.004632 0.999592 175.004224 176.003760 0.986432   8  
  29   9  2    1   0    0    8  177.486435   0    0  2.016265 179.652054 0.559846 180.335165 0.999525 181.334690 182.334237 0.652275   6  
  30  10  2    2   1    0    8  183.517038   0    0  1.699837 185.332820 0.894162 186.349109 0.999540 187.348649 188.348188 0.669077   6  
  31  10  3    3   1    0    8  189.514310   0    0  1.283095 190.947005 0.307572 191.380147 0.999537 192.379685 193.379242 0.635300   5  
  32   9  3    1   0    0    8  194.512050   0    0  2.116312 196.761048 0.163736 197.044239 0.999548 198.043788 199.043338 0.968951   6  
  33   9  4    4   1    0    8  200.509344   0    0  2.032955 202.658372 0.145062 202.924909 0.999552 203.924462 204.924001 1.085557   6  
