%% MetaTwins_RDMsc_training for 'zhangxuan': starting at _feedback (       50.0000000000).7-Jul-2019 16:25:24 for '7.376337e+05': starting at 
record = [
%  n coh dir resp isc ckey conf    osti    dsti oopt   rtime     oconf     ctime     oisi       isi       ofb       oiti       iti   total
   1  14  4    4   1    0    7    2.499083   0    0  1.599882   4.214982 0.140586   4.464871 0.999539   5.464410   6.463962 0.535359   5  
   2  14  4    2   0    0    7    7.496837   0    0  1.133492   8.762920 0.191332   9.079439 0.999552  10.078991  11.078539 0.918512   5  
   3  14  1    2   0    0    7   12.494553   0    0  1.166791  13.793836 0.142746  14.060511 0.999539  15.060051  16.059609 0.935162   5  
   4  15  1    4   0    0    7   17.492283   0    0  1.233413  18.858253 0.125185  19.108217 0.999546  20.107763  21.107324 0.885188   5  
   5  15  1    2   0    0    7   22.506685   0    0  1.249844  23.889403 0.141395  24.155929 0.999552  25.155480  26.155033 0.851854   5  
   6  16  1    2   0    0    7   27.504407   0    0  1.266553  28.886985 0.216103  29.220302 0.999534  30.219836  31.219386 0.785212   5  
   7  16  3    3   1    0    7   32.502152   0    0  1.666539  34.284676 0.155295  34.567875 0.999543  35.567418  36.566968 1.435358   6  
   8  16  4    4   1    0    7   38.499427   0    0  1.133407  39.748852 0.111811  39.982089 0.999537  40.981626  41.981170 1.018426   5  
   9  14  1    1   1    0    7   43.497153   0    0  1.683154  45.329653 0.179067  45.629524 0.999544  46.629068  47.628602 1.368724   6  
  10  14  3    2   0    0    6   49.494424   0    0  1.866275  51.476859 0.302992  51.893342 0.999552  52.892894  53.892431 1.102165   6  
  11  14  3    2   0    0    7   55.491710   0    0  1.666491  57.274238 0.195945  57.590750 0.999562  58.590312  59.589845 1.402032   6  
  12  15  1    2   0    0    7   61.488995   0    0  1.183367  62.805059 0.251156  63.171550 0.999559  64.171109  65.170665 0.818483   5  
  13  15  1    3   0    0    7   66.503382   0    0  2.199476  68.818964 0.144281  69.085538 0.999537  70.085075  71.084636 0.918894   6  
  14  16  1    2   0    0    7   72.500663   0    0  1.299865  73.916558 0.243437  74.283173 0.999563  75.282736  76.282269 0.718530   5  
  15  16  4    2   0    0    7   77.498386   0    0  1.516475  79.147541 0.412147  79.680734 0.999547  80.680282  81.679829 1.318687   6  
  16  18  2    2   1    0    7   83.495671   0    0  1.183418  84.811737 0.283523  85.211570 0.999529  86.211099  87.210648 0.785135   5  
  17  18  2    2   1    0    7   88.493390   0    0  1.899586  90.525816 0.247972  90.892305 0.999542  91.891846  92.891398 1.102115   6  
  18  16  2    2   1    0    7   94.490672   0    0  1.733184  96.373153 0.226815  96.722990 0.999552  97.722541  98.722089 1.268690   6  
  19  16  1    2   0    0    7  100.487960   0    0  1.649879 102.270395 0.256135 102.653633 0.999544 103.653178 104.652736 1.335318   6  
  20  16  4    4   1    0    7  106.501893   0    0  1.433367 108.051187 0.172208 108.351065 0.999533 109.350598 110.350148 0.651842   5  
  21  16  2    2   1    0    7  111.499622   0    0  1.250034 112.882325 0.273004 113.282142 0.999538 114.281680 115.281233 0.718464   5  
  22  14  2    2   1    0    7  116.497345   0    0  1.833075 118.446380 0.177503 118.746334 0.999537 119.745871 120.745430 1.251998   6  
  23  14  2   -1   0    0    3  122.494637   0    0  0.000000 125.010168 0.041306 125.176745 0.999559 126.176304 127.175840 0.818853   6  
  24  14  4    4   1    0    7  128.508569   0    0  1.583343 130.207822 0.151426 130.474345 0.999541 131.473886 132.473434 0.535358   5  
  25  13  3    2   0    0    7  133.506304   0    0  1.100123 134.739071 0.122317 134.988981 0.999526 135.988507 136.988055 1.018477   5  
  26  13  4    2   0    0    7  138.504033   0    0  1.283380 139.903393 0.228024 140.253232 0.999546 141.252779 142.252328 0.751922   5  
  27  14  4    2   0    0    7  143.501760   0    0  1.016871 144.634590 0.280195 145.034398 0.999553 146.033951 147.033498 0.968484   5  
  28  14  1    3   0    0    7  148.516155   0    0  1.833126 150.481938 0.187299 150.781798 0.999541 151.781339 152.780884 1.235501   6  
  29  15  4    4   1    0    7  154.513428   0    0  1.100090 155.746074 0.225105 156.096057 0.999542 157.095599 158.095133 0.918520   5  
  30  15  3    3   1    0    7  159.511172   0    0  1.583213 161.210397 0.214293 161.543574 0.999542 162.543116 163.542674 1.468716   6  
  31  14  3    2   0    0    7  165.508439   0    0  1.599861 167.257652 0.180405 167.557509 0.999543 168.557052 169.556599 1.452068   6  
  32  14  4    4   1    0    7  171.505714   0    0  1.100038 172.721834 0.175469 173.021708 0.999525 174.021233 175.020791 0.985159   5  
  33  14  2    2   1    0    7  176.503444   0    0  1.200030 177.819389 0.209776 178.152702 0.999552 179.152254 180.151821 0.851861   5  
  34  13  2    4   0    0    7  181.501190   0    0  1.766384 183.383661 0.184062 183.683514 0.999555 184.683069 185.682627 1.318782   6  
  35  13  2    2   1    0    7  187.498465   0    0  0.983483 188.597967 0.164608 188.881167 0.999548 189.880716 190.880267 1.118419   5  
  36  13  4    3   0    0    7  192.512840   0    0  1.483369 194.112132 0.355998 194.595244 0.999547 195.594791 196.594321 1.418751   6  
  37  13  3    4   0    0    1  198.510131   0    0  1.633303 200.259334 1.038031 201.425470 0.999549 202.425019 203.424564 0.585797   6  
  38  14  3    2   0    0    7  204.507412   0    0  1.516562 206.173318 0.291192 206.589790 0.999553 207.589343 208.588888 1.418750   6  
  39  14  1    1   1    0    1  210.504692   0    0  1.716481 212.387166 0.327410 212.836981 0.999520 213.836501 214.836058 1.168852   6  
  40  14  1    2   0    0    7  216.501964   0    0  1.166788 217.784624 0.169757 218.067909 0.999552 219.067461 220.067014 0.935181   5  
  41  14  2    1   0    0    7  221.499698   0    0  1.816295 223.465478 0.543621 224.131829 0.999543 225.131372 226.130920 0.868998   6  
  42  15  3    3   1    0    7  227.496967   0    0  1.166721 228.779720 0.241460 229.146221 0.999547 230.145768 231.145328 0.851867   5  
  43  15  2    2   1    0    7  232.511356   0    0  1.333310 233.994024 0.360897 234.477136 0.999543 235.476679 236.476232 0.535363   5  
  44  14  2    1   0    0    2  237.509089   0    0  1.949699 239.591477 0.806086 240.524397 0.999547 241.523944 242.523479 1.485842   7  
  45  14  2    2   1    0    7  244.505916   0    0  1.466649 246.088527 0.385164 246.588309 0.999550 247.587859 248.587398 1.418752   6  
  46  14  3    1   0    0    3  250.503192   0    0  1.383233 252.002368 0.880647 253.002064 0.999538 254.001602 255.001151 1.002267   6  
  47  14  3    2   0    0    7  256.500469   0    0  1.516466 258.166385 0.474444 258.766118 0.999542 259.765660 260.765210 1.235492   6  
  48  15  3    3   1    0    2  262.497754   0    0  1.733201 264.413543 1.142169 265.679640 0.999551 266.679191 267.678734 1.319252   7  
  49  15  2    2   1    0    7  269.494573   0    0  1.366599 270.993897 0.790566 271.910148 0.999543 272.909691 273.909242 1.085577   6  
  50  14  2    2   1    0    8  275.508517   0    0  1.333367 276.991069 0.392588 277.507616 0.999553 278.507169 279.506705 0.502037   5  
  51  14  4    3   0    0    7  280.506238   0    0  1.683152 282.305438 0.328181 282.755228 0.999540 283.754769 284.754311 1.252173   6  
  52  14  1    3   0    0    7  286.503525   0    0  1.349975 287.986178 0.239677 288.352682 0.999546 289.352228 290.351779 0.651967   5  
  53  15  3    3   1    0    7  291.501262   0    0  1.283357 292.900573 0.226450 293.250466 0.999539 294.250005 295.249559 0.751927   5  
  54  15  3    3   1    0    7  296.498988   0    0  1.066707 297.681653 0.534869 298.331490 0.999547 299.331037 300.330589 0.668630   5  
  55  14  4    3   0    0    2  301.496715   0    0  1.766474 303.379201 1.312781 304.811880 0.999548 305.811428 306.810976 1.185985   7  
  56  14  1    3   0    0    7  308.493537   0    0  1.166775 309.792950 0.320480 310.226082 0.999560 311.225641 312.225185 0.768587   5  
  57  15  4    2   0    0    7  313.507926   0    0  1.866212 315.523689 0.236188 315.873536 0.999534 316.873070 317.872625 1.135553   6  
  58  15  3    3   1    0    7  319.505211   0    0  1.183356 320.804621 0.187441 321.104490 0.999548 322.104037 323.103577 0.901851   5  
  59  15  4    2   0    0    7  324.502939   0    0  1.449961 326.085553 0.428678 326.635312 0.999540 327.634852 328.634408 1.368760   6  
  60  15  1    3   0    0    7  330.500224   0    0  1.216704 331.832944 0.350337 332.299408 0.999540 333.298948 334.298506 0.701920   5  
]; % This session completes at 27-Jul-2019 16:31:45, 337.003s after session start, 333s on 60 trials, totally 380.461s, correctness is 43.333%.

